PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Ryan Johansen	C	POR	21	13	15	28	7	6	3	5	1	2	0	0	3	0	0	1	0	0	0	0	0.0	0	0	0.0	1.33	0.29
Matt Fraser	LW	KTN	19	17	10	27	14	18	5	3	0	2	0	0	4	1	4	2	0	0	0	0	0.0	0	0	0.0	1.42	0.95
Max Reinhart	C	KTN	19	15	12	27	13	12	4	3	3	0	0	0	3	0	4	1	0	0	0	0	0.0	0	0	0.0	1.42	0.63
Cody Eakin	C	KTN	19	11	16	27	9	14	1	7	1	0	0	0	4	1	1	1	0	0	0	0	0.0	0	0	0.0	1.42	0.74
Nino Niederreiter	LW	POR	21	9	18	27	5	30	2	7	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	1.29	1.43
Brayden McNabb	D	KTN	19	3	24	27	23	37	1	8	0	2	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	1.42	1.95
Linden Vey	C	M.H	15	12	13	25	7	8	6	4	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	1.67	0.53
Ty Rattie	RW	POR	21	9	13	22	11	22	1	1	0	0	0	0	1	1	2	1	0	0	0	0	0.0	0	0	0.0	1.05	1.05
Emerson Etem	RW	M.H	15	10	11	21	4	7	3	2	0	1	0	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	1.4	0.47
Craig Cunningham	C	POR	21	7	14	21	9	12	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	0.57
Joseph Morrow	D	POR	21	6	14	20	3	27	3	4	0	0	0	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	0.95	1.29
Shane McColgan	RW	KEL	10	8	11	19	5	8	1	10	0	0	0	0	2	0	1	2	0	0	0	0	0.0	0	0	0.0	1.9	0.8
Cole Grbavac	RW	M.H	13	10	7	17	5	23	2	2	0	0	0	0	0	0	1	4	0	0	0	0	0.0	0	0	0.0	1.31	1.77
Joe Antilla	LW	KTN	19	9	8	17	17	4	0	1	2	0	0	0	2	2	0	2	0	0	0	0	0.0	0	0	0.0	0.89	0.21
Levko Koper	LW	SPO	17	9	7	16	8	21	3	0	0	0	0	0	3	1	0	2	0	0	0	0	0.0	0	0	0.0	0.94	1.24
Jesse Ismond	LW	KTN	17	5	11	16	12	36	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	0.94	2.12
Kevin King	LW	KTN	19	5	11	16	7	34	1	4	0	0	0	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	0.84	1.79
Jace Coyle	D	M.H	15	3	12	15	6	12	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	0.8
Tyler Johnson	C	SPO	14	7	7	14	3	9	2	2	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	1.0	0.64
Jared Cowen	D	SPO	17	2	12	14	8	16	0	7	0	1	0	0	0	0	2	0	0	0	0	0	0.0	0	0	0.0	0.82	0.94
Troy Rutkowski	D	POR	21	4	9	13	5	16	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.62	0.76
Kellan Tochkin	RW	M.H	15	5	7	12	-7	20	2	4	0	0	0	0	1	1	1	0	0	0	0	0	0.0	0	0	0.0	0.8	1.33
Steven Kuhn	C	SPO	17	5	7	12	2	10	1	2	0	0	0	0	0	0	1	2	0	0	0	0	0.0	0	0	0.0	0.71	0.59
Wacey Hamilton	C	M.H	15	4	8	12	-1	20	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.8	1.33
Riley Boychuk	LW	POR	21	4	8	12	-2	50	3	1	0	0	0	0	2	0	1	0	0	0	0	0	0.0	0	0	0.0	0.57	2.38
Blake Gal	RW	SPO	16	7	4	11	5	10	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0.0	0	0	0.0	0.69	0.63
Brayden Schenn	C	SAS	10	6	5	11	-7	14	2	3	0	0	0	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	1.1	1.4
Brett Ferguson	LW	R.D	9	4	7	11	5	25	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.22	2.78
Ryan  Nugent-Hopkins	C	R.D	9	4	7	11	-3	6	1	5	0	0	0	0	2	0	1	1	0	0	0	0	0.0	0	0	0.0	1.22	0.67
Curtis Hamilton	LW	SAS	10	4	7	11	-3	4	1	3	0	0	0	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	1.1	0.4
Brendan Shinnimin	C	T.C	10	4	7	11	0	16	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	1.1	1.6
Tyson Barrie	D	KEL	10	2	9	11	0	8	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.1	0.8
Kruise Reddick	C	T.C	10	2	9	11	3	13	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	1.1	1.3
Dominik Uher	C	SPO	17	2	9	11	2	18	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.65	1.06
Brenden Kichton	D	SPO	17	1	10	11	10	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.65	0.12
Scott Glennie	C	BDN	6	3	7	10	0	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.67	1.0
Mark Stone	RW	BDN	6	1	9	10	-1	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.67	0.67
Collin Valcourt	LW	SPO	16	1	9	10	-1	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.63	0.38
Mitchell Callahan	RW	KEL	10	5	4	9	2	17	3	2	0	0	0	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	0.9	1.7
Justin Feser	LW	T.C	10	4	5	9	2	0	1	3	1	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.9	0.0
Hunter Shinkaruk	LW	M.H	14	4	5	9	-2	0	1	3	0	0	0	0	3	0	1	0	0	0	0	0	0.0	0	0	0.0	0.64	0.0
Steele Boomer	C	KTN	16	4	5	9	1	6	2	0	0	2	0	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	0.56	0.38
Matej Stransky	RW	SAS	10	3	6	9	5	8	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0.0	0	0	0.0	0.9	0.8
