PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Bowen Byram	D	VAN	22	8	18	26	10	18	1	9	1	0	76	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	1.18	0.82
Brett Leason	RW	PA	22	10	15	25	6	15	3	6	0	0	85	0	4	0	2	1	0	0	0	0	0.0	19	11	57.9	1.14	0.68
Dante Hannoun	C	PA	23	14	10	24	11	14	2	6	2	0	72	0	4	1	4	0	0	0	0	0	0.0	412	202	49.0	1.04	0.61
Noah Gregor	C	PA	23	13	11	24	12	10	2	5	1	0	114	0	4	0	2	1	0	0	0	0	0.0	224	102	45.5	1.04	0.43
Aliaksei Protas	C	PA	23	12	10	22	12	6	3	1	0	0	54	0	2	0	2	2	0	0	0	0	0.0	5	2	40.0	0.96	0.26
Jared Dmytriw	RW	VAN	22	9	12	21	11	16	2	2	1	0	74	0	3	0	1	1	0	0	0	0	0.0	265	148	55.8	0.95	0.73
Davis Koch	RW	VAN	22	5	16	21	5	0	1	7	0	0	58	0	1	0	1	1	0	0	0	0	0.0	245	113	46.1	0.95	0.0
Parker Kelly	C	PA	23	8	9	17	19	14	1	1	0	1	63	0	0	0	3	1	0	0	0	0	0.0	33	16	48.5	0.74	0.61
Dawson Holt	C	VAN	22	7	9	16	10	6	0	0	0	0	34	0	3	1	0	0	0	0	0	0	0.0	27	17	63.0	0.73	0.27
Dylan Plouffe	D	VAN	22	6	10	16	-6	23	2	8	0	0	54	0	1	0	3	0	0	0	0	0	0.0	0	0	0.0	0.73	1.05
Sean Montgomery	C	PA	23	8	6	14	5	4	4	2	0	0	67	0	1	0	1	2	0	0	0	0	0.0	558	269	48.2	0.61	0.17
Riley Woods	LW	SPO	15	7	7	14	0	2	3	2	0	0	41	0	3	1	0	1	0	0	0	0	0.0	232	118	50.9	0.93	0.13
Vince Loschiavo	C	EDM	16	7	7	14	6	14	4	0	0	0	48	0	1	1	1	2	0	0	0	0	0.0	255	125	49.0	0.88	0.88
Trey Fix-Wolansky	RW	EDM	16	6	8	14	5	14	0	3	2	0	56	0	1	0	2	0	0	0	0	0	0.0	39	17	43.6	0.88	0.88
Eli Zummack	C	SPO	15	4	10	14	-1	4	1	3	0	0	30	0	1	0	1	0	0	0	0	0	0.0	70	38	54.3	0.93	0.27
Jaret Anderson-Dolan	C	SPO	15	5	8	13	0	8	2	3	0	0	40	0	1	0	1	1	0	0	0	0	0.0	163	69	42.3	0.87	0.53
Quinn Benjafield	RW	EDM	16	4	9	13	8	2	1	2	0	1	35	0	1	0	1	1	0	0	0	0	0.0	2	0	0.0	0.81	0.13
Lukas Svejkovsky	RW	VAN	22	4	9	13	7	2	2	4	0	0	31	0	1	0	3	0	0	0	0	0	0.0	34	14	41.2	0.59	0.09
