PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Brad Morrison	C	LET	16	16	21	37	8	6	4	13	1	1	69	0	3	0	3	1	0	0	0	0	0.0	15	5	33.3	2.31	0.38
Michael Rasmussen	C	TC	14	16	17	33	8	4	7	3	0	0	55	0	3	0	2	1	0	0	0	0	0.0	41	30	73.2	2.36	0.29
Glenn Gawdin	C	SC	24	14	18	32	10	32	6	7	1	1	104	0	4	1	3	1	0	0	0	0	0.0	600	331	55.2	1.33	1.33
Aleksi Heponiemi	C	SC	26	5	25	30	5	2	1	16	0	0	48	0	2	0	0	1	0	0	0	0	0.0	63	25	39.7	1.15	0.08
Garrett Pilon	C	EVT	22	11	17	28	22	8	1	3	0	0	98	0	1	0	2	0	0	0	0	0	0.0	34	17	50.0	1.27	0.36
Morgan Geekie	C	TC	14	17	10	27	5	4	5	5	0	0	64	0	4	0	2	4	0	0	0	0	0.0	259	144	55.6	1.93	0.29
Tyler Steenbergen	C	SC	26	12	15	27	7	12	4	6	0	0	94	0	1	0	0	1	0	0	0	0	0.0	3	3	100.0	1.04	0.46
Connor Dewar	C	EVT	22	12	14	26	24	24	0	6	1	0	106	0	1	0	2	1	0	0	0	0	0.0	12	3	25.0	1.18	1.09
Jordy Bellerive	C	LET	16	9	16	25	5	20	5	7	0	1	81	0	1	0	0	0	0	0	0	0	0.0	195	91	46.7	1.56	1.25
Patrick Bajkov	RW	EVT	22	14	9	23	8	18	7	1	1	0	72	0	2	0	3	3	0	0	0	0	0.0	2	1	50.0	1.05	0.82
Giorgio Estephan	C	SC	26	13	10	23	-4	12	7	6	0	0	61	0	4	2	2	2	0	0	0	0	0.0	475	261	54.9	0.88	0.46
Matt Fonteyne	LW	EVT	22	9	14	23	10	4	2	4	0	1	75	0	1	0	2	2	0	0	0	0	0.0	505	250	49.5	1.05	0.18
Colby Sissons	D	SC	26	5	18	23	8	30	1	8	0	0	75	0	2	0	3	0	0	0	0	0	0.0	1	0	0.0	0.88	1.15
Taylor Ross	LW	LET	16	9	13	22	0	14	4	6	2	1	37	0	2	0	3	2	0	0	0	0	0.0	61	29	47.5	1.38	0.88
Brayden Burke	LW	MJ	14	9	12	21	7	16	3	5	0	0	39	0	3	1	0	1	0	0	0	0	0.0	9	4	44.4	1.5	1.14
Riley Sutter	RW	EVT	21	9	10	19	17	23	0	1	0	0	62	0	3	0	3	1	0	0	0	0	0.0	499	251	50.3	0.9	1.1
Calen Addison	D	LET	16	7	12	19	-11	20	4	10	0	0	56	0	1	1	1	0	0	0	0	0	0.0	0	0	0.0	1.19	1.25
Matthew Phillips	C	VIC	11	6	13	19	-5	6	1	4	0	0	41	0	1	0	1	0	0	0	0	0	0.0	1	0	0.0	1.73	0.55
Tate Olson	D	LET	16	3	16	19	14	22	0	7	0	1	34	0	1	1	0	1	0	0	0	0	0.0	0	0	0.0	1.19	1.38
Matteo Gennaro	C	SC	26	9	9	18	-6	24	6	1	0	0	63	0	1	1	2	0	0	0	0	0	0.0	533	275	51.6	0.69	0.92
Jake Bean	D	TC	14	1	17	18	11	2	0	7	0	0	34	0	0	0	0	0	0	0	0	0	0.0	2	2	100.0	1.29	0.14
Juuso V	LD	TC	12	4	13	17	10	4	2	6	0	0	36	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	1.42	0.33
Brett Howden	C	MJ	14	7	8	15	2	8	2	3	0	0	42	0	1	1	1	0	0	0	0	0	0.0	451	245	54.3	1.07	0.57
Nolan Yaremko	LW	TC	14	7	8	15	10	22	2	1	0	0	31	0	0	0	0	1	0	0	0	0	0.0	282	127	45.0	1.07	1.57
