PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Nolan Patrick	C	BDN	21	13	17	30	19	16	2	4	2	1	7	0	4	0	0	0	0	0	0	0	0.0	0	0	0.0	1.43	0.76
Jayce Hawryluk	C	BDN	21	7	23	30	11	29	3	4	0	1	11	0	1	1	0	1	0	0	0	0	0.0	0	0	0.0	1.43	1.38
John Quenneville	C	BDN	21	16	11	27	17	8	2	0	3	0	10	0	2	1	6	4	0	0	0	0	0.0	0	0	0.0	1.29	0.38
Tim  McGauley	C	BDN	21	8	18	26	6	8	3	5	0	0	2	0	3	0	1	0	0	0	0	0	0.0	0	0	0.0	1.24	0.38
Mathew Barzal	C	SEA	18	5	21	26	2	16	2	7	1	0	0	0	1	0	3	1	0	0	0	0	0.0	0	0	0.0	1.44	0.89
Reid Duke	C	BDN	21	8	16	24	10	14	1	1	0	1	7	0	2	1	3	1	0	0	0	0	0.0	0	0	0.0	1.14	0.67
Adam Brooks	C	REG	12	7	16	23	5	6	3	8	0	1	0	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	1.92	0.5
Ethan Bear	D	SEA	18	8	14	22	11	8	3	6	0	0	0	0	2	0	0	1	0	0	0	0	0.0	0	0	0.0	1.22	0.44
Adam Helewka	LW	RD	17	9	9	18	-7	18	6	3	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	1.06	1.06
Jake DeBrusk	LW	RD	17	8	9	17	1	20	3	5	0	0	0	0	0	0	3	1	0	0	0	0	0.0	0	0	0.0	1.0	1.18
Jack Walker	LW	VIC	13	8	8	16	8	20	3	4	0	0	15	0	0	0	3	0	0	0	0	0	0.0	0	0	0.0	1.23	1.54
Dryden Hunt	LW	MJ	10	7	9	16	-5	8	3	4	0	0	0	0	2	0	3	0	0	0	0	0	0.0	0	0	0.0	1.6	0.8
Cole Sanford	RW	REG	12	7	9	16	3	6	3	6	0	1	0	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	1.33	0.5
Brayden  Point	C	MJ	10	6	10	16	-3	10	2	4	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	1.6	1.0
Sam Steel	C	REG	12	6	10	16	5	4	2	4	1	0	0	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	1.33	0.33
Justin  Kirkland	LW	KEL	18	11	4	15	-1	15	3	2	0	0	15	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	0.83	0.83
Jayden Halbgewachs	C	MJ	10	9	6	15	10	4	3	0	0	0	0	0	1	0	3	0	0	0	0	0	0.0	0	0	0.0	1.5	0.4
Keegan Kolesar	RW	SEA	16	7	8	15	5	8	1	4	0	0	0	0	0	0	1	3	0	0	0	0	0.0	0	0	0.0	0.94	0.5
Tanner Jeannot	LW	MJ	10	6	9	15	7	11	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	1.5	1.1
Brett Howden	C	MJ	10	4	11	15	0	4	2	5	0	0	0	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	1.5	0.4
Tyler Coulter	LW	BDN	18	6	8	14	4	12	2	3	0	0	2	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.78	0.67
Kale Clague	D	BDN	21	6	8	14	5	8	0	4	0	0	4	0	0	0	0	2	0	0	0	0	0.0	0	0	0.0	0.67	0.38
Macoy Erkamps	D	BDN	21	4	10	14	24	18	2	4	0	1	5	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.67	0.86
Rourke Chartier	C	KEL	18	7	6	13	-3	7	2	2	0	0	22	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.72	0.39
Scott Eansor	C	SEA	18	7	6	13	3	20	0	1	0	1	0	0	3	0	3	0	0	0	0	0	0.0	0	0	0.0	0.72	1.11
Luke Philp	C	RD	17	4	9	13	4	9	1	6	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.76	0.53
Michael Spacek	C	RD	17	3	10	13	-10	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.76	0.12
Ivan Provorov	D	BDN	21	3	10	13	22	14	0	5	0	2	5	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.62	0.67
Evan Polei	LW	RD	17	8	4	12	1	18	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0.0	0	0	0.0	0.71	1.06
Tyler Soy	C	VIC	13	7	5	12	7	10	2	2	0	0	11	0	1	0	2	2	0	0	0	0	0.0	0	0	0.0	0.92	0.77
Tomas Soustal	C	KEL	18	5	7	12	2	29	0	2	0	0	2	0	2	1	1	0	0	0	0	0	0.0	0	0	0.0	0.67	1.61
Alex Forsberg	LW	VIC	13	5	6	11	-5	6	2	3	0	0	14	0	2	1	0	0	0	0	0	0	0.0	0	0	0.0	0.85	0.46
Alexander True	C	SEA	18	6	4	10	4	6	2	1	0	1	0	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	0.56	0.33
Donovan Neuls	C	SEA	18	5	5	10	8	8	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.56	0.44
Tanner Kaspick	C	BDN	21	5	5	10	8	28	0	1	1	0	4	0	2	1	0	2	0	0	0	0	0.0	0	0	0.0	0.48	1.33
Connor Hobbs	D	REG	12	4	6	10	5	6	3	3	0	0	0	0	2	0	0	0	0	0	0	0	0.0	0	0	0.0	0.83	0.5
Tyson Baillie	C	KEL	18	4	6	10	2	20	1	1	0	0	19	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.56	1.11
Keanu Yamamoto	RW	SPO	6	3	7	10	3	4	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.67	0.67
Adam  Musil	C	RD	17	3	7	10	1	19	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0.0	0	0	0.0	0.59	1.12
Brandon Hagel	LW	RD	17	1	9	10	-2	18	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.59	1.06
Ryan Gropp	LW	SEA	11	6	3	9	-1	4	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0.0	0	0	0.0	0.82	0.36
Haydn Fleury	D	RD	17	4	5	9	4	20	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.53	1.18
Gage  Quinney	LW	KAM	7	3	6	9	3	9	2	1	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	1.29	1.29
Noah Gregor	C	MJ	10	3	6	9	-6	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.9	0.4
Austin Wagner	LW	REG	12	3	6	9	4	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.75	1.0
Cavin Leth	C	SEA	15	3	6	9	2	27	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0.0	0	0	0.0	0.6	1.8
Colby Williams	D	REG	12	2	7	9	3	14	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.75	1.17
Nolan Volcan	LW	SEA	18	2	7	9	5	4	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0.0	0	0	0.0	0.5	0.22
Cal Foote	D	KEL	18	1	8	9	-2	12	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	0.67
Duncan Campbell	C	BDN	21	1	8	9	7	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.43	0.52
Collin Shirley	LW	KAM	7	5	3	8	5	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	1.14	0.29
Matthew Phillips	C	VIC	13	5	3	8	-1	2	2	2	0	0	15	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.62	0.15
Matt Fonteyne	LW	EVT	9	3	5	8	-1	6	2	3	0	0	0	0	1	0	0	2	0	0	0	0	0.0	0	0	0.0	0.89	0.67
Colton Bobyk	D	RD	15	2	6	8	1	14	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.53	0.93
Lucas Johansen	D	KEL	18	2	6	8	0	8	0	3	0	0	3	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.44	0.44
Calvin Thurkauf	LW	KEL	18	2	6	8	2	16	0	2	0	0	6	0	1	1	0	0	0	0	0	0	0.0	0	0	0.0	0.44	0.89
Jerret Smith	D	SEA	17	1	7	8	10	6	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.47	0.35
Rodney Southam	RW	KEL	16	5	2	7	-1	27	1	1	1	0	4	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	0.44	1.69
Stelio Mattheos	C	BDN	21	4	3	7	4	10	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.33	0.48
Jeff de Wit	C	RD	17	3	4	7	6	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.41	0.24
Grayson Pawlenchuk	LW	RD	17	3	4	7	2	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.41	0.12
Dillon Dube	C	KEL	18	2	5	7	-7	16	1	1	0	0	7	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.39	0.89
Cole Linaker	C	KEL	18	2	5	7	-2	2	1	1	0	1	7	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.39	0.11
Joe  Hicketts	D	VIC	6	1	6	7	1	8	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.17	1.33
Mitch Wheaton	D	BDN	21	1	6	7	4	14	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.33	0.67
Vladimir Bobylev	C	VIC	5	0	7	7	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.4	0.4
Scott Walford	D	VIC	13	2	4	6	0	6	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.46	0.46
Nic Holowko	LW	SEA	18	2	4	6	5	12	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.33	0.67
Travis Sanheim	D	CGY	5	1	5	6	-2	8	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	1.2	1.6
Matt Revel	C	KAM	7	1	5	6	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.86	0.0
Carson Stadnyk	RW	EVT	6	0	6	6	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	0.67
Kevin Davis	D	EVT	9	0	6	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.67	0.22
Remi Laurencelle	C	EVT	9	4	1	5	2	4	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.56	0.44
Reid  Gardiner	RW	PA	5	3	2	5	-7	6	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	1.0	1.2
Dawson Leedahl	LW	EVT	8	3	2	5	-2	27	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.63	3.38
Logan Fisher	C	VIC	13	3	2	5	-4	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.38	0.85
Jansen Harkins	C	P.G	4	2	3	5	-3	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.25	1.0
Presten Kopeck	C	SPO	6	2	3	5	3	4	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.83	0.67
Ryan Rehill	D	KAM	7	2	3	5	-1	10	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.71	1.43
Dante Hannoun	C	VIC	13	2	3	5	-1	4	1	1	0	0	11	0	2	0	0	0	0	0	0	0	0.0	0	0	0.0	0.38	0.31
Regan Nagy	RW	VIC	13	2	3	5	1	6	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.38	0.46
James Shearer	D	BDN	21	2	3	5	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.24	0.0
Kailer Yamamoto	RW	SPO	6	1	4	5	0	10	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.83	1.67
Josh Brook	D	MJ	10	1	4	5	1	6	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.5	0.6
Marc McNulty	D	MJ	10	0	5	5	1	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	1.2
Sergey Zborovskiy	D	REG	12	0	5	5	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.42	0.17
Chaz Reddekopp	D	VIC	13	0	5	5	-3	4	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.38	0.31
Andreas Schumacher	LW	SEA	18	0	5	5	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.28	0.61
Brandon Ralph	LW	EVT	9	4	0	4	6	10	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.44	1.11
Jacob Cardiff	RW	SPO	6	3	1	4	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.67	0.0
