PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Nikolaj Ehlers	LW	Hal	14	10	21	31	1	14	2	13	1	0	83	37	1	1	1	1	0	0	0	0	0.0	5	1	20.0	2.21	1.0
Adam Erne	LW	Que	22	21	9	30	18	17	3	3	0	1	111	60	3	1	5	2	0	0	0	0	0.0	151	84	55.6	1.36	0.77
Alexis Loiseau	C	Rim	20	9	17	26	9	8	4	8	1	1	70	35	0	0	1	1	0	0	0	0	0.0	291	152	52.2	1.3	0.4
Anthony Duclair	LW	Que	22	8	18	26	17	18	0	3	0	0	72	40	1	0	0	1	0	0	0	0	0.0	9	4	44.4	1.18	0.82
Kurt Etchegary	C	Que	22	8	18	26	19	12	3	1	1	0	56	27	1	0	1	1	0	0	0	0	0.0	505	283	56.0	1.18	0.55
Christopher Clapperton	LW	Rim	18	12	13	25	-2	20	5	6	0	0	78	39	3	1	2	1	0	0	0	0	0.0	1	1	100.0	1.39	1.11
Conor Garland	RW	Mon	16	3	22	25	-2	17	0	10	0	0	77	46	0	0	0	0	0	0	0	0	0.0	2	0	0.0	1.56	1.06
Ivan Barbashev	C	Mon	16	13	11	24	-9	14	7	4	0	0	81	64	1	0	5	1	0	0	0	0	0.0	318	155	48.7	1.5	0.88
Anthony Richard	C	VdO	17	12	10	22	-1	10	1	5	2	1	75	30	1	0	1	0	0	0	0	0	0.0	19	7	36.8	1.29	0.59
Michael Joly	RW	Rim	20	12	9	21	9	20	1	5	1	1	59	41	3	1	1	1	0	0	0	0	0.0	2	2	100.0	1.05	1.0
Jeremy Gregoire	RW	BaC	12	10	11	21	12	18	2	3	0	0	69	38	2	0	3	0	0	0	0	0	0.0	68	33	48.5	1.75	1.5
Timo Meier	RW	Hal	14	10	11	21	1	18	4	4	0	0	96	51	3	1	2	0	0	0	0	0	0.0	26	14	53.8	1.5	1.29
Jan Kostalek	D	Rim	20	8	13	21	15	10	3	8	0	0	64	15	2	1	0	0	0	0	0	0	0.0	0	0	0.0	1.05	0.5
Danny Moynihan	C	Hal	14	9	11	20	0	14	8	4	0	0	45	33	1	0	0	0	0	0	0	0	0.0	331	165	49.8	1.43	1.0
Guillaume Gauthier	LW	Que	22	8	11	19	7	2	1	4	0	0	63	27	2	0	1	1	0	0	0	0	0.0	37	14	37.8	0.86	0.09
Anthony DeLuca	LW	Rim	19	11	7	18	6	26	6	2	0	0	87	36	2	1	1	2	0	0	0	0	0.0	11	7	63.6	0.95	1.37
Dmytro Timashov	LW	Que	22	3	15	18	8	18	0	4	0	0	45	20	2	0	0	0	0	0	0	0	0.0	0	0	0.0	0.82	0.82
Pierre-Maxime Poudrier	C	VdO	17	6	10	16	-3	6	1	4	1	1	40	18	1	0	2	1	0	0	0	0	0.0	389	214	55.0	0.94	0.35
Vladimir Tkachev	LW	Que	21	6	10	16	8	11	2	4	0	0	42	22	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.76	0.52
Jacob Sweeney	D	Mon	16	5	11	16	-9	4	3	6	0	0	33	15	1	0	1	0	0	0	0	0	0.0	0	0	0.0	1.0	0.25
Frederik Gauthier	C	Rim	20	2	14	16	0	4	0	4	0	0	45	23	2	0	0	0	0	0	0	0	0.0	630	342	54.3	0.8	0.2
Maxime St-Cyr	C	BaC	12	12	3	15	4	6	5	1	1	0	64	35	2	0	1	3	0	0	0	0	0.0	274	121	44.2	1.25	0.5
Jerome Verrier	RW	Que	20	6	9	15	8	25	3	1	0	0	52	23	0	0	0	1	0	0	0	0	0.0	171	89	52.0	0.75	1.25
Nicolas Aube-Kubel	RW	VdO	17	5	10	15	-7	22	1	3	2	0	57	23	1	0	0	0	0	0	0	0	0.0	6	2	33.3	0.88	1.29
Anthony Beauregard	C	VdO	17	5	10	15	3	14	2	4	0	1	43	26	1	1	0	1	0	0	0	0	0.0	341	176	51.6	0.88	0.82
Nikolas Brouillard	D	Que	22	3	12	15	18	24	3	7	0	0	66	11	0	0	0	1	0	0	0	0	0.0	1	1	100.0	0.68	1.09
Jeremie Fraser	D	VdO	16	2	13	15	-3	58	2	6	0	1	43	10	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.94	3.63
Frederic Gamelin	C	BaC	12	4	10	14	10	12	1	4	1	0	32	13	0	0	1	0	0	0	0	0	0.0	201	105	52.2	1.17	1.0
Stephen Johnson	C	Mon	14	8	3	11	-6	14	0	0	0	0	43	28	3	0	0	1	0	0	0	0	0.0	61	30	49.2	0.79	1.0
Daniel Sprong	RW	Cha	10	7	4	11	-6	6	5	2	0	0	52	31	1	0	1	1	0	0	0	0	0.0	0	0	0.0	1.1	0.6
Matt Murphy	D	Que	22	6	5	11	16	14	1	0	0	0	51	17	1	0	0	1	0	0	0	0	0.0	0	0	0.0	0.5	0.64
Ryan Graves	D	Que	21	5	6	11	11	25	1	3	0	0	60	11	1	0	1	1	0	0	0	0	0.0	1	1	100.0	0.52	1.19
Ross Johnston	LW	Cha	10	4	7	11	0	28	1	4	0	0	30	21	0	0	1	0	0	0	0	0	0.0	1	1	100.0	1.1	2.8
Vaclav Karabacek	RW	BaC	12	4	7	11	0	14	1	2	0	0	41	15	0	0	0	1	0	0	0	0	0.0	1	0	0.0	0.92	1.17
Yakov Trenin	LW	Gat	11	3	8	11	1	10	1	1	0	0	21	14	1	0	2	0	0	0	0	0	0.0	219	115	52.5	1.0	0.91
Marc-Olivier Roy	C	Que	14	3	8	11	12	2	0	3	0	0	34	14	0	0	0	0	0	0	0	0	0.0	200	103	51.5	0.79	0.14
Dominic Talbot-Tassi	D	Mon	16	3	8	11	-7	2	3	4	0	0	33	10	1	0	1	1	0	0	0	0	0.0	2	1	50.0	0.69	0.13
Samuel Morin	D	Rim	19	1	10	11	10	28	0	3	0	0	34	5	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.58	1.47
