PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Maxime Talbot	C	Gat	15	11	16	27	17	0	6	5	0	1	55	55	2	0	2	0	0	0	0	0	0.0	443	225	50.8	1.8	0.0
Guillaume Fournier	RW	Gat	15	11	12	23	10	4	4	4	1	0	60	60	2	0	2	1	0	0	0	0	0.0	17	13	76.5	1.53	0.27
Guillaume Labrecque	C	Gat	15	10	12	22	7	10	4	7	0	0	30	30	2	0	3	1	0	0	0	0	0.0	15	9	60.0	1.47	0.67
Jean-Michel Daoust	RW	Gat	15	7	15	22	13	16	1	6	1	0	52	52	1	1	0	1	0	0	0	0	0.0	5	4	80.0	1.47	1.07
Stanislav Lascek	C	Chi	18	5	13	18	-1	30	2	8	0	0	66	66	1	0	1	0	0	0	0	0	0.0	8	5	62.5	1.0	1.67
Martins Karsums	LW	Mon	20	8	9	17	8	14	3	3	0	0	43	43	2	0	1	0	0	0	0	0	0.0	60	22	36.7	0.85	0.7
Steve Bernier	RW	Mon	20	7	10	17	7	17	2	3	0	0	57	57	2	1	2	1	0	0	0	0	0.0	33	13	39.4	0.85	0.85
Karl Gagne	LW	Mon	20	6	11	17	3	8	2	3	0	0	50	50	1	0	0	2	0	0	0	0	0.0	523	268	51.2	0.85	0.4
Mathieu Betournay	LW	Mon	20	11	5	16	8	8	3	2	0	0	68	68	3	0	3	2	0	0	0	0	0.0	33	15	45.5	0.8	0.4
Maxime Boisclair	RW	Chi	18	9	7	16	-6	14	5	2	2	0	44	44	2	1	2	1	0	0	0	0	0.0	18	7	38.9	0.89	0.78
Sidney Crosby	C	Rim	9	7	9	16	5	10	2	6	1	0	44	44	2	0	2	1	0	0	0	0	0.0	212	104	49.1	1.78	1.11
