PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Stanislav Galiev	RW	SNB	17	16	18	34	30	6	1	4	0	0	83	50	2	1	1	0	0	0	0	0	0.0	5	2	40.0	2.0	0.35
Charles Coyle	RW	SNB	17	15	19	34	27	8	4	6	0	1	67	48	5	1	4	1	0	0	0	0	0.0	307	142	46.3	2.0	0.47
Zack Phillips	C	SNB	17	9	23	32	29	4	3	3	0	0	53	32	1	1	0	2	0	0	0	0	0.0	172	94	54.7	1.88	0.24
Tomas Jurco	RW	SNB	16	13	16	29	24	12	2	2	1	0	61	34	2	0	1	3	0	0	0	0	0.0	6	1	16.7	1.81	0.75
Nathan MacKinnon	C	Hal	17	13	15	28	12	12	4	6	0	0	75	50	1	0	2	2	0	0	0	0	0.0	399	225	56.4	1.65	0.71
Jonathan Drouin	LW	Hal	17	9	17	26	6	4	0	10	0	0	47	25	4	1	1	0	0	0	0	0	0.0	5	2	40.0	1.53	0.24
Alexandre Mallet	C	Rim	21	10	15	25	11	22	2	5	0	0	48	28	0	0	1	2	0	0	0	0	0.0	445	237	53.3	1.19	1.05
Alex Belzile	RW	Rim	21	7	18	25	8	28	3	6	0	0	41	21	0	0	3	0	0	0	0	0	0.0	174	78	44.8	1.19	1.33
Petr Straka	RW	Rim	21	10	12	22	-1	6	0	3	0	0	80	41	2	1	0	1	0	0	0	0	0.0	8	1	12.5	1.05	0.29
Danick Gauthier	C	SNB	17	13	8	21	12	28	2	2	0	0	67	46	2	0	2	0	0	0	0	0	0.0	225	109	48.4	1.24	1.65
Jonathan Huberdeau	LW	SNB	15	10	11	21	11	18	2	2	2	0	57	38	1	0	0	5	0	0	0	0	0.0	78	43	55.1	1.4	1.2
Jess Tanguy	C	BLB	11	8	12	20	3	14	4	5	0	0	45	26	1	0	3	1	0	0	0	0	0.0	185	100	54.1	1.82	1.27
Cameron Critchlow	LW	Hal	16	12	7	19	11	27	4	0	0	0	39	26	1	0	1	2	0	0	0	0	0.0	147	74	50.3	1.19	1.69
Jerome Gauthier-Leduc	D	Rim	21	9	10	19	4	12	5	4	0	0	84	23	2	0	0	0	0	0	0	0	0.0	0	0	0.0	0.9	0.57
Christian Ouellet	RW	Chi	18	13	5	18	-2	16	5	2	2	0	59	30	1	0	3	2	0	0	0	0	0.0	43	21	48.8	1.0	0.89
Peter Trainor	LW	Rim	21	12	6	18	6	2	3	1	0	0	60	37	4	0	3	0	0	0	0	0	0.0	0	0	0.0	0.86	0.1
Cedric Paquette	C	BLB	11	7	10	17	6	22	1	5	0	0	41	26	4	0	1	1	0	0	0	0	0.0	263	137	52.1	1.55	2.0
Guillaume Asselin	RW	Chi	18	6	11	17	1	14	3	4	0	0	53	30	2	0	0	0	0	0	0	0	0.0	2	1	50.0	0.94	0.78
Konrad Abeltshauser	D	Hal	15	5	11	16	1	16	3	7	0	0	38	7	0	0	2	0	0	0	0	0	0.0	0	0	0.0	1.07	1.07
