PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Drake Batherson	RW	BLB	22	13	20	33	16	19	3	7	0	0	77	48	1	0	2	2	0	0	0	0	0.0	115	58	50.4	1.5	0.86
Alexandre Alain	RW	BLB	22	16	14	30	13	26	7	6	1	2	104	55	3	1	4	3	0	0	0	0	0.0	311	177	56.9	1.36	1.18
Alex Barre-Boulet	C	BLB	19	13	14	27	11	14	4	6	2	1	90	49	3	0	1	1	0	0	0	0	0.0	221	112	50.7	1.42	0.74
Jeffrey Truchon-Viel	LW	Bat	20	14	9	23	9	34	1	2	1	0	102	56	5	0	3	2	0	0	0	0	0.0	2	0	0.0	1.15	1.7
Joel Teasdale	LW	BLB	22	8	13	21	4	14	3	6	1	0	80	54	2	0	2	1	0	0	0	0	0.0	48	23	47.9	0.95	0.64
Olivier Galipeau	D	Bat	20	5	15	20	9	24	2	4	0	1	65	10	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	1.2
Antoine Morand	C	Bat	20	8	11	19	4	18	3	1	0	0	45	21	1	0	1	2	0	0	0	0	0.0	330	189	57.3	0.95	0.9
Alexander Katerinakis	RW	BLB	22	8	9	17	7	22	0	1	1	1	60	30	3	0	1	0	0	0	0	0	0.0	38	13	34.2	0.77	1.0
Nikita Alexandrov	C	Cha	18	7	10	17	3	8	2	6	0	0	41	24	1	0	1	0	0	0	0	0	0.0	205	95	46.3	0.94	0.44
Ethan Crossman	LW	Bat	20	10	6	16	13	12	0	3	0	0	58	27	3	0	1	1	0	0	0	0	0.0	0	0	0.0	0.8	0.6
Vitalii Abramov	C	Vic	13	9	7	16	0	21	3	2	0	1	36	16	2	0	3	0	0	0	0	0	0.0	222	111	50.0	1.23	1.62
Derek Gentile	RW	Cha	18	8	8	16	-6	4	3	4	0	0	52	23	0	0	1	2	0	0	0	0	0.0	92	43	46.7	0.89	0.22
Ivan Kosorenkov	RW	Vic	14	4	12	16	2	16	0	3	0	0	29	25	0	0	0	1	0	0	0	0	0.0	1	0	0.0	1.14	1.14
Daniel Hardie	LW	Cha	18	3	12	15	6	10	1	2	0	0	49	23	0	0	0	0	0	0	0	0	0.0	2	0	0.0	0.83	0.56
Keith Getson	C	Cha	18	10	4	14	11	8	2	2	1	0	53	39	3	1	1	1	0	0	0	0	0.0	442	253	57.2	0.78	0.44
Pascal Aquin	LW	Cha	18	8	6	14	13	18	0	1	0	1	41	23	1	1	1	1	0	0	0	0	0.0	20	8	40.0	0.78	1.0
Luke Henman	C	BLB	20	6	8	14	8	6	2	1	0	0	33	26	1	0	0	1	0	0	0	0	0.0	234	136	58.1	0.7	0.3
James Phelan	C	Mon	12	9	4	13	-3	12	3	1	1	1	29	20	2	0	2	0	0	0	0	0	0.0	351	193	55.0	1.08	1.0
Mitchell Balmas	LW	Bat	16	5	8	13	4	10	1	2	0	0	42	22	0	0	0	2	0	0	0	0	0.0	2	0	0.0	0.81	0.63
Adam Holwell	D	Bat	20	5	8	13	8	10	3	0	0	1	44	13	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.65	0.5
Noah Dobson	D	Bat	20	3	10	13	9	24	1	5	0	0	75	12	2	0	1	0	0	0	0	0	0.0	0	0	0.0	0.65	1.2
Brett Budgell	LW	Cha	18	6	6	12	2	16	2	3	0	0	27	16	2	1	2	0	0	0	0	0	0.0	1	0	0.0	0.67	0.89
Arnaud Durandeau	LW	Hal	9	5	7	12	-2	10	0	5	0	0	23	13	0	0	1	0	0	0	0	0	0.0	2	1	50.0	1.33	1.11
Filip Zadina	RW	Hal	9	5	7	12	2	0	1	1	0	0	36	25	0	0	2	0	0	0	0	0	0.0	13	8	61.5	1.33	0.0
Maxime Comtois	LW	Vic	13	4	8	12	1	16	2	0	0	2	47	23	0	0	1	0	0	0	0	0	0.0	51	17	33.3	0.92	1.23
Nicholas Welsh	D	Mon	12	3	9	12	-10	10	2	4	0	0	33	13	1	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	0.83
Pierre-Olivier Joseph	D	Cha	18	1	11	12	3	24	0	5	0	0	32	5	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.67	1.33
Joseph Veleno	C	Dru	10	5	6	11	-1	10	1	4	0	0	30	16	2	0	1	0	0	0	0	0	0.0	111	47	42.3	1.1	1.0
Xavier Parent	C	Hal	9	4	7	11	2	14	2	0	0	1	22	11	0	0	1	1	0	0	0	0	0.0	122	62	50.8	1.22	1.56
Simon Lafrance	C	Vic	14	4	7	11	4	0	0	1	1	0	32	20	0	0	1	1	0	0	0	0	0.0	61	21	34.4	0.79	0.0
Cameron Askew	RW	Cha	18	4	7	11	4	16	2	0	0	1	45	22	2	1	0	1	0	0	0	0	0.0	142	67	47.2	0.61	0.89
Nicolas Beaudin	D	Dru	10	3	8	11	2	2	1	2	0	0	30	5	0	0	0	1	0	0	0	0	0.0	0	0	0.0	1.1	0.2
Samuel Asselin	C	Bat	20	3	8	11	4	16	0	1	0	0	37	20	0	0	2	0	0	0	0	0	0.0	312	178	57.1	0.55	0.8
Justin Ducharme	RW	Bat	20	3	8	11	11	6	0	0	2	2	30	13	0	0	0	0	0	0	0	0	0.0	17	7	41.2	0.55	0.3
Hunter Drew	D	Cha	18	2	9	11	11	30	1	4	0	0	65	10	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.61	1.67
Jeremy McKenna	RW	Mon	12	1	10	11	-2	2	0	3	1	0	53	34	0	0	1	0	0	0	0	0	0.0	31	11	35.5	0.92	0.17
German Rubtsov	C	Bat	19	5	5	10	0	11	1	3	1	0	41	24	1	0	1	0	0	0	0	0	0.0	37	16	43.2	0.53	0.58
Liam Murphy	LW	Bat	20	4	6	10	2	11	1	1	0	0	35	18	1	1	0	1	0	0	0	0	0.0	15	8	53.3	0.5	0.55
Yvan Mongo	C	Dru	10	3	7	10	3	2	0	2	0	0	38	22	0	0	0	1	0	0	0	0	0.0	264	150	56.8	1.0	0.2
Jimmy Huntington	C	Vic	13	3	7	10	3	4	1	3	0	0	38	20	0	0	0	1	0	0	0	0	0.0	79	47	59.5	0.77	0.31
Felix Lauzon	C	Vic	14	3	7	10	2	21	0	2	1	0	22	11	0	0	1	1	0	0	0	0	0.0	217	118	54.4	0.71	1.5
Jordan Maher	RW	Bat	20	2	8	10	0	4	0	1	0	0	37	14	1	0	0	1	0	0	0	0	0.0	52	23	44.2	0.5	0.2
Matthew Grouchy	RW	Que	7	1	9	10	3	2	0	2	0	0	14	3	0	0	0	0	0	0	0	0	0.0	2	1	50.0	1.43	0.29
Daniil Miromanov	D	Mon	12	1	9	10	-6	6	0	6	0	0	29	14	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.83	0.5
Pascal Corbeil	D	BLB	13	0	10	10	-8	2	0	8	0	0	16	1	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.77	0.15
Charles-Antoine Giguere	RW	BLB	22	5	4	9	1	7	1	0	0	0	33	23	1	0	1	1	0	0	0	0	0.0	5	2	40.0	0.41	0.32
