PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Michael Kirkpatrick	C	SNB	21	15	16	31	11	30	6	8	1	0	78	78	2	0	2	4	0	0	0	0	0.0	331	192	58.0	1.48	1.43
Kelsey Tessier	C	Mon	21	14	16	30	17	14	4	5	0	0	72	72	2	0	0	3	0	0	0	0	0.0	559	266	47.6	1.43	0.67
Gabriel Bourque	LW	Mon	21	19	10	29	19	18	5	3	0	0	66	66	4	0	5	2	0	0	0	0	0.0	16	7	43.8	1.38	0.86
Nicholas Petersen	RW	SNB	21	7	21	28	7	14	3	7	0	0	74	74	1	1	0	1	0	0	0	0	0.0	1	1	100.0	1.33	0.67
Mike Hoffman	C	SNB	21	11	13	24	2	23	6	7	1	1	78	78	1	0	1	2	0	0	0	0	0.0	410	214	52.2	1.14	1.1
Philip-Michael Devos	C	Vic	16	9	15	24	1	12	3	10	1	0	43	43	2	1	1	1	0	0	0	0	0.0	362	193	53.3	1.5	0.75
Mark Barberio	D	Mon	21	5	17	22	10	12	3	9	0	0	51	51	0	0	0	2	0	0	0	0	0.0	0	0	0.0	1.05	0.57
Randy Cameron	C	Mon	21	13	8	21	12	8	4	2	0	0	63	63	0	0	2	1	0	0	0	0	0.0	408	173	42.4	1.0	0.38
Gabriel Dumont	RW	Dru	14	11	10	21	14	19	2	1	1	1	79	79	2	0	2	3	0	0	0	0	0.0	13	4	30.8	1.5	1.36
Christopher DiDomenico	LW	Dru	14	7	14	21	11	18	1	4	0	0	42	42	1	0	4	0	0	0	0	0	0.0	16	8	50.0	1.5	1.29
Stanislav Galiev	LW	SNB	21	8	11	19	1	14	2	4	0	0	60	60	0	0	1	1	0	0	0	0	0.0	26	11	42.3	0.9	0.67
Simon Despres	D	SNB	21	2	17	19	14	18	2	10	0	0	55	55	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.9	0.86
Jonathan Huberdeau	C	SNB	21	11	7	18	11	22	1	2	0	0	41	41	4	0	2	1	0	0	0	0	0.0	117	64	54.7	0.86	1.05
Sean Couturier	C	Dru	14	10	8	18	11	18	2	2	1	0	64	64	2	1	1	0	0	0	0	0	0.0	378	213	56.3	1.29	1.29
Jordan Caron	RW	Rou	11	7	11	18	1	15	3	5	0	0	51	51	0	0	1	1	0	0	0	0	0.0	8	4	50.0	1.64	1.36
Tomas Jurco	RW	SNB	21	7	10	17	4	8	2	6	0	0	50	50	2	1	1	0	0	0	0	0	0.0	2	0	0.0	0.81	0.38
Daniel Pettersson	C	Mon	21	6	11	17	8	4	1	2	0	0	61	61	2	1	1	3	0	0	0	0	0.0	5	4	80.0	0.81	0.19
Marek Hrivik	LW	Mon	21	5	12	17	13	8	3	3	0	0	38	38	1	0	1	1	0	0	0	0	0.0	2	1	50.0	0.81	0.38
Brandon Gormley	D	Mon	21	2	15	17	14	10	0	9	0	0	46	46	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.81	0.48
Nathan Beaulieu	D	SNB	21	4	12	16	8	22	1	7	0	0	47	47	0	0	0	1	0	0	0	0	0.0	1	1	100.0	0.76	1.05
Yann Sauve	D	SNB	21	5	10	15	-1	36	2	2	0	0	48	48	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.71	1.71
David Savard	D	Mon	21	1	14	15	20	8	0	7	0	0	64	64	1	1	0	0	0	0	0	0	0.0	1	0	0.0	0.71	0.38
Petr Straka	RW	Rim	12	5	9	14	3	10	1	2	0	0	20	20	1	0	1	0	0	0	0	0	0.0	2	0	0.0	1.17	0.83
Nicolas Deschamps	LW	Mon	15	5	9	14	10	10	1	3	0	0	30	30	1	0	3	0	0	0	0	0	0.0	4	3	75.0	0.93	0.67
