PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Francis Perron	LW	Rou	18	12	21	33	18	11	3	12	1	1	58	33	2	0	1	1	0	0	0	0	0.0	9	4	44.4	1.83	0.61
Anthony Beauvillier	C	Sha	21	15	15	30	12	16	8	6	0	1	108	63	3	0	3	1	0	0	0	0	0.0	531	271	51.0	1.43	0.76
Dmytro Timashov	LW	Sha	21	13	15	28	11	40	3	8	0	0	72	33	0	0	0	3	0	0	0	0	0.0	2	1	50.0	1.33	1.9
Alexis D'Aoust	RW	Sha	21	9	17	26	11	18	2	3	0	0	72	45	1	0	3	1	0	0	0	0	0.0	14	8	57.1	1.24	0.86
Sam Povorozniouk	RW	SNB	17	14	11	25	7	12	5	6	0	0	70	40	1	0	3	1	0	0	0	0	0.0	28	13	46.4	1.47	0.71
Timo Meier	RW	Rou	18	11	12	23	11	30	6	8	1	0	74	43	2	0	2	2	0	0	0	0	0.0	27	16	59.3	1.28	1.67
Anthony-John Greer	LW	Rou	20	12	10	22	14	28	4	7	0	0	67	45	2	0	1	4	0	0	0	0	0.0	10	4	40.0	1.1	1.4
Gabriel Gagne	RW	Sha	21	11	11	22	13	22	2	1	0	0	61	37	2	0	0	3	0	0	0	0	0.0	1	1	100.0	1.05	1.05
Samuel Girard	D	Sha	21	2	20	22	15	4	1	11	0	0	31	5	1	1	1	0	0	0	0	0	0.0	0	0	0.0	1.05	0.19
Thomas Chabot	D	SNB	17	3	18	21	5	13	0	11	0	0	64	11	1	1	1	0	0	0	0	0	0.0	0	0	0.0	1.24	0.76
Matthew Highmore	C	SNB	17	9	11	20	1	12	4	4	0	0	72	34	2	1	2	1	0	0	0	0	0.0	376	197	52.4	1.18	0.71
Nikolas Brouillard	D	Rou	19	5	15	20	10	32	4	11	0	0	50	13	1	0	0	1	0	0	0	0	0.0	0	0	0.0	1.05	1.68
Cavan Fitzgerald	D	Sha	21	3	17	20	14	8	0	6	0	1	58	10	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.95	0.38
Jean-Christophe Beaudin	C	Rou	17	7	12	19	12	8	4	5	1	0	39	26	1	0	0	1	0	0	0	0	0.0	344	203	59.0	1.12	0.47
Samuel Blais	LW	Cha	12	4	15	19	2	14	0	7	0	0	36	19	2	1	0	0	0	0	0	0	0.0	6	2	33.3	1.58	1.17
Danny Moynihan	C	Sha	21	4	15	19	15	10	0	3	1	1	60	30	1	1	1	0	0	0	0	0	0.0	376	214	56.9	0.9	0.48
Spencer Smallman	RW	SNB	17	3	16	19	5	12	1	3	0	0	29	19	0	0	1	0	0	0	0	0	0.0	12	2	16.7	1.12	0.71
Martins Dzierkals	RW	Rou	20	7	10	17	13	12	1	3	0	0	42	22	3	0	3	1	0	0	0	0	0.0	1	0	0.0	0.85	0.6
Manuel Wiederer	C	Mon	17	12	4	16	-1	12	3	1	1	0	59	36	2	0	4	1	0	0	0	0	0.0	83	47	56.6	0.94	0.71
Michael Joly	RW	Cap	13	11	5	16	7	10	4	2	2	0	56	43	2	0	2	1	0	0	0	0	0.0	4	2	50.0	1.23	0.77
Brandon Gignac	C	Sha	20	7	9	16	-2	8	2	3	0	0	35	22	3	0	2	0	0	0	0	0	0.0	241	141	58.5	0.8	0.4
Gabriel Fontaine	C	Rou	20	5	11	16	19	24	0	1	0	0	49	28	1	0	1	1	0	0	0	0	0.0	408	210	51.5	0.8	1.2
Philippe Myers	D	Rou	20	4	12	16	17	18	4	3	0	0	57	16	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.8	0.9
Dennis Yan	LW	Sha	20	10	5	15	2	32	3	1	0	0	59	40	1	0	1	0	0	0	0	0	0.0	5	2	40.0	0.75	1.6
Giovanni Fiore	RW	Cap	13	8	7	15	1	8	1	2	0	0	38	22	1	1	1	1	0	0	0	0	0.0	5	2	40.0	1.15	0.62
Maxim Lazarev	LW	Cap	11	5	10	15	2	4	3	6	0	0	32	21	1	0	1	1	0	0	0	0	0.0	2	0	0.0	1.36	0.36
Conor Garland	RW	Mon	17	5	10	15	-3	18	1	6	0	0	83	42	0	0	0	0	0	0	0	0	0.0	6	2	33.3	0.88	1.06
Daniel Sprong	RW	Cha	12	4	11	15	-3	12	1	3	0	0	58	25	1	0	1	1	0	0	0	0	0.0	25	7	28.0	1.25	1.0
