season_type	season_stats_url
1984-85 | Regular Season	https://chl.ca/lhjmq/en/stats/players/124/
1984 | Playoffs	https://chl.ca/lhjmq/en/stats/players/123/
1983-84 | Regular Season	https://chl.ca/lhjmq/en/stats/players/122/
1983 | Playoffs	https://chl.ca/lhjmq/en/stats/players/121/
1982-83 | Regular Season	https://chl.ca/lhjmq/en/stats/players/120/
1982 | Playoffs	https://chl.ca/lhjmq/en/stats/players/119/
1981-82 | Regular Season	https://chl.ca/lhjmq/en/stats/players/118/
1981 | Playoffs	https://chl.ca/lhjmq/en/stats/players/117/
1980-81 | Regular Season	https://chl.ca/lhjmq/en/stats/players/116/
1980 | Playoffs	https://chl.ca/lhjmq/en/stats/players/115/
1979-80 | Regular Season	https://chl.ca/lhjmq/en/stats/players/114/
1979 | Playoffs	https://chl.ca/lhjmq/en/stats/players/113/
1978-79 | Regular Season	https://chl.ca/lhjmq/en/stats/players/112/
1978 | Playoffs	https://chl.ca/lhjmq/en/stats/players/111/
1977-78 | Regular Season	https://chl.ca/lhjmq/en/stats/players/110/
1977 | Playoffs	https://chl.ca/lhjmq/en/stats/players/109/
1976-77 | Regular Season	https://chl.ca/lhjmq/en/stats/players/108/
1976 | Playoffs	https://chl.ca/lhjmq/en/stats/players/107/
1975-76 | Regular Season	https://chl.ca/lhjmq/en/stats/players/106/
1975 | Playoffs	https://chl.ca/lhjmq/en/stats/players/103/
1974-75 | Regular Season	https://chl.ca/lhjmq/en/stats/players/102/
1974 | Playoffs	https://chl.ca/lhjmq/en/stats/players/101/
1973-74 | Regular Season	https://chl.ca/lhjmq/en/stats/players/100/
1973 | Playoffs	https://chl.ca/lhjmq/en/stats/players/99/
1972-73 | Regular Season	https://chl.ca/lhjmq/en/stats/players/98/
1972 | Playoffs	https://chl.ca/lhjmq/en/stats/players/96/
1971-72 | Regular Season	https://chl.ca/lhjmq/en/stats/players/95/
1971 | Playoffs	https://chl.ca/lhjmq/en/stats/players/94/
1970-71 | Regular Season	https://chl.ca/lhjmq/en/stats/players/93/
1970 | Playoffs	https://chl.ca/lhjmq/en/stats/players/92/
1969-70 | Regular Season	https://chl.ca/lhjmq/en/stats/players/91/
