PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Taylor Hall	LW	WSR	19	17	18	35	16	32	7	5	0	0	0	0	3	1	3	3	0	0	0	0	0.0	0	0	0.0	1.84	1.68
Jeff Skinner	C	KIT	20	20	13	33	3	14	9	5	0	2	0	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	1.65	0.7
Ryan Ellis	D	WSR	19	3	30	33	14	14	2	13	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	1.74	0.74
Nazem Kadri	C	LDN	12	9	18	27	1	26	5	9	0	0	0	0	2	1	0	0	0	0	0	0	0.0	0	0	0.0	2.25	2.17
Chris MacKinnon	LW	KIT	20	7	20	27	-3	33	1	11	0	0	0	0	0	0	1	2	0	0	0	0	0.0	0	0	0.0	1.35	1.65
Adam Henrique	C	WSR	19	20	5	25	12	12	3	0	2	0	0	0	2	0	1	6	0	0	0	0	0.0	0	0	0.0	1.32	0.63
Gabriel Landeskog	RW	KIT	20	8	15	23	7	18	3	1	2	1	0	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	1.15	0.9
Scott Timmins	C	WSR	19	11	11	22	15	18	1	2	1	0	0	0	2	1	2	2	0	0	0	0	0.0	0	0	0.0	1.16	0.95
Jeremy Morin	LW	KIT	20	12	9	21	1	32	5	3	0	0	0	0	1	0	3	1	0	0	0	0	0.0	0	0	0.0	1.05	1.6
Daniel Erlich	C	LDN	12	9	12	21	6	15	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.75	1.25
Bryan Cameron	RW	BAR	17	11	9	20	6	16	6	3	0	0	0	0	1	0	1	3	0	0	0	0	0.0	0	0	0.0	1.18	0.94
Luke Pither	C	BAR	17	9	11	20	5	4	5	6	0	0	0	0	3	1	1	1	0	0	0	0	0.0	0	0	0.0	1.18	0.24
Jason Akeson	RW	KIT	20	8	11	19	8	14	1	6	0	0	0	0	4	1	0	0	0	0	0	0	0.0	0	0	0.0	0.95	0.7
Mark Cundari	D	WSR	19	3	15	18	19	42	1	2	1	1	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.95	2.21
Jared Knight	RW	LDN	12	10	7	17	6	12	2	3	0	0	0	0	0	0	3	2	0	0	0	0	0.0	0	0	0.0	1.42	1.0
Dale Mitchell	RW	WSR	19	7	10	17	8	16	1	3	0	0	0	0	4	0	2	0	0	0	0	0	0.0	0	0	0.0	0.89	0.84
Ryan Murphy	D	KIT	20	5	12	17	-2	16	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.85	0.8
Alexander Burmistrov	C	BAR	17	8	8	16	11	22	3	2	0	0	0	0	0	0	3	0	0	0	0	0	0.0	0	0	0.0	0.94	1.29
Zack Kassian	RW	WSR	19	7	9	16	9	38	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.84	2.0
John Moore	D	KIT	20	4	12	16	3	2	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.8	0.1
Matt Kennedy	RW	BAR	17	9	6	15	13	11	2	2	0	0	0	0	1	0	2	3	0	0	0	0	0.0	0	0	0.0	0.88	0.65
Phil McRae	C	PLY	9	6	9	15	7	11	3	0	0	0	0	0	3	0	0	1	0	0	0	0	0.0	0	0	0.0	1.67	1.22
Justin Shugg	RW	WSR	18	5	10	15	0	10	2	3	0	0	0	0	0	0	3	0	0	0	0	0	0.0	0	0	0.0	0.83	0.56
T.J. Brodie	D	BAR	17	1	14	15	11	14	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.88	0.82
Devante Smith-Pelly	LW	MISS	16	8	6	14	-1	20	4	2	0	0	0	0	2	0	1	2	0	0	0	0	0.0	0	0	0.0	0.88	1.25
Ryan Hayes	RW	PLY	9	7	7	14	8	15	1	3	0	0	0	0	0	0	3	1	0	0	0	0	0.0	0	0	0.0	1.56	1.67
Casey Cizikas	C	MISS	16	7	7	14	-2	16	2	3	0	0	0	0	1	0	2	2	0	0	0	0	0.0	0	0	0.0	0.88	1.0
Kyle Clifford	LW	BAR	17	5	9	14	4	28	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.82	1.65
Cam Fowler	D	WSR	19	3	11	14	-3	10	2	6	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.74	0.53
Alex Pietrangelo	D	BAR	17	2	12	14	3	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.82	0.47
Tyler Toffoli	RW	OTT	12	7	6	13	-2	10	2	2	0	0	0	0	2	0	1	0	0	0	0	0	0.0	0	0	0.0	1.08	0.83
Anthony Nigro	LW	OTT	12	6	7	13	6	12	1	3	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	1.08	1.0
Dan Kelly	D	KIT	20	4	9	13	7	23	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.65	1.15
Cameron Gaunce	D	MISS	16	0	13	13	4	34	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.81	2.13
Corey Cowick	LW	OTT	12	9	3	12	3	27	3	1	2	0	0	0	2	0	1	1	0	0	0	0	0.0	0	0	0.0	1.0	2.25
Sean Jones	LW	BRA	11	8	4	12	0	12	4	2	0	0	0	0	1	1	1	1	0	0	0	0	0.0	0	0	0.0	1.09	1.09
AJ Jenks	C	PLY	9	4	8	12	4	14	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.33	1.56
Riley Brace	LW	MISS	16	3	9	12	4	16	1	2	0	0	0	0	1	0	3	0	0	0	0	0	0.0	0	0	0.0	0.75	1.0
Greg Nemisz	RW	WSR	15	2	10	12	0	12	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.8	0.8
Nick Crawford	D	BAR	17	0	12	12	3	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.71	0.24
Colin Martin	LW	LDN	10	4	7	11	2	10	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	1.1	1.0
Tyler Seguin	C	PLY	9	5	5	10	-5	8	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0.0	0	0	0.0	1.11	0.89
Darren Archibald	LW	BAR	16	5	5	10	-3	16	2	3	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.63	1.0
Eric Wellwood	LW	WSR	19	4	6	10	9	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0.0	0	0	0.0	0.53	0.32
Cody Hodgson	C	BRA	11	3	7	10	-3	4	0	4	1	1	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.91	0.36
Cody Lindsay	C	OTT	12	3	7	10	-3	4	1	2	0	0	0	0	1	1	0	1	0	0	0	0	0.0	0	0	0.0	0.83	0.33
Alex Hutchings	RW	BAR	13	2	8	10	4	12	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.77	0.92
Steven Tarasuk	D	LDN	12	1	9	10	-2	14	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.83	1.17
Stefan Della Rovere	LW	BAR	17	8	1	9	3	29	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0.0	0	0	0.0	0.53	1.71
Julian Cimadamore	C	KIT	20	6	3	9	-4	4	0	0	3	0	0	0	2	1	0	1	0	0	0	0	0.0	0	0	0.0	0.45	0.2
Chris DeSousa	LW	LDN	12	5	4	9	-1	32	3	1	0	0	0	0	1	0	2	2	0	0	0	0	0.0	0	0	0.0	0.75	2.67
Ryan Martindale	C	OTT	12	4	5	9	-2	6	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0.0	0	0	0.0	0.75	0.5
Scott Tanski	RW	BRA	11	3	6	9	-3	10	2	3	0	1	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.82	0.91
Justin Taylor	LW	LDN	12	3	6	9	-4	22	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.75	1.83
Michael Latta	C	GUE	5	2	7	9	0	14	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.8	2.8
