PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Martin St. Pierre	C	GUE	22	8	27	35	7	20	2	13	0	1	0	0	3	0	0	1	0	0	0	0	0.0	0	0	0.0	1.59	0.91
Patrick O'Sullivan	C	MISS	24	12	11	23	0	16	3	4	1	0	0	0	0	0	2	5	0	0	0	0	0.0	0	0	0.0	0.96	0.67
Corey Perry	RW	LDN	15	7	15	22	4	20	3	6	0	0	0	0	0	0	4	0	0	0	0	0	0.0	0	0	0.0	1.47	1.33
Ryan Callahan	RW	GUE	22	13	8	21	4	20	5	3	2	0	0	0	1	0	4	4	0	0	0	0	0.0	0	0	0.0	0.95	0.91
Kevin Klein	D	GUE	22	10	11	21	8	12	4	7	0	0	0	0	0	0	1	3	0	0	0	0	0.0	0	0	0.0	0.95	0.55
Brett Trudell	RW	GUE	22	13	7	20	3	18	7	3	0	0	0	0	4	1	1	1	0	0	0	0	0.0	0	0	0.0	0.91	0.82
Brandon Prust	LW	LDN	15	7	13	20	20	33	0	0	1	1	0	0	2	1	0	2	0	0	0	0	0.0	0	0	0.0	1.33	2.2
Matt Ryan	C	GUE	22	8	11	19	11	24	1	1	0	1	0	0	2	0	2	1	0	0	0	0	0.0	0	0	0.0	0.86	1.09
Daniel Girardi	D	GUE	22	2	17	19	9	10	1	11	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.86	0.45
Daniel Paille	C	GUE	22	9	9	18	14	14	0	1	1	1	0	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	0.82	0.64
Jakub Koreis	C	GUE	22	8	10	18	7	24	4	2	1	0	0	0	2	0	1	1	0	0	0	0	0.0	0	0	0.0	0.82	1.09
Dennis Wideman	D	LDN	15	7	10	17	12	17	3	5	1	2	0	0	3	1	1	0	0	0	0	0	0.0	0	0	0.0	1.13	1.13
Lukas Grauwiler	C	MISS	24	6	11	17	8	6	1	3	2	1	0	0	2	0	1	1	0	0	0	0	0.0	0	0	0.0	0.71	0.25
Tim Brent	C	TOR	18	4	13	17	1	24	2	6	0	1	0	0	0	0	2	1	0	0	0	0	0.0	0	0	0.0	0.94	1.33
Kyle Quincey	D	MISS	24	3	13	16	0	32	1	7	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.67	1.33
Kamil Kreps	C	BRA	12	7	8	15	3	2	2	5	2	0	0	0	2	0	0	1	0	0	0	0	0.0	0	0	0.0	1.25	0.17
Trevor Kell	RW	LDN	15	7	8	15	15	14	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	1.0	0.93
Dylan Hunter	LW	LDN	15	4	10	14	-2	10	2	6	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.93	0.67
Rob Schremp	C	LDN	15	7	6	13	-2	2	4	5	0	0	0	0	2	0	1	1	0	0	0	0	0.0	0	0	0.0	0.87	0.13
Tom Zanoski	LW	MISS	23	7	6	13	1	20	1	1	0	1	0	0	1	1	4	0	0	0	0	0	0.0	0	0	0.0	0.57	0.87
David Bolland	RW	LDN	15	3	10	13	3	18	2	2	1	1	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.87	1.2
Sal Peralta	C	TOR	18	3	10	13	4	4	2	4	0	1	0	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	0.72	0.22
John Mitchell	C	PLY	9	6	6	12	-4	6	3	2	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	1.33	0.67
B.J. Crombeen	RW	BAR	12	5	7	12	2	35	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0.0	0	0	0.0	1.0	2.92
Blair Jarrett	RW	MISS	24	4	8	12	5	22	2	1	0	0	0	0	2	1	1	0	0	0	0	0	0.0	0	0	0.0	0.5	0.92
Rick Steadman	LW	LDN	15	8	3	11	10	10	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0.0	0	0	0.0	0.73	0.67
Cory Stillman	C	BAR	12	5	6	11	2	6	0	1	0	0	0	0	1	1	1	2	0	0	0	0	0.0	0	0	0.0	0.92	0.5
Danny Richmond	D	LDN	15	5	6	11	7	10	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0.0	0	0	0.0	0.73	0.67
Chris Bain	LW	MISS	24	4	7	11	1	68	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0.0	0	0	0.0	0.46	2.83
Ryan Stokes	D	MISS	24	2	9	11	-1	74	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.46	3.08
Geoff Platt	C	ER	9	9	1	10	0	22	3	0	1	0	0	0	2	1	1	1	0	0	0	0	0.0	0	0	0.0	1.11	2.44
Corey Locke	C	OTT	7	7	3	10	1	10	4	2	0	0	0	0	2	0	1	0	0	0	0	0	0.0	0	0	0.0	1.43	1.43
Ryan O'Marra	C	ER	9	5	5	10	0	6	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	1.11	0.67
Bryan Little	C	BAR	12	5	5	10	0	7	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.83	0.58
Scott Sheppard	RW	LDN	14	5	5	10	0	12	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.71	0.86
Chad Painchaud	RW	MISS	24	4	6	10	5	23	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.42	0.96
James Wisniewski	D	PLY	9	3	7	10	-4	8	3	2	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	1.11	0.89
Ryan Oulahen	C	BRA	12	3	7	10	-4	6	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.83	0.5
Ryan Wilson	D	TOR	18	3	7	10	1	16	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.56	0.89
Tyler Haskins	C	TOR	18	5	4	9	-1	10	2	3	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.5	0.56
Chris Curran	LW	MISS	24	4	5	9	3	34	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0.0	0	0	0.0	0.38	1.42
Cory Vitarelli	LW	TOR	18	2	7	9	3	8	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.5	0.44
Dan Rudisuela	C	MISS	24	2	7	9	-1	10	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.38	0.42
Peter Tsimikalis	C	OTT	7	1	8	9	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.29	0.57
Mark Mancari	RW	OTT	7	5	3	8	0	11	2	2	1	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	1.14	1.57
Wojtek Wolski	LW	BRA	12	5	3	8	-4	8	2	1	0	0	0	0	2	0	1	1	0	0	0	0	0.0	0	0	0.0	0.67	0.67
Eric Himelfarb	C	KGN	5	4	4	8	-2	8	0	3	1	0	0	0	1	1	1	0	0	0	0	0	0.0	0	0	0.0	1.6	1.6
Danny Bois	RW	LDN	7	4	4	8	9	29	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.14	4.14
Chad Robinson	LW	BAR	12	4	4	8	7	35	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0.0	0	0	0.0	0.67	2.92
Dan Speer	C	BAR	12	4	4	8	-1	12	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.67	1.0
Cal Clutterbuck	RW	TOR	18	3	5	8	7	20	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.44	1.11
John Vigilante	LW	PLY	9	1	7	8	2	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.89	0.89
Tyler Harrison	LW	BRA	12	0	8	8	-2	11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.67	0.92
Ryan Card	D	GUE	22	0	8	8	14	14	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.36	0.64
Patrick Jarrett	C	OS	7	6	1	7	0	4	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	1.0	0.57
Connor Cameron	C	TOR	18	5	2	7	-2	10	4	1	0	0	0	0	3	0	1	0	0	0	0	0	0.0	0	0	0.0	0.39	0.56
Evan Brophey	C	BAR	12	4	3	7	4	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.58	0.33
Anthony Butera	D	MISS	21	4	3	7	-1	12	3	2	0	0	0	0	0	0	2	0	0	0	0	0	0.0	0	0	0.0	0.33	0.57
Anthony Stewart	RW	KGN	5	3	4	7	-3	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.4	1.4
Rodney Bauman	LW	OTT	7	3	4	7	-1	4	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0.0	0	0	0.0	1.0	0.57
Ryan Rorabeck	C	TOR	18	3	4	7	-6	10	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.39	0.56
Brad Efthimiou	RW	MISS	13	2	5	7	-4	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.54	0.31
Stefan Ruzicka	RW	OS	7	1	6	7	3	8	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	1.14
Jonas Fiedler	LW	PLY	9	1	6	7	-1	16	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.78	1.78
Derek Merlini	D	ER	9	1	6	7	3	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.78	1.33
Danny Syvret	D	LDN	15	1	6	7	15	4	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.47	0.27
Dustin VanBallegooie	D	TOR	18	1	6	7	1	36	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.39	2.0
Niko Tuomi	D	GUE	22	0	7	7	7	33	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.32	1.5
Adam Henrich	LW	BRA	12	5	1	6	-1	24	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0.0	0	0	0.0	0.5	2.0
Andre Deveaux	RW	OS	7	3	3	6	-7	21	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.86	3.0
Cam Janssen	RW	GUE	22	3	3	6	-2	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.27	2.23
Rafal Martynowski	LW	SBY	7	2	4	6	-1	10	2	1	0	0	0	0	2	0	2	0	0	0	0	0	0.0	0	0	0.0	0.86	1.43
Danny Fritsche	C	SAR	5	1	5	6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.2	0.0
Logan Hunter	LW	LDN	15	1	5	6	4	17	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.4	1.13
Chris Campoli	D	ER	8	0	6	6	-3	16	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.75	2.0
Mike Angelidis	LW	OS	7	4	1	5	-3	4	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0.0	0	0	0.0	0.71	0.57
Tim Sestito	LW	PLY	9	4	1	5	-1	14	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	0.56	1.56
Evan Kotsopoulos	LW	KGN	5	3	2	5	0	14	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	2.8
John Hecimovic	RW	SAR	5	2	3	5	-2	6	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	1.0	1.2
Daniel Sisca	C	SAR	5	2	3	5	-5	6	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	1.0	1.2
Ben Eager	LW	OSH	7	2	3	5	0	31	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0.0	0	0	0.0	0.71	4.43
Sean Langdon	C	SBY	7	2	3	5	0	10	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.71	1.43
Kyle Wharton	D	OTT	7	2	3	5	-1	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.71	0.57
Rob Hisey	C	ER	8	2	3	5	-5	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.63	1.0
Brian Lee	D	ER	9	2	3	5	-3	10	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.56	1.11
Michael Vernace	D	BRA	11	2	3	5	-4	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.45	0.73
Mark Langdon	C	BAR	12	2	3	5	-2	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.42	0.17
Adam Abraham	D	MISS	24	2	3	5	3	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.21	0.33
Cody Bass	C	MISS	24	2	3	5	0	21	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.21	0.88
Nathan O'Nabigon	LW	KIT	5	1	4	5	0	8	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	1.6
Bryan Rodney	D	KGN	5	1	4	5	-3	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	1.6
Matthew Albiani	C	OTT	7	1	4	5	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.71	1.71
Julian Talbot	C	OTT	7	1	4	5	4	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.71	0.86
Sean O'Connor	RW	ER	9	1	4	5	2	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.56	0.67
