PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Boris Katchouk	LW	SSM	24	19	18	37	7	8	5	8	2	0	107	61	2	0	3	1	0	0	0	0	0.0	27	14	51.9	1.54	0.33
Taylor Raddysh	RW	SSM	24	13	21	34	-6	14	5	5	0	1	103	65	1	0	0	2	0	0	0	0	0.0	112	51	45.5	1.42	0.58
Robert Thomas	C	HAM	21	12	20	32	12	14	1	9	1	1	60	32	1	0	1	1	0	0	0	0	0.0	485	264	54.4	1.52	0.67
Morgan Frost	C	SSM	24	10	19	29	-4	26	5	9	1	1	63	30	1	0	1	2	0	0	0	0	0.0	535	268	50.1	1.21	1.08
Logan Brown	C	KIT	19	5	22	27	12	6	1	5	0	0	53	23	1	0	2	0	0	0	0	0	0.0	335	171	51.0	1.42	0.32
Kole Sherwood	RW	KIT	19	14	12	26	5	30	3	3	0	0	84	38	3	1	1	2	0	0	0	0	0.0	25	8	32.0	1.37	1.58
Ryan Moore	C	HAM	21	8	18	26	12	30	1	5	0	0	57	28	1	1	0	0	0	0	0	0	0.0	285	143	50.2	1.24	1.43
Brandon Saigeon	C	HAM	21	18	7	25	10	10	8	4	0	0	73	30	4	0	0	4	0	0	0	0	0.0	174	103	59.2	1.19	0.48
Adam Mascherin	LW	KIT	19	9	15	24	7	16	2	7	0	0	76	39	2	0	1	1	0	0	0	0	0.0	9	5	55.6	1.26	0.84
Gabriel Vilardi	C	KGN	16	11	11	22	4	14	3	6	0	0	56	27	4	1	1	3	0	0	0	0	0.0	277	141	50.9	1.38	0.88
Nicholas Caamano	LW	HAM	21	10	12	22	12	22	2	0	1	1	80	48	4	0	2	1	0	0	0	0	0.0	38	13	34.2	1.05	1.05
Tim Gettinger	LW	SSM	24	7	15	22	10	4	2	5	0	2	81	36	2	1	0	0	0	0	0	0	0.0	81	42	51.9	0.92	0.17
Jack Kopacka	RW	SSM	24	13	8	21	-1	8	3	3	0	0	60	30	2	1	1	1	0	0	0	0	0.0	14	5	35.7	0.88	0.33
Barrett Hayton	C	SSM	24	8	13	21	-2	16	4	6	0	1	65	35	1	0	2	1	0	0	0	0	0.0	448	252	56.3	0.88	0.67
Joseph Garreffa	RW	KIT	19	8	11	19	9	2	4	3	0	0	30	14	0	0	0	1	0	0	0	0	0.0	91	38	41.8	1.0	0.11
Givani Smith	RW	KIT	18	11	7	18	5	22	3	1	0	0	70	36	1	0	0	2	0	0	0	0	0.0	7	4	57.1	1.0	1.22
Jason Robertson	RW	KGN	16	10	8	18	-3	8	5	5	0	0	61	22	0	0	2	1	0	0	0	0	0.0	3	0	0.0	1.13	0.5
Conor Timmins	D	SSM	23	5	13	18	8	16	2	9	1	0	62	12	2	0	0	0	0	0	0	0	0.0	0	0	0.0	0.78	0.7
Matthew Strome	LW	HAM	20	4	14	18	5	8	2	5	0	0	48	26	0	0	2	0	0	0	0	0	0.0	62	33	53.2	0.9	0.4
Benjamin Gleason	D	HAM	21	3	15	18	8	12	0	7	0	0	56	11	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.86	0.57
MacKenzie Entwistle	RW	HAM	21	10	7	17	9	14	4	2	0	0	41	22	1	1	2	1	0	0	0	0	0.0	219	104	47.5	0.81	0.67
Aaron Luchuk	C	BAR	12	5	12	17	2	8	0	5	0	1	39	22	0	0	1	0	0	0	0	0	0.0	357	174	48.7	1.42	0.67
Cliff Pu	C	KGN	15	4	13	17	5	6	0	5	0	1	42	22	0	0	1	1	0	0	0	0	0.0	276	162	58.7	1.13	0.4
Brett McKenzie	C	OS	11	8	8	16	5	6	3	3	0	0	41	25	1	1	2	0	0	0	0	0	0.0	193	93	48.2	1.45	0.55
Linus Nyman	LW	KGN	16	6	10	16	2	8	3	0	1	0	42	21	1	0	2	0	0	0	0	0	0.0	13	6	46.2	1.0	0.5
Sean Durzi	D	OS	11	4	12	16	6	4	0	7	0	0	34	8	0	0	0	1	0	0	0	0	0.0	0	0	0.0	1.45	0.36
Logan Stanley	D	KIT	19	4	12	16	-1	20	1	6	0	0	56	4	1	0	1	0	0	0	0	0	0.0	1	0	0.0	0.84	1.05
Mac Hollowell	D	SSM	24	2	14	16	7	22	0	5	0	0	47	7	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.67	0.92
Kevin Hancock	C	OS	11	8	7	15	-4	8	6	3	1	0	41	21	1	0	2	1	0	0	0	0	0.0	148	86	58.1	1.36	0.73
Dmitry Sokolov	RW	BAR	12	8	7	15	0	0	5	2	0	0	46	27	0	0	1	1	0	0	0	0	0.0	1	0	0.0	1.25	0.0
Marian Studenic	RW	HAM	21	3	12	15	19	12	0	0	0	0	42	28	2	0	1	0	0	0	0	0	0.0	4	1	25.0	0.71	0.57
Sean Josling	RW	SAR	12	6	8	14	7	2	0	1	1	2	37	14	2	1	0	1	0	0	0	0	0.0	6	3	50.0	1.17	0.17
Connor Bunnaman	C	KIT	19	5	9	14	0	16	2	1	0	0	46	21	0	0	1	1	0	0	0	0	0.0	168	90	53.6	0.74	0.84
Riley Stillman	D	HAM	21	5	9	14	19	23	1	2	0	0	49	7	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.67	1.1
