PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Taylor Hall	LW	WSR	20	16	20	36	15	12	6	8	0	1	0	0	2	1	0	2	0	0	0	0	0.0	0	0	0.0	1.8	0.6
Andrei Loktionov	C	WSR	20	11	22	33	18	2	2	11	0	0	0	0	4	1	1	3	0	0	0	0	0.0	0	0	0.0	1.65	0.1
Cody Hodgson	C	BRA	21	11	20	31	10	18	4	7	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	1.48	0.86
Ryan Ellis	D	WSR	20	8	23	31	16	20	5	14	0	1	0	0	1	1	2	1	0	0	0	0	0.0	0	0	0.0	1.55	1.0
Dale Mitchell	RW	WSR	20	14	15	29	17	24	4	3	0	0	0	0	0	0	5	1	0	0	0	0	0.0	0	0	0.0	1.45	1.2
Matt Duchene	C	BRA	21	14	12	26	1	21	6	5	0	1	0	0	6	0	1	0	0	0	0	0	0.0	0	0	0.0	1.24	1.0
Evgeny Grachev	LW	BRA	19	11	14	25	8	4	1	8	1	0	0	0	1	0	1	3	0	0	0	0	0.0	0	0	0.0	1.32	0.21
John Carlson	D	LDN	14	7	15	22	11	16	2	11	0	1	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	1.57	1.14
John Tavares	C	LDN	14	10	11	21	-2	8	6	6	0	0	0	0	0	0	2	1	0	0	0	0	0.0	0	0	0.0	1.5	0.57
Eric Wellwood	LW	WSR	20	10	11	21	14	12	0	1	0	0	0	0	3	2	1	1	0	0	0	0	0.0	0	0	0.0	1.05	0.6
Nazem Kadri	C	LDN	14	9	12	21	6	22	4	3	1	1	0	0	2	0	3	2	0	0	0	0	0.0	0	0	0.0	1.5	1.57
Eric Tangradi	LW	BELV	16	8	13	21	10	12	2	4	0	0	0	0	2	0	1	3	0	0	0	0	0.0	0	0	0.0	1.31	0.75
Greg Nemisz	RW	WSR	20	8	12	20	8	22	4	5	0	0	0	0	2	0	0	1	0	0	0	0	0.0	0	0	0.0	1.0	1.1
Phil Varone	C	LDN	14	10	9	19	17	19	3	1	0	2	0	0	3	1	1	1	0	0	0	0	0.0	0	0	0.0	1.36	1.36
Luke Pither	C	BELV	17	6	13	19	2	6	2	5	0	0	0	0	1	1	2	0	0	0	0	0	0.0	0	0	0.0	1.12	0.35
Michael Del Zotto	D	LDN	14	3	16	19	8	18	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.36	1.29
Nick Palmieri	RW	BELV	17	14	3	17	1	27	3	3	0	0	0	0	3	1	2	1	0	0	0	0	0.0	0	0	0.0	1.0	1.59
Adam Henrique	C	WSR	20	8	9	17	5	19	2	1	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.85	0.95
Chris Terry	C	PLY	11	7	9	16	1	18	2	5	0	0	0	0	0	0	1	2	0	0	0	0	0.0	0	0	0.0	1.45	1.64
Scott Timmins	C	WSR	20	6	10	16	13	26	3	3	1	0	0	0	2	0	2	0	0	0	0	0	0.0	0	0	0.0	0.8	1.3
Tyler Seguin	C	PLY	11	5	11	16	1	8	1	6	0	0	0	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	1.45	0.73
Matt Caria	C	PLY	11	9	6	15	1	24	6	1	0	0	0	0	1	1	0	1	0	0	0	0	0.0	0	0	0.0	1.36	2.18
Matt Kang	LW	BRA	21	8	7	15	0	23	1	1	0	0	0	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	0.71	1.1
Anthony Peluso	RW	BRA	21	8	7	15	3	29	5	2	0	0	0	0	1	1	4	0	0	0	0	0	0.0	0	0	0.0	0.71	1.38
Rob Kwiet	D	WSR	20	5	10	15	5	17	4	8	0	0	0	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	0.75	0.85
P.K. Subban	D	BELV	17	3	12	15	6	22	1	7	0	0	0	0	1	1	1	0	0	0	0	0	0.0	0	0	0.0	0.88	1.29
Bryan Cameron	RW	BELV	17	7	7	14	4	18	3	2	0	0	0	0	0	0	3	0	0	0	0	0	0.0	0	0	0.0	0.82	1.06
