PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Patrick Kane	RW	LDN	16	10	21	31	2	16	5	13	1	0	0	0	0	0	2	1	0	0	0	0	0.0	0	0	0.0	1.94	1.0
Nick Foligno	C	SBY	21	12	17	29	14	36	4	3	1	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	1.38	1.71
Sam Gagner	C	LDN	16	7	22	29	1	22	3	11	0	0	0	0	2	0	0	0	0	0	0	0	0.0	0	0	0.0	1.81	1.38
Justin Donati	C	SBY	19	14	14	28	11	6	4	4	0	0	0	0	4	3	4	1	0	0	0	0	0.0	0	0	0.0	1.47	0.32
Tyler Donati	RW	BELV	15	6	20	26	7	4	3	11	0	0	0	0	2	0	2	0	0	0	0	0	0.0	0	0	0.0	1.73	0.27
James Neal	LW	PLY	20	13	12	25	7	54	5	5	0	0	0	0	3	1	1	0	0	0	0	0	0.0	0	0	0.0	1.25	2.7
Evan Brophey	C	PLY	20	9	14	23	8	26	2	9	1	0	0	0	4	2	1	0	0	0	0	0	0.0	0	0	0.0	1.15	1.3
David Meckler	C	LDN	16	15	7	22	2	20	8	3	0	0	0	0	2	0	2	1	0	0	0	0	0.0	0	0	0.0	1.38	1.25
Steve Downie	C	KIT	9	8	14	22	2	15	5	9	0	0	0	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	2.44	1.67
Sergei Kostitsyn	RW	LDN	16	9	12	21	-2	39	3	8	0	1	0	0	0	0	1	3	0	0	0	0	0.0	0	0	0.0	1.31	2.44
Dan Collins	RW	PLY	20	9	11	20	16	30	2	5	0	0	0	0	2	1	2	0	0	0	0	0	0.0	0	0	0.0	1.0	1.5
Andrew Self	LW	SBY	21	8	12	20	7	31	0	1	0	0	0	0	3	0	0	2	0	0	0	0	0.0	0	0	0.0	0.95	1.48
Marc Staal	D	SBY	21	5	15	20	17	22	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.95	1.05
John Tavares	C	OSH	9	7	12	19	-4	6	4	7	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	2.11	0.67
Shawn Matthias	C	BELV	15	13	5	18	7	10	2	4	1	0	0	0	0	0	3	2	0	0	0	0	0.0	0	0	0.0	1.2	0.67
Chris Terry	C	PLY	20	8	10	18	8	21	1	6	0	0	0	0	0	0	2	3	0	0	0	0	0.0	0	0	0.0	0.9	1.05
Dustin Jeffrey	C	SSM	13	6	12	18	1	11	3	8	0	0	0	0	0	0	3	1	0	0	0	0	0.0	0	0	0.0	1.38	0.85
Jonathan D'Aversa	D	SBY	21	3	15	18	8	16	2	8	0	1	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.86	0.76
Tom Sestito	LW	PLY	19	11	6	17	5	57	6	2	2	0	0	0	0	0	2	2	0	0	0	0	0.0	0	0	0.0	0.89	3.0
Jiri Tlusty	LW	SSM	13	9	8	17	3	14	4	5	0	0	0	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	1.31	1.08
Eric Tangradi	LW	BELV	15	8	9	17	8	14	2	3	0	0	0	0	2	1	2	0	0	0	0	0	0.0	0	0	0.0	1.13	0.93
Daniel Ryder	C	PLY	20	8	9	17	12	10	2	5	0	0	0	0	2	0	0	1	0	0	0	0	0.0	0	0	0.0	0.85	0.5
Tyler Doig	C	BELV	15	4	13	17	10	8	1	3	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	1.13	0.53
Matt Dias	RW	SBY	21	8	8	16	-2	10	5	4	0	0	0	0	1	1	3	1	0	0	0	0	0.0	0	0	0.0	0.76	0.48
Brett MacLean	LW	OSH	7	6	9	15	-2	9	2	5	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	2.14	1.29
Kevin Baker	C	SBY	21	6	9	15	-1	4	4	3	1	0	0	0	0	0	2	0	0	0	0	0	0.0	0	0	0.0	0.71	0.19
Justin Azevedo	C	KIT	9	4	11	15	-1	22	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.67	2.44
Josh Godfrey	D	SSM	13	9	5	14	-3	18	6	4	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	1.08	1.38
