PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Connor McDavid	C	ER	20	21	28	49	12	12	4	14	3	1	0	0	5	0	2	1	0	0	0	0	0.0	0	0	0.0	2.45	0.6
Cole Cassels	C	OSH	21	10	21	31	5	14	6	11	0	1	0	0	2	1	0	2	0	0	0	0	0.0	0	0	0.0	1.48	0.67
Michael Dal Colle	LW	OSH	21	8	23	31	1	2	2	10	0	0	0	0	1	0	3	1	0	0	0	0	0.0	0	0	0.0	1.48	0.1
Nick Ritchie	LW	SSM	14	13	13	26	7	28	3	7	0	0	0	0	3	0	1	3	0	0	0	0	0.0	0	0	0.0	1.86	2.0
Remi Elie	LW	ER	20	4	20	24	14	20	1	2	0	2	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	1.2	1.0
Nicholas Baptiste	RW	ER	20	12	11	23	-2	10	6	7	1	0	0	0	1	0	1	5	0	0	0	0	0.0	0	0	0.0	1.15	0.5
Dylan Strome	C	ER	20	10	12	22	1	12	6	5	0	0	0	0	2	1	1	0	0	0	0	0	0.0	0	0	0.0	1.1	0.6
Tobias Lindberg	LW	OSH	21	7	12	19	-1	8	3	5	0	0	0	0	1	0	0	3	0	0	0	0	0.0	0	0	0.0	0.9	0.38
Hunter Smith	RW	OSH	21	9	9	18	7	38	3	1	0	0	0	0	0	0	2	1	0	0	0	0	0.0	0	0	0.0	0.86	1.81
Travis  Dermott	D	ER	20	5	12	17	5	22	1	6	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.85	1.1
Matt Mistele	LW	OSH	21	13	3	16	5	18	6	2	0	0	0	0	2	0	5	1	0	0	0	0	0.0	0	0	0.0	0.76	0.86
Mitchell Marner	RW	LDN	7	9	7	16	6	8	3	3	2	0	0	0	1	0	3	0	0	0	0	0	0.0	0	0	0.0	2.29	1.14
Alex DeBrincat	RW	ER	20	9	7	16	1	26	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.8	1.3
Jared McCann	C	SSM	14	6	10	16	2	12	2	3	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	1.14	0.86
Josh Ho-Sang	RW	NIAG	11	1	15	16	-1	18	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.45	1.64
Anthony DeAngelo	D	SSM	13	0	16	16	12	18	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.23	1.38
Nick Paul	LW	NB	15	7	8	15	1	6	3	5	2	0	0	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	1.0	0.4
Mike Amadio	C	NB	15	6	9	15	0	4	3	5	0	0	0	0	2	0	2	0	0	0	0	0	0.0	0	0	0.0	1.0	0.27
Dakota Mermis	D	OSH	21	1	14	15	12	14	0	5	0	0	0	0	1	1	1	0	0	0	0	0	0.0	0	0	0.0	0.71	0.67
Michael Bunting	LW	SSM	14	9	5	14	4	10	3	2	0	0	0	0	3	0	1	1	0	0	0	0	0.0	0	0	0.0	1.0	0.71
Jake Marchment	C	ER	19	8	6	14	3	4	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	0.74	0.21
Justin Bailey	RW	SSM	14	7	7	14	-1	6	4	4	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	1.0	0.43
Joseph Blandisi	C	BAR	9	6	8	14	3	22	1	4	0	0	0	0	2	1	0	1	0	0	0	0	0.0	0	0	0.0	1.56	2.44
Carter Verhaeghe	C	NIAG	11	6	8	14	1	4	2	2	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	1.27	0.36
Mitchell Vande Sompel	D	OSH	21	5	9	14	-9	4	4	8	0	0	0	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	0.67	0.19
Sergey Tolchinsky	RW	SSM	14	4	10	14	2	2	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	1.0	0.14
Bryan Moore	LW	SSM	14	7	6	13	11	21	2	1	0	1	0	0	1	0	3	0	0	0	0	0	0.0	0	0	0.0	0.93	1.5
Nick Moutrey	RW	NB	15	7	6	13	1	12	4	2	0	1	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.87	0.8
Christian  Dvorak	C	LDN	10	5	8	13	-2	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	1.3	0.0
Brendan  Perlini	LW	NIAG	11	7	5	12	1	7	4	1	1	0	0	0	2	1	1	0	0	0	0	0	0.0	0	0	0.0	1.09	0.64
Brenden Miller	D	NB	15	4	8	12	16	23	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.8	1.53
Stephen Desrocher	D	OSH	21	4	8	12	5	14	1	5	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.57	0.67
Billy Jenkins	LW	NIAG	11	7	4	11	-2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0.0	0	0	0.0	1.0	0.18
Matt Rupert	LW	LDN	10	5	6	11	2	10	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	1.1	1.0
Kyle Wood	D	NB	15	1	10	11	9	2	1	8	0	1	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.73	0.13
Jeremiah Addison	RW	OTT	6	6	4	10	-1	7	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	1.67	1.17
Vince Dunn	D	NIAG	8	6	4	10	1	22	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.25	2.75
Andrew Mangiapane	C	BAR	9	6	4	10	3	12	4	2	0	0	0	0	0	0	2	0	0	0	0	0	0.0	0	0	0.0	1.11	1.33
Dante Salituro	C	OTT	6	5	5	10	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.67	0.33
Travis Konecny	RW	OTT	5	3	7	10	4	6	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	2.0	1.2
Anthony Cirelli	C	OSH	21	2	8	10	7	4	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0.0	0	0	0.0	0.48	0.19
Jordan Maletta	C	NIAG	11	6	3	9	-2	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.82	0.18
Ryan Kujawinski	C	NB	15	6	3	9	6	11	2	0	2	0	0	0	2	2	0	1	0	0	0	0	0.0	0	0	0.0	0.6	0.73
Nick Betz	RW	ER	16	6	3	9	6	10	0	0	0	1	0	0	2	0	3	0	0	0	0	0	0.0	0	0	0.0	0.56	0.63
Max Domi	LW	LDN	9	5	4	9	0	16	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	1.78
Gabe  Guertler	C	SSM	14	4	5	9	10	6	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	0.64	0.43
Blake Speers	RW	SSM	14	3	6	9	-2	4	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.64	0.29
Tyler  Ganly	D	SSM	14	2	7	9	14	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.64	0.29
Darren Raddysh	D	ER	20	2	7	9	12	18	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.45	0.9
Ray Huether	C	NB	15	5	3	8	6	8	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.53	0.53
Ryan MacInnis	C	KIT	6	3	5	8	-6	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.33	1.0
Garrett Hooey	C	BAR	9	3	5	8	3	15	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0.0	0	0	0.0	0.89	1.67
Darnell Nurse	D	SSM	14	3	5	8	9	26	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.57	1.86
Bradley  Latour	LW	OSH	20	3	5	8	7	6	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.4	0.3
Kyle Maksimovich	LW	ER	20	3	5	8	1	6	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.4	0.3
Nevin Guy	D	OTT	6	2	6	8	6	4	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	1.33	0.67
Anthony DiFruscia	LW	NIAG	11	2	6	8	-6	20	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.73	1.82
Zach Bratina	LW	NB	15	2	6	8	1	24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.53	1.6
Brendan Bell	LW	OTT	6	1	7	8	1	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.33	1.5
Victor Mete	D	LDN	10	1	7	8	-4	2	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.8	0.2
Mathew Santos	RW	NB	15	6	1	7	8	8	0	0	0	1	0	0	1	0	1	3	0	0	0	0	0.0	0	0	0.0	0.47	0.53
Zachary Senyshyn	RW	SSM	14	4	3	7	5	2	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.5	0.14
