PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Mark Scheifele	C	BAR	21	15	26	41	18	14	4	7	1	0	0	0	5	0	1	3	0	0	0	0	0.0	0	0	0.0	1.95	0.67
Max Domi	C	LDN	21	11	21	32	12	26	3	10	0	0	0	0	4	1	2	1	0	0	0	0	0.0	0	0	0.0	1.52	1.24
Alex Broadhurst	C	LDN	21	10	18	28	8	22	5	6	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	1.33	1.05
Zach Hall	C	BAR	19	7	21	28	12	20	3	6	0	0	0	0	1	1	2	0	0	0	0	0	0.0	0	0	0.0	1.47	1.05
Andreas Athanasiou	LW	BAR	22	12	13	25	6	11	3	2	2	1	0	0	1	0	0	3	0	0	0	0	0.0	0	0	0.0	1.14	0.5
Seth Griffith	RW	LDN	21	9	16	25	5	14	2	8	0	0	0	0	1	0	3	1	0	0	0	0	0.0	0	0	0.0	1.19	0.67
Vincent Trocheck	C	PLY	15	10	14	24	11	8	3	4	1	0	0	0	0	0	1	3	0	0	0	0	0.0	0	0	0.0	1.6	0.53
Bo Horvat	LW	LDN	21	16	7	23	-1	10	3	2	3	0	0	0	3	0	2	2	0	0	0	0	0.0	0	0	0.0	1.1	0.48
Brendan Gaunce	C	BELV	17	8	14	22	8	10	1	5	0	0	0	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	1.29	0.59
Tyler Graovac	C	BELV	15	6	16	22	11	17	3	4	0	0	0	0	1	0	3	0	0	0	0	0	0.0	0	0	0.0	1.47	1.13
Mitchell Theoret	C	BAR	20	14	7	21	8	6	2	3	1	0	0	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	1.05	0.3
Chris Tierney	C	LDN	21	6	15	21	10	6	1	3	0	0	0	0	3	2	0	1	0	0	0	0	0.0	0	0	0.0	1.0	0.29
Steven Beyers	RW	BAR	22	6	15	21	5	2	2	8	0	1	0	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	0.95	0.09
Ryan Rupert	C	LDN	21	11	9	20	9	12	2	3	0	0	0	0	1	1	3	1	0	0	0	0	0.0	0	0	0.0	0.95	0.57
