PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Corey Locke	C	OTT	23	19	19	38	14	30	7	5	2	3	0	0	4	2	3	1	0	0	0	0	0.0	0	0	0.0	1.65	1.3
Derek Roy	C	KIT	21	9	23	32	8	14	4	8	0	1	0	0	4	0	2	0	0	0	0	0	0.0	0	0	0.0	1.52	0.67
Matt Foy	RW	OTT	21	11	20	31	15	47	1	9	4	2	0	0	2	0	2	1	0	0	0	0	0.0	0	0	0.0	1.48	2.24
Petr Kanko	RW	KIT	20	11	16	27	15	17	3	5	0	1	0	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	1.35	0.85
Michael Richards	C	KIT	21	9	18	27	19	24	2	4	1	0	0	0	3	0	1	1	0	0	0	0	0.0	0	0	0.0	1.29	1.14
Brendan Bell	D	OTT	23	8	19	27	15	25	3	8	2	1	0	0	0	0	0	2	0	0	0	0	0.0	0	0	0.0	1.17	1.09
Scott Sheppard	RW	OTT	23	12	12	24	9	16	6	4	0	1	0	0	3	0	1	1	0	0	0	0	0.0	0	0	0.0	1.04	0.7
Tim Brent	C	TOR	19	7	17	24	6	14	2	7	0	1	0	0	1	1	2	2	0	0	0	0	0.0	0	0	0.0	1.26	0.74
Frank Lukes	RW	TOR	19	8	15	23	3	0	1	9	0	0	0	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	1.21	0.0
Corey Perry	RW	LDN	14	7	16	23	-1	27	3	10	1	1	0	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	1.64	1.93
Scott Horvath	RW	TOR	19	16	5	21	4	10	8	3	1	0	0	0	1	0	2	3	0	0	0	0	0.0	0	0	0.0	1.11	0.53
Mike Stathopoulos	C	LDN	14	4	17	21	0	0	2	10	1	1	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	1.5	0.0
Chris Thorburn	C	PLY	18	11	9	20	-1	0	5	5	0	0	0	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	1.11	0.0
Gregory Campbell	LW	KIT	21	15	4	19	7	34	6	2	1	0	0	0	3	0	3	3	0	0	0	0	0.0	0	0	0.0	0.9	1.62
Nathan O'Nabigon	LW	KIT	21	10	8	18	15	21	2	2	0	0	0	0	3	2	3	0	0	0	0	0	0.0	0	0	0.0	0.86	1.0
Karol Sloboda	D	OTT	23	2	16	18	14	16	1	7	0	3	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.78	0.7
Brandon Nolan	C	OSH	13	10	7	17	-5	0	3	3	0	0	0	0	0	0	0	2	0	0	0	0	0.0	0	0	0.0	1.31	0.0
Chad LaRose	RW	PLY	15	9	8	17	5	25	3	3	1	0	0	0	2	0	2	0	0	0	0	0	0.0	0	0	0.0	1.13	1.67
Karl Stewart	C	PLY	17	7	10	17	1	31	1	5	1	0	0	0	0	0	0	3	0	0	0	0	0.0	0	0	0.0	1.0	1.82
Andre Benoit	D	KIT	21	1	16	17	7	16	0	8	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.81	0.76
Martin St. Pierre	C	GUE	11	5	11	16	2	0	3	4	0	1	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	1.45	0.0
George Halkidis	D	KIT	21	1	15	16	22	6	0	7	0	1	0	0	1	1	0	0	0	0	0	0	0.0	0	0	0.0	0.76	0.29
Nathan Horton	C	OSH	13	9	6	15	2	0	2	3	0	0	0	0	3	1	1	0	0	0	0	0	0.0	0	0	0.0	1.15	0.0
Dustin Brown	RW	GUE	11	7	8	15	0	0	0	3	2	0	0	0	2	0	0	0	0	0	0	0	0.0	0	0	0.0	1.36	0.0
Rodney Bauman	D	OTT	22	7	8	15	7	20	2	5	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.68	0.91
Sal Peralta	C	TOR	19	10	4	14	-11	4	2	1	0	0	0	0	3	0	2	1	0	0	0	0	0.0	0	0	0.0	0.74	0.21
Eric Staal	C	PBO	7	9	5	14	5	0	2	1	2	0	0	0	1	1	1	0	0	0	0	0	0.0	0	0	0.0	2.0	0.0
