Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Jayden Halbgewachs	C	MJ	72	70	59	129	43	12	27	12	2	0	290	0	11	2	9	11	4	1	4	0	25.0	102	44	43.1	1.79	0.17
Glenn Gawdin	C	SC	67	56	69	125	61	101	21	26	3	3	270	0	8	1	9	7	6	2	6	1	33.3	1713	994	58.0	1.87	1.51
Aleksi Heponiemi	C	SC	57	28	90	118	42	28	14	37	0	0	141	0	6	1	6	3	3	1	3	0	33.3	165	71	43.0	2.07	0.49
Brayden Burke	LW	MJ	61	31	82	113	44	45	5	37	2	2	179	0	8	2	7	4	0	0	0	0	0.0	46	22	47.8	1.85	0.74
Matthew Phillips	C	VIC	71	48	64	112	20	32	17	27	5	4	273	0	8	3	5	4	4	2	4	1	50.0	4	3	75.0	1.58	0.45
Tyler Steenbergen	C	SC	56	47	55	102	52	44	10	21	1	0	241	0	8	2	8	5	4	3	4	2	75.0	20	11	55.0	1.82	0.79
Cody Glass	C	POR	64	37	65	102	42	26	16	21	1	4	263	0	5	0	8	5	6	1	6	0	16.7	889	443	49.8	1.59	0.41
Ty Lewis	LW	BDN	70	44	56	100	16	60	11	23	3	1	238	0	9	3	8	3	3	1	3	0	33.3	57	20	35.1	1.43	0.86
Patrick Bajkov	RW	EVT	72	33	67	100	19	56	11	29	2	0	255	0	5	0	5	4	5	2	5	0	40.0	13	7	53.8	1.39	0.78
Justin Almeida	C	MJ	72	43	55	98	42	10	14	14	6	3	223	0	10	0	2	4	2	1	2	0	50.0	1091	509	46.7	1.36	0.14
Kole Lind	RW	KEL	58	39	56	95	24	65	14	19	1	1	228	0	7	2	8	4	3	0	3	0	0.0	59	26	44.1	1.64	1.12
Jordy Bellerive	C	LET	71	46	46	92	-2	82	16	23	1	2	322	0	6	1	9	2	2	1	2	0	50.0	556	255	45.9	1.3	1.15
Tyler Soy	C	VIC	66	36	56	92	15	42	12	26	4	1	164	0	3	0	4	1	3	1	3	0	33.3	1181	560	47.4	1.39	0.64
Jordy Stallard	C	PA	72	44	47	91	10	26	17	11	1	0	248	0	3	0	8	1	6	1	6	1	16.7	1050	500	47.6	1.26	0.36
Jaret Anderson-Dolan	C	SPO	70	40	51	91	9	27	13	17	5	2	280	0	5	1	6	0	3	0	3	0	0.0	1150	608	52.9	1.3	0.39
Stelio Mattheos	C	BDN	68	43	47	90	7	81	16	20	4	1	223	0	10	4	8	5	3	1	3	0	33.3	955	521	54.6	1.32	1.19
Cameron Hebig	C	REG	66	41	49	90	13	44	13	17	5	1	303	0	5	1	4	4	2	1	2	0	50.0	947	519	54.8	1.36	0.67
Trey Fix-Wolansky	RW	EDM	71	32	57	89	-15	81	11	25	1	1	209	0	5	2	5	0	3	1	3	1	33.3	138	61	44.2	1.25	1.14
Braylon Shmyr	LW	SAS	72	37	51	88	-2	16	9	18	0	1	253	0	6	0	8	4	3	1	3	0	33.3	34	16	47.1	1.22	0.22
Matt Fonteyne	LW	EVT	72	35	53	88	27	22	16	25	0	1	270	0	4	0	6	4	4	3	4	2	75.0	1614	821	50.9	1.22	0.31
Skyler McKenzie	LW	POR	72	47	40	87	38	54	14	8	5	2	268	0	5	2	8	8	2	0	2	0	0.0	459	254	55.3	1.21	0.75
Hudson Elynuik	C	SPO	71	31	55	86	24	78	6	14	2	5	230	0	7	0	7	4	1	1	1	0	100.0	876	480	54.8	1.21	1.1
Giorgio Estephan	C	SC	69	30	56	86	-9	22	16	23	0	0	203	0	1	0	2	3	2	0	2	0	0.0	1507	895	59.4	1.25	0.32
Ty Ronning	RW	VAN	70	61	23	84	12	47	18	6	2	0	339	0	9	2	7	7	4	1	4	0	25.0	144	54	37.5	1.2	0.67
Dillon Dube	C	KEL	53	38	46	84	17	52	9	15	3	1	235	0	7	1	6	4	1	0	1	0	0.0	1006	547	54.4	1.58	0.98
Morgan Geekie	C	TC	68	30	54	84	0	32	8	25	0	0	246	0	6	0	3	2	4	2	4	2	50.0	1010	528	52.3	1.24	0.47
Sam Steel	C	REG	54	33	50	83	27	18	11	23	3	4	195	0	4	2	5	3	2	0	2	0	0.0	1139	658	57.8	1.54	0.33
Mark Rassell	LW	MH	70	50	30	80	0	23	7	10	1	2	310	0	8	2	5	4	2	2	2	2	100.0	23	12	52.2	1.14	0.33
Tanner Jeannot	LW	MJ	72	40	40	80	49	83	4	4	3	2	276	0	3	0	3	10	1	0	1	0	0.0	61	30	49.2	1.11	1.15
Jordan Topping	LW	TC	72	38	42	80	-13	56	12	19	0	0	246	0	5	3	8	1	5	0	5	0	0.0	47	26	55.3	1.11	0.78
Garrett Pilon	C	EVT	69	34	46	80	22	48	10	20	2	0	343	0	4	0	6	2	6	1	6	0	16.7	752	362	48.1	1.16	0.7
David Quenneville	D	MH	70	26	54	80	7	58	12	20	0	1	314	0	4	0	4	7	0	0	0	0	0.0	6	1	16.7	1.14	0.83
Matteo Gennaro	C	SC	67	42	37	79	14	66	16	11	2	0	265	0	6	0	6	4	3	2	3	0	66.7	1244	652	52.4	1.18	0.99
Matt Bradley	C	REG	72	37	42	79	4	80	8	18	1	1	305	0	5	1	1	5	1	0	1	0	0.0	826	434	52.5	1.1	1.11
Dante Hannoun	C	VIC	66	25	54	79	-6	38	9	30	1	1	169	0	2	0	5	2	3	2	3	0	66.7	682	314	46.0	1.2	0.58
Nolan Volcan	LW	SEA	70	32	44	76	-3	52	10	12	1	1	238	0	2	0	7	3	3	1	3	1	33.3	20	5	25.0	1.09	0.74
