Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Aaron Bader	LW	SAS	70	18	36	54	5	58	6	8	1	1	18	0	3	0	2	2	0	0	0	0	0.0	0	0	0.0	0.77	0.83
Brent Seabrook	D	LET	63	12	42	54	25	107	7	26	0	2	12	0	4	1	1	1	0	0	0	0	0.0	0	0	0.0	0.86	1.7
Ryan Russell	C	KTN	66	32	21	53	27	18	11	8	5	0	32	0	3	0	4	6	0	0	0	0	0.0	0	0	0.0	0.8	0.27
Justin Keller	LW	KEL	72	31	22	53	14	103	16	9	0	0	31	0	4	0	7	4	0	0	0	0	0.0	0	0	0.0	0.74	1.43
Mitch Bartley	LW	VAN	70	30	23	53	9	88	12	4	1	2	30	0	5	0	8	1	0	0	0	0	0.0	0	0	0.0	0.76	1.26
Chris Durand	C	SEA	66	19	34	53	30	76	3	10	3	1	19	0	1	0	2	4	0	0	0	0	0.0	0	0	0.0	0.8	1.15
Darrell May	RW	POR	71	18	35	53	9	85	5	13	2	1	18	0	2	0	6	2	0	0	0	0	0.0	0	0	0.0	0.75	1.2
Aki Seitsonen	C	P.A	67	24	28	52	-6	14	10	22	2	0	24	0	4	1	6	1	0	0	0	0	0.0	0	0	0.0	0.78	0.21
Kris Versteeg	LW	LET	68	22	30	52	15	68	6	11	1	0	22	0	5	0	4	1	0	0	0	0	0.0	0	0	0.0	0.76	1.0
Konstantin Pushkarev	LW	CGY	69	22	30	52	7	50	12	15	0	0	22	0	5	2	2	2	0	0	0	0	0.0	0	0	0.0	0.75	0.72
Adam Taylor	C	KTN	72	20	32	52	37	95	6	8	3	0	20	0	3	1	2	2	0	0	0	0	0.0	0	0	0.0	0.72	1.32
Rick Rypien	C	REG	63	22	29	51	-34	148	9	17	1	1	22	0	1	0	4	2	0	0	0	0	0.0	0	0	0.0	0.81	2.35
Dylan Stanley	C	TRI	71	18	33	51	-9	53	8	17	0	1	18	0	3	0	1	0	0	0	0	0	0.0	0	0	0.0	0.72	0.75
Tyler Mosienko	C	KEL	72	15	36	51	-3	27	5	17	2	0	15	0	4	1	4	2	0	0	0	0	0.0	0	0	0.0	0.71	0.38
Colin Patterson	C	P.G	72	27	23	50	-9	58	10	7	0	0	27	0	3	0	6	4	0	0	0	0	0.0	0	0	0.0	0.69	0.81
Blair Jones	C	M.J	68	14	36	50	10	78	4	16	1	1	14	0	1	0	7	1	0	0	0	0	0.0	0	0	0.0	0.74	1.15
Jeff Lynch	LW	SPO	72	23	26	49	-15	85	11	5	2	1	23	0	3	1	5	2	0	0	0	0	0.0	0	0	0.0	0.68	1.18
Roman Psurny	LW	M.H	69	21	28	49	29	64	6	8	0	0	21	0	4	0	3	3	0	0	0	0	0.0	0	0	0.0	0.71	0.93
Troy Bodie	RW	KEL	72	24	24	48	21	96	9	10	0	0	24	0	8	0	7	3	0	0	0	0	0.0	0	0	0.0	0.67	1.33
Kyle Pess	C	LET	61	22	26	48	15	30	5	9	1	0	22	0	3	0	2	2	0	0	0	0	0.0	0	0	0.0	0.79	0.49
Caine Pearpoint	LW	P.A	72	20	28	48	6	79	9	13	0	0	20	0	5	0	3	2	0	0	0	0	0.0	0	0	0.0	0.67	1.1
Adam Cracknell	RW	KTN	72	19	29	48	6	65	7	13	0	0	19	0	2	0	6	2	0	0	0	0	0.0	0	0	0.0	0.67	0.9
Cam Barker	D	M.H	52	15	33	48	19	99	6	21	0	3	15	0	1	0	3	0	0	0	0	0	0.0	0	0	0.0	0.92	1.9
Blake Comeau	RW	KEL	65	24	23	47	10	108	7	14	3	0	24	0	6	1	7	4	0	0	0	0	0.0	0	0	0.0	0.72	1.66
Troy Brouwer	RW	M.J	71	22	25	47	-26	132	7	9	2	0	22	0	1	0	4	1	0	0	0	0	0.0	0	0	0.0	0.66	1.86
John Lammers	LW	LET	66	17	30	47	-11	43	4	18	0	0	17	0	3	0	1	0	0	0	0	0	0.0	0	0	0.0	0.71	0.65
Raymond Macias	D	KAM	69	12	35	47	-16	18	1	22	0	0	12	0	4	0	3	1	0	0	0	0	0.0	0	0	0.0	0.68	0.26
Tyler Metcalfe	LW	SEA	61	20	26	46	14	44	4	10	1	1	20	0	6	0	3	4	0	0	0	0	0.0	0	0	0.0	0.75	0.72
Ashton Rome	RW	RDR	72	19	27	46	-36	123	7	15	1	0	19	0	0	0	3	1	0	0	0	0	0.0	0	0	0.0	0.64	1.71
Ned Lukacevic	LW	SPO	71	18	28	46	-10	52	6	10	3	0	18	0	3	1	1	4	0	0	0	0	0.0	0	0	0.0	0.65	0.73
Jeremy Colliton	C	P.A	41	16	30	46	9	25	5	8	0	0	16	0	2	0	2	3	0	0	0	0	0.0	0	0	0.0	1.12	0.61
Masi Marjamaki	LW	M.J	51	14	32	46	-6	49	9	12	0	0	14	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.9	0.96
Derek Ryan	C	SPO	71	14	32	46	-11	39	5	9	2	0	14	0	0	0	0	3	0	0	0	0	0.0	0	0	0.0	0.65	0.55
Clayton Stoner	D	TRI	60	12	34	46	2	81	5	16	0	1	12	0	4	2	2	1	0	0	0	0	0.0	0	0	0.0	0.77	1.35
Luke Hunter	C	S.C	72	24	21	45	-20	51	10	10	0	0	24	0	6	2	6	1	0	0	0	0	0.0	0	0	0.0	0.63	0.71
Andrew Ladd	LW	CGY	65	19	26	45	16	167	6	10	2	2	19	0	4	1	2	2	0	0	0	0	0.0	0	0	0.0	0.69	2.57
Shawn Belle	D	TRI	62	13	32	45	-6	76	7	13	1	1	13	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.73	1.23
Casey Lee	LW	KTN	68	11	34	45	22	115	3	10	0	4	11	0	5	0	1	1	0	0	0	0	0.0	0	0	0.0	0.66	1.69
Mike Card	D	KEL	72	10	35	45	22	85	6	19	0	0	10	0	3	0	5	2	0	0	0	0	0.0	0	0	0.0	0.63	1.18
Braydon Coburn	D	POR	60	12	32	44	9	144	7	15	0	0	12	0	2	0	3	1	0	0	0	0	0.0	0	0	0.0	0.73	2.4
Aaron Richards	LW	KAM	63	20	23	43	-4	79	12	8	0	1	20	0	3	0	4	0	0	0	0	0	0.0	0	0	0.0	0.68	1.25
Dustin Kohn	D	CGY	71	8	35	43	18	61	3	23	0	0	8	0	1	0	3	0	0	0	0	0	0.0	0	0	0.0	0.61	0.86
Ladislav Scurko	C	SEA	67	17	25	42	24	40	3	5	0	0	17	0	6	0	2	0	0	0	0	0	0.0	0	0	0.0	0.63	0.6
Shaun Landolt	C	CGY	68	17	25	42	3	89	7	13	1	1	17	0	4	0	6	1	0	0	0	0	0.0	0	0	0.0	0.62	1.31
Ian McDonald	C	TRI	65	16	26	42	-12	14	6	12	1	0	16	0	1	1	2	1	0	0	0	0	0.0	0	0	0.0	0.65	0.22
Marcus Jonasen	LW	TRI	70	21	20	41	-5	59	6	4	2	1	21	0	5	1	4	3	0	0	0	0	0.0	0	0	0.0	0.59	0.84
Brett Novak	RW	P.A	72	19	22	41	0	36	9	8	1	0	19	0	3	1	2	2	0	0	0	0	0.0	0	0	0.0	0.57	0.5
Chris Neiszner	RW	RDR	72	17	24	41	6	46	5	10	0	0	17	0	2	0	3	0	0	0	0	0	0.0	0	0	0.0	0.57	0.64
Shea Weber	D	KEL	55	12	29	41	12	95	7	23	0	1	12	0	3	0	4	2	0	0	0	0	0.0	0	0	0.0	0.75	1.73
Andrej Meszaros	D	VAN	59	11	30	41	7	94	5	18	1	0	11	0	3	1	2	2	0	0	0	0	0.0	0	0	0.0	0.69	1.59
Luke Fritshaw	D	P.A	72	8	33	41	6	134	7	21	0	0	8	0	2	0	1	1	0	0	0	0	0.0	0	0	0.0	0.57	1.86
Kris Hogg	LW	KAM	68	18	22	40	-9	131	11	6	0	0	18	0	3	0	3	2	0	0	0	0	0.0	0	0	0.0	0.59	1.93
Kyle Ross	C	REG	72	10	30	40	-25	58	2	9	0	1	10	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.56	0.81
Kyle Cumiskey	D	KEL	72	4	36	40	4	47	3	25	0	0	4	0	0	0	0	2	0	0	0	0	0.0	0	0	0.0	0.56	0.65
Chris Ray	C	KEL	72	17	22	39	23	43	2	3	2	0	17	0	0	0	1	2	0	0	0	0	0.0	0	0	0.0	0.54	0.6
Jarret Lukin	C	M.H	51	10	29	39	8	52	4	15	0	1	10	0	2	0	1	1	0	0	0	0	0.0	0	0	0.0	0.76	1.02
Daniel Waschuk	LW	SAS	71	21	17	38	-25	78	12	10	1	1	21	0	1	0	6	0	0	0	0	0	0.0	0	0	0.0	0.54	1.1
Derek Couture	RW	SEA	71	20	18	38	26	154	4	3	1	0	20	0	3	0	2	6	0	0	0	0	0.0	0	0	0.0	0.54	2.17
Shaun Heshka	D	EVT	72	12	26	38	-4	21	7	17	0	0	12	0	4	0	3	2	0	0	0	0	0.0	0	0	0.0	0.53	0.29
Jonathan Bubnick	RW	REG	51	21	16	37	-6	24	4	6	3	0	21	0	1	0	3	1	0	0	0	0	0.0	0	0	0.0	0.73	0.47
Adam Hobson	C	SPO	72	10	27	37	-7	47	2	5	2	2	10	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	0.51	0.65
Tim Kraus	C	VAN	63	16	19	35	8	34	4	4	1	0	16	0	4	0	1	1	0	0	0	0	0.0	0	0	0.0	0.56	0.54
Lee Zalasky	LW	P.G	72	16	19	35	-7	102	5	5	1	0	16	0	2	1	5	2	0	0	0	0	0.0	0	0	0.0	0.49	1.42
Brett Robertson	C	M.H	64	14	21	35	18	60	5	8	0	0	14	0	3	0	5	2	0	0	0	0	0.0	0	0	0.0	0.55	0.94
Marc Desloges	LW	S.C	69	12	23	35	-19	26	5	7	1	0	12	0	0	0	4	2	0	0	0	0	0.0	0	0	0.0	0.51	0.38
Reid Jorgensen	C	KAM	47	20	14	34	0	55	8	5	1	0	20	0	3	0	6	3	0	0	0	0	0.0	0	0	0.0	0.72	1.17
Lauris Darzins	LW	KEL	53	19	15	34	5	38	6	5	0	0	19	0	4	1	6	1	0	0	0	0	0.0	0	0	0.0	0.64	0.72
Nate Thompson	C	SEA	58	19	15	34	12	39	3	2	1	2	19	0	1	0	3	1	0	0	0	0	0.0	0	0	0.0	0.59	0.67
Tyrel Lucas	LW	CGY	66	16	18	34	-6	49	4	8	1	0	16	0	4	0	6	2	0	0	0	0	0.0	0	0	0.0	0.52	0.74
Brett Parker	C	P.G	71	14	20	34	-28	128	6	9	0	0	14	0	3	0	3	0	0	0	0	0	0.0	0	0	0.0	0.48	1.8
Garrett Festerling	C	POR	72	14	20	34	-1	45	3	7	3	2	14	0	0	0	2	2	0	0	0	0	0.0	0	0	0.0	0.47	0.63
Kyle Bailey	C	POR	67	11	22	33	1	116	4	9	0	1	11	0	2	0	2	3	0	0	0	0	0.0	0	0	0.0	0.49	1.73
Zach Hamill	C	EVT	57	8	25	33	4	29	2	15	0	0	8	0	2	0	4	0	0	0	0	0	0.0	0	0	0.0	0.58	0.51
