Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Linden Vey	C	M.H	69	46	70	116	37	36	13	24	5	7	0	0	7	1	6	5	8	2	8	2	25.0	0	0	0.0	1.68	0.52
Tyler Johnson	C	SPO	71	53	62	115	27	48	17	38	6	3	0	0	7	0	6	8	6	1	6	1	16.7	0	0	0.0	1.62	0.68
Mark Stone	RW	BDN	71	37	69	106	14	28	17	25	2	1	0	0	7	0	3	3	5	3	5	0	60.0	0	0	0.0	1.49	0.39
Ryan  Nugent-Hopkins	C	R.D	69	31	75	106	30	51	11	48	0	0	0	0	9	0	6	4	6	4	6	0	66.7	0	0	0.0	1.54	0.74
Jordan Weal	C	REG	72	43	53	96	13	70	12	21	1	0	0	0	4	1	7	1	12	8	12	1	66.7	0	0	0.0	1.33	0.97
Brendan Shinnimin	C	T.C	60	34	62	96	20	84	10	31	0	1	0	0	5	0	8	5	2	1	2	1	50.0	0	0	0.0	1.6	1.4
Ryan Johansen	C	POR	63	40	52	92	44	64	10	21	2	3	0	0	7	0	2	7	1	0	1	0	0.0	0	0	0.0	1.46	1.02
Brendan  Gallagher	RW	VAN	66	44	47	91	30	108	10	19	2	1	0	0	4	0	7	7	6	1	6	1	16.7	0	0	0.0	1.38	1.64
Scott Glennie	C	BDN	70	35	56	91	4	58	13	25	1	1	0	0	3	1	3	3	7	1	7	0	14.3	0	0	0.0	1.3	0.83
Marek  Viedensky	C	SAS	63	36	52	88	60	52	8	13	6	3	0	0	10	0	6	4	4	2	4	1	50.0	0	0	0.0	1.4	0.83
Josh Nicholls	RW	SAS	71	34	53	87	50	47	8	11	3	3	0	0	6	1	4	2	0	0	0	0	0.0	0	0	0.0	1.23	0.66
Craig Cunningham	C	POR	71	27	60	87	19	56	6	17	1	2	0	0	2	0	5	5	6	2	6	0	33.3	0	0	0.0	1.23	0.79
Jonathan Parker	RW	P.A	71	45	41	86	-8	45	8	11	0	1	0	0	6	0	6	5	5	1	5	0	20.0	0	0	0.0	1.21	0.63
Brendan Ranford	LW	KAM	68	33	53	86	-10	68	7	22	1	0	0	0	4	1	6	2	5	3	5	3	60.0	0	0	0.0	1.26	1.0
Sven Bartschi	LW	POR	66	34	51	85	23	74	11	11	0	0	0	0	5	0	5	4	4	1	4	1	25.0	0	0	0.0	1.29	1.12
Ryan Howse	LW	CWK	70	51	32	83	-19	40	19	19	1	0	0	0	4	1	13	6	5	1	5	0	20.0	0	0	0.0	1.19	0.57
Cody Eakin	C	KTN	56	36	47	83	13	43	11	22	4	0	0	0	8	1	3	3	4	2	4	1	50.0	0	0	0.0	1.48	0.77
Dylan Hood	RW	M.J	71	33	50	83	8	61	14	11	0	0	0	0	5	0	4	3	4	1	4	0	25.0	0	0	0.0	1.17	0.86
Levko Koper	LW	SPO	72	32	50	82	20	67	10	19	4	2	0	0	1	0	3	5	1	1	1	1	100.0	0	0	0.0	1.14	0.93
Andrej Kudrna	LW	R.D	65	29	53	82	24	26	16	25	0	0	0	0	4	0	9	2	2	0	2	0	0.0	0	0	0.0	1.26	0.4
Curtis Hamilton	LW	SAS	62	26	56	82	48	22	6	18	3	5	0	0	3	0	2	4	1	1	1	1	100.0	0	0	0.0	1.32	0.35
