Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Casey Pierro-Zabotel	LW	VAN	72	36	79	115	62	52	9	40	3	1	0	0	6	1	4	5	3	1	3	0	33.3	0	0	0.0	1.6	0.72
Brandon Kozun	RW	CAL	72	40	68	108	50	58	12	34	0	0	0	0	8	0	6	7	2	0	2	0	0.0	0	0	0.0	1.5	0.81
Brett Sonne	C	CAL	62	48	52	100	39	58	16	26	1	2	0	0	11	0	8	5	0	0	0	0	0.0	0	0	0.0	1.61	0.94
Evander Kane	C	VAN	61	48	48	96	51	89	23	17	1	1	0	0	10	1	5	8	2	1	2	0	50.0	0	0	0.0	1.57	1.46
Justin Bernhardt	RW	P.A	72	35	57	92	0	104	12	26	0	0	0	0	3	0	5	1	7	2	7	0	28.6	0	0	0.0	1.28	1.44
Colin Long	C	KEL	68	33	58	91	29	28	17	23	1	3	0	0	7	1	6	0	4	3	4	0	75.0	0	0	0.0	1.34	0.41
Brayden Schenn	C	BDN	70	32	56	88	20	82	10	24	3	3	0	0	6	0	5	5	6	3	6	1	50.0	0	0	0.0	1.26	1.17
Joel Broda	C	CAL	67	53	34	87	27	64	13	10	4	1	0	0	4	0	4	6	4	2	4	0	50.0	0	0	0.0	1.3	0.96
C.J. Stretch	C	KAM	72	29	57	86	4	72	13	31	0	1	0	0	5	0	4	1	8	5	8	2	62.5	0	0	0.0	1.19	1.0
Tyler Ennis	C	M.H	61	43	42	85	11	21	13	20	2	2	0	0	5	0	2	3	5	4	5	1	80.0	0	0	0.0	1.39	0.34
Jay Fehr	C	BDN	68	32	52	84	34	39	9	13	0	0	0	0	7	2	6	3	1	1	1	0	100.0	0	0	0.0	1.24	0.57
Kyle Bortis	C	CAL	68	24	60	84	33	29	13	22	1	1	0	0	2	0	3	1	0	0	0	0	0.0	0	0	0.0	1.24	0.43
Paul Postma	D	CAL	70	23	61	84	67	28	10	35	0	1	0	0	3	0	2	7	0	0	0	0	0.0	0	0	0.0	1.2	0.4
Drayson Bowman	LW	SPO	62	47	36	83	34	107	12	9	5	4	0	0	7	0	6	8	7	4	7	3	57.1	0	0	0.0	1.34	1.73
Jamie Benn	LW	KEL	56	46	36	82	27	71	15	19	6	0	0	0	7	1	4	8	1	0	1	0	0.0	0	0	0.0	1.46	1.27
Keegan Dansereau	RW	S.C	69	37	44	81	35	36	20	7	0	1	0	0	5	0	10	4	2	0	2	0	0.0	0	0	0.0	1.17	0.52
Taylor Procyshen	RW	T.C	72	36	45	81	40	71	8	16	5	1	0	0	5	0	6	5	2	0	2	0	0.0	0	0	0.0	1.13	0.99
Jason Reese	C	T.C	69	31	50	81	19	79	11	23	1	4	0	0	2	0	6	5	7	1	7	0	14.3	0	0	0.0	1.17	1.14
Colton Sceviour	C	LET	69	29	51	80	5	48	7	26	2	3	0	0	4	1	4	3	2	1	2	0	50.0	0	0	0.0	1.16	0.7
Andrew Clark	LW	BDN	72	40	38	78	19	34	10	16	6	0	0	0	4	0	8	5	5	1	5	0	20.0	0	0	0.0	1.08	0.47
Matt Lowry	C	BDN	71	13	64	77	16	75	5	24	1	4	0	0	0	0	2	1	0	0	0	0	0.0	0	0	0.0	1.08	1.06
Mitch Fadden	C	T.C	63	37	39	76	24	49	14	17	2	0	0	0	5	1	7	11	4	2	4	1	50.0	0	0	0.0	1.21	0.78
Greg Scott	LW	SEA	65	32	44	76	14	39	9	19	5	5	0	0	5	0	4	4	5	1	5	0	20.0	0	0	0.0	1.17	0.6
Derek Hulak	LW	SAS	72	30	46	76	18	50	13	22	1	1	0	0	4	2	7	2	4	2	4	1	50.0	0	0	0.0	1.06	0.69
Jordan Eberle	C	REG	61	35	39	74	-4	20	12	24	3	2	0	0	9	0	4	2	5	2	5	0	40.0	0	0	0.0	1.21	0.33
Kellan Tochkin	RW	EVT	72	20	54	74	-4	37	10	21	0	0	0	0	0	0	3	1	7	2	7	1	28.6	0	0	0.0	1.03	0.51
Carson McMillan	RW	CAL	68	31	41	72	41	93	5	9	4	1	0	0	7	0	3	6	1	1	1	1	100.0	0	0	0.0	1.06	1.37
Linden Vey	RW	M.H	71	24	48	72	-2	20	7	24	0	1	0	0	3	0	3	4	4	0	4	0	0.0	0	0	0.0	1.01	0.28
Scott Glennie	C	BDN	55	28	42	70	22	25	9	11	2	2	0	0	9	1	2	3	5	3	5	3	60.0	0	0	0.0	1.27	0.45
Jordan Weal	C	REG	65	16	54	70	-10	26	7	22	0	1	0	0	1	0	4	2	6	3	6	2	50.0	0	0	0.0	1.08	0.4
Tyler Shattock	RW	KAM	68	30	39	69	-4	82	19	23	2	2	0	0	5	0	3	3	0	0	0	0	0.0	0	0	0.0	1.01	1.21
Mitch Wahl	C	SPO	63	32	35	67	42	78	5	13	2	1	0	0	9	0	6	5	7	2	7	0	28.6	0	0	0.0	1.06	1.24
Matt Calvert	LW	BDN	58	28	39	67	10	58	12	18	3	0	0	0	4	0	2	3	2	0	2	0	0.0	0	0	0.0	1.16	1.0
Chris Francis	C	POR	66	21	46	67	-25	28	8	21	3	2	0	0	3	0	5	2	3	1	3	0	33.3	0	0	0.0	1.02	0.42
Brent Regner	D	VAN	70	15	52	67	65	42	7	22	0	3	0	0	3	0	3	1	0	0	0	0	0.0	0	0	0.0	0.96	0.6
Cody Almond	C	KEL	70	33	33	66	15	105	5	9	2	2	0	0	3	0	4	3	2	1	2	1	50.0	0	0	0.0	0.94	1.5
Shane Harper	RW	EVT	72	32	34	66	-16	10	11	19	0	0	0	0	6	0	6	3	7	3	7	2	42.9	0	0	0.0	0.92	0.14
Justin Dowling	C	S.C	71	22	44	66	27	16	2	19	1	0	0	0	3	0	5	1	0	0	0	0	0.0	0	0	0.0	0.93	0.23
Jonathon Blum	D	VAN	51	16	50	66	53	30	9	25	0	2	0	0	3	0	4	0	2	0	2	0	0.0	0	0	0.0	1.29	0.59
Shayne Wiebe	C	KAM	72	32	33	65	0	90	12	13	3	0	0	0	5	0	3	3	4	0	4	0	0.0	0	0	0.0	0.9	1.25
Garry Nunn	RW	VAN	69	27	38	65	47	30	6	6	0	0	0	0	7	0	5	4	1	0	1	0	0.0	0	0	0.0	0.94	0.43
Prab Rai	LW	SEA	61	25	40	65	11	29	7	17	2	1	0	0	2	0	3	3	6	1	6	0	16.7	0	0	0.0	1.07	0.48
Milan Kytnar	C	SAS	65	27	37	64	15	89	7	15	1	1	0	0	5	1	7	4	3	1	3	0	33.3	0	0	0.0	0.98	1.37
Jason Bast	C	M.J	72	26	38	64	-25	37	4	17	4	3	0	0	4	0	4	0	4	1	4	0	25.0	0	0	0.0	0.89	0.51
Ryan McDonald	C	P.A	70	37	26	63	-22	99	11	14	0	0	0	0	2	0	7	4	5	2	5	2	40.0	0	0	0.0	0.9	1.41
Kyle Beach	LW	LET	54	24	39	63	4	165	7	19	0	0	0	0	5	0	4	1	2	1	2	1	50.0	0	0	0.0	1.17	3.06
Brenden Dowd	C	EDM	72	29	33	62	-19	51	8	13	1	0	0	0	3	0	4	3	5	2	5	1	40.0	0	0	0.0	0.86	0.71
Jim O'Brien	C	SEA	63	27	35	62	16	55	9	11	1	2	0	0	4	1	8	3	5	2	5	1	40.0	0	0	0.0	0.98	0.87
Jeff Lee	LW	EDM	72	22	40	62	2	69	9	15	0	1	0	0	3	0	4	1	0	0	0	0	0.0	0	0	0.0	0.86	0.96
Andrew Bailey	RW	KTN	70	28	33	61	-5	83	11	12	3	3	0	0	5	0	5	2	5	1	5	1	20.0	0	0	0.0	0.87	1.19
Tyler Johnson	C	SPO	62	26	35	61	26	52	8	16	3	0	0	0	6	0	5	5	2	0	2	0	0.0	0	0	0.0	0.98	0.84
Ian Duval	C	KEL	57	24	37	61	-8	28	4	14	3	1	0	0	4	0	1	2	1	0	1	0	0.0	0	0	0.0	1.07	0.49
Michael Stone	D	CAL	69	19	42	61	43	87	14	20	0	0	0	0	1	0	2	0	4	1	4	1	25.0	0	0	0.0	0.88	1.26
Brett Connolly	LW	P.G	65	30	30	60	-26	38	12	12	2	1	0	0	7	1	7	0	6	3	6	2	50.0	0	0	0.0	0.92	0.58
Dwight King	C	LET	64	25	35	60	9	51	8	12	4	3	0	0	4	1	4	2	2	0	2	0	0.0	0	0	0.0	0.94	0.8
Johnny Lazo	C	T.C	72	22	38	60	20	55	6	8	1	4	0	0	5	1	2	3	5	1	5	1	20.0	0	0	0.0	0.83	0.76
Walker Wintoneak	RW	SAS	72	31	28	59	30	40	10	4	2	3	0	0	6	0	8	3	0	0	0	0	0.0	0	0	0.0	0.82	0.56
Sean Ringrose	C	M.H	72	28	31	59	12	40	9	8	0	0	0	0	5	0	4	3	1	0	1	0	0.0	0	0	0.0	0.82	0.56
Kenton Dulle	RW	KAM	65	24	35	59	2	92	8	16	1	0	0	0	2	1	3	3	6	3	6	2	50.0	0	0	0.0	0.91	1.42
Nathan Green	C	BDN	72	24	35	59	-2	50	10	15	0	0	0	0	2	0	3	1	1	1	1	1	100.0	0	0	0.0	0.82	0.69
Levko Koper	LW	SPO	71	23	36	59	31	57	8	10	1	2	0	0	3	0	7	4	3	1	3	0	33.3	0	0	0.0	0.83	0.8
Craig Schira	D	VAN	71	16	43	59	36	46	9	26	0	1	0	0	0	0	3	2	1	0	1	0	0.0	0	0	0.0	0.83	0.65
Adam Chorneyko	LW	SAS	67	21	37	58	30	43	6	9	0	0	0	0	2	0	5	2	4	1	4	1	25.0	0	0	0.0	0.87	0.64
Brennan Bosch	C	M.H	72	21	37	58	-3	48	8	15	1	0	0	0	5	0	5	1	2	0	2	0	0.0	0	0	0.0	0.81	0.67
Geordie Wudrick	LW	S.C	69	35	22	57	7	77	12	4	0	0	0	0	4	1	6	7	1	1	1	0	100.0	0	0	0.0	0.83	1.12
Dustin Cameron	LW	P.A	64	33	24	57	-12	66	10	9	1	0	0	0	8	2	6	0	3	3	3	3	100.0	0	0	0.0	0.89	1.03
Brett Leffler	RW	REG	64	33	24	57	11	119	6	8	1	1	0	0	5	1	6	2	2	0	2	0	0.0	0	0	0.0	0.89	1.86
Zach Boychuk	C	LET	43	28	29	57	16	22	7	13	3	0	0	0	4	1	5	3	1	0	1	0	0.0	0	0	0.0	1.33	0.51
Tylan Stephens	C	KTN	72	27	30	57	-4	58	10	11	0	0	0	0	4	0	4	3	1	1	1	1	100.0	0	0	0.0	0.79	0.81
Jimmy Bubnick	C	KAM	72	25	32	57	-3	41	6	9	0	0	0	0	1	0	6	2	2	0	2	0	0.0	0	0	0.0	0.79	0.57
Gaelan Patterson	C	SAS	71	22	35	57	31	41	4	7	3	3	0	0	3	0	0	4	0	0	0	0	0.0	0	0	0.0	0.8	0.58
Byron Froese	C	EVT	72	19	38	57	-13	30	7	16	1	0	0	0	3	0	4	4	0	0	0	0	0.0	0	0	0.0	0.79	0.42
Bostjan  Golicic	LW	CAL	67	26	30	56	32	26	7	8	0	0	0	0	3	0	2	4	0	0	0	0	0.0	0	0	0.0	0.84	0.39
Jeremy Boyer	C	SEA	71	21	35	56	9	29	7	10	1	1	0	0	1	1	5	2	3	1	3	1	33.3	0	0	0.0	0.79	0.41
Landon Ferraro	C	R.D	68	37	18	55	-23	99	12	11	0	0	0	0	3	1	8	2	13	4	13	0	30.8	0	0	0.0	0.81	1.46
Matt Tassone	C	S.C	52	36	19	55	23	100	7	4	1	1	0	0	3	0	5	5	1	0	1	0	0.0	0	0	0.0	1.06	1.92
Matt Robertson	LW	REG	68	26	29	55	-23	52	11	15	1	1	0	0	1	0	5	0	5	3	5	0	60.0	0	0	0.0	0.81	0.76
Brent Raedeke	C	EDM	70	19	36	55	-13	78	6	19	0	0	0	0	3	0	4	0	3	1	3	0	33.3	0	0	0.0	0.79	1.11
Brett Breitkreuz	LW	EDM	72	19	36	55	-12	86	6	11	0	0	0	0	4	1	2	0	1	0	1	0	0.0	0	0	0.0	0.76	1.19
Stefan Elliott	D	SAS	71	16	39	55	20	26	8	18	0	2	0	0	1	0	3	3	0	0	0	0	0.0	0	0	0.0	0.77	0.37
Keith Seabrook	D	CAL	64	15	40	55	21	58	12	18	0	1	0	0	5	1	4	1	0	0	0	0	0.0	0	0	0.0	0.86	0.91
Eric Doyle	D	S.C	71	12	43	55	25	32	6	23	0	1	0	0	2	0	2	0	0	0	0	0	0.0	0	0	0.0	0.77	0.45
Burke Gallimore	RW	SAS	71	26	27	53	26	15	6	4	0	0	0	0	7	1	5	0	1	0	1	0	0.0	0	0	0.0	0.75	0.21
Kevin King	LW	KTN	70	21	32	53	-9	90	9	13	1	1	0	0	2	0	5	0	2	0	2	0	0.0	0	0	0.0	0.76	1.29
Luke Walker	RW	POR	71	29	23	52	-17	84	9	9	2	3	0	0	0	0	6	1	2	1	2	0	50.0	0	0	0.0	0.73	1.18
Tyson Barrie	D	KEL	68	12	40	52	17	31	11	19	0	2	0	0	1	0	4	1	4	1	4	0	25.0	0	0	0.0	0.76	0.46
Thomas Hickey	D	SEA	57	16	35	51	37	30	6	15	1	3	0	0	3	0	2	0	2	0	2	0	0.0	0	0	0.0	0.89	0.53
Carter Ashton	RW	LET	70	30	20	50	-5	93	10	4	0	1	0	0	5	0	4	1	1	1	1	1	100.0	0	0	0.0	0.71	1.33
Craig Cunningham	LW	VAN	72	28	22	50	28	62	4	7	3	1	0	0	7	0	3	4	0	0	0	0	0.0	0	0	0.0	0.69	0.86
Matt Strueby	C	REG	71	25	25	50	9	70	9	8	0	0	0	0	2	0	4	2	1	0	1	0	0.0	0	0	0.0	0.7	0.99
Michael Stickland	RW	S.C	65	27	22	49	5	79	8	5	1	1	0	0	6	0	1	4	3	0	3	0	0.0	0	0	0.0	0.75	1.22
Travis Dunstall	LW	M.H	61	15	34	49	2	103	2	14	0	0	0	0	3	0	3	1	3	0	3	0	0.0	0	0	0.0	0.8	1.69
Chris Langkow	C	SAS	70	15	34	49	11	52	6	8	0	1	0	0	3	0	0	0	2	1	2	0	50.0	0	0	0.0	0.7	0.74
Brandon McMillan	LW	KEL	70	14	35	49	23	75	3	16	0	0	0	0	2	0	2	2	1	1	1	1	100.0	0	0	0.0	0.7	1.07
John Negrin	D	S.C	63	8	41	49	8	49	2	18	0	1	0	0	0	0	0	2	0	0	0	0	0.0	0	0	0.0	0.78	0.78
Cody Eakin	C	S.C	54	24	24	48	18	42	3	9	3	0	0	0	4	1	5	3	1	0	1	0	0.0	0	0	0.0	0.89	0.78
Curtis Hamilton	LW	SAS	58	20	28	48	28	24	0	8	2	0	0	0	3	0	4	4	0	0	0	0	0.0	0	0	0.0	0.83	0.41
Brandon Herrod	RW	P.A	69	16	32	48	-2	35	8	10	2	0	0	0	2	0	3	1	0	0	0	0	0.0	0	0	0.0	0.7	0.51
Adam Hughesman	LW	T.C	71	16	32	48	21	39	1	5	0	0	0	0	3	0	2	2	6	2	6	2	33.3	0	0	0.0	0.68	0.55
James Wright	C	VAN	71	21	26	47	26	54	3	10	0	1	0	0	0	0	7	3	2	0	2	0	0.0	0	0	0.0	0.66	0.76
Zdenek Okal	LW	M.H	64	17	30	47	6	52	4	13	0	0	0	0	1	0	2	5	1	0	1	0	0.0	0	0	0.0	0.73	0.81
Aaron Lewadniuk	RW	BDN	63	15	32	47	9	61	1	10	0	0	0	0	1	0	3	2	0	0	0	0	0.0	0	0	0.0	0.75	0.97
Carter Bancks	LW	LET	53	13	34	47	14	68	4	12	1	1	0	0	2	0	6	1	0	0	0	0	0.0	0	0	0.0	0.89	1.28
Tyler Maxwell	C	EVT	57	22	24	46	-5	31	9	12	0	0	0	0	2	0	2	1	6	3	6	1	50.0	0	0	0.0	0.81	0.54
Victor Bartley	D	REG	72	15	31	46	-4	97	10	9	0	0	0	0	2	0	3	0	5	1	5	0	20.0	0	0	0.0	0.64	1.35
Giffen Nyren	D	KAM	69	11	35	46	-3	88	7	20	0	1	0	0	2	0	1	1	0	0	0	0	0.0	0	0	0.0	0.67	1.28
Kruise Reddick	C	T.C	54	19	26	45	17	38	8	10	1	2	0	0	2	0	2	2	1	0	1	0	0.0	0	0	0.0	0.83	0.7
Jared Spurgeon	D	SPO	59	10	35	45	36	37	3	13	0	2	0	0	1	0	0	1	2	0	2	0	0.0	0	0	0.0	0.76	0.63
Alex Plante	D	CAL	68	8	37	45	31	155	5	16	0	0	0	0	1	0	2	1	2	1	2	0	50.0	0	0	0.0	0.66	2.28
Cameron Cepek	D	P.G	69	8	37	45	-32	142	4	27	0	2	0	0	2	1	2	0	0	0	0	0	0.0	0	0	0.0	0.65	2.06
Ryan Howse	LW	CWK	61	31	13	44	-24	12	11	4	3	0	0	0	2	0	2	1	7	4	7	2	57.1	0	0	0.0	0.72	0.2
Brendan Rowinski	C	M.J	62	17	27	44	0	56	5	5	0	1	0	0	4	0	2	3	1	0	1	0	0.0	0	0	0.0	0.71	0.9
Spencer McAvoy	D	S.C	71	5	39	44	6	71	1	20	0	1	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.62	1.0
Nick Ross	D	VAN	74	11	32	43	19	83	4	18	0	2	0	0	1	0	4	1	0	0	0	0	0.0	0	0	0.0	0.58	1.12
Zack Dailey	C	EVT	71	10	33	43	-16	57	4	12	0	1	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.61	0.8
Mark Isherwood	D	M.H	72	19	23	42	-2	95	13	14	1	0	0	0	2	0	4	1	4	1	4	1	25.0	0	0	0.0	0.58	1.32
Willie Coetzee	RW	R.D	72	18	24	42	-9	42	10	10	0	0	0	0	3	0	1	2	13	5	13	0	38.5	0	0	0.0	0.58	0.58
Colby Robak	D	BDN	65	13	29	42	30	41	8	14	0	2	0	0	2	1	1	1	0	0	0	0	0.0	0	0	0.0	0.65	0.63
Tyler Myers	D	KEL	58	9	33	42	31	105	4	18	1	0	0	0	2	0	0	0	0	0	0	0	0.0	0	0	0.0	0.72	1.81
Dustin Sylvester	C	KTN	34	21	20	41	16	29	2	7	6	1	0	0	3	0	3	4	6	4	6	2	66.7	0	0	0.0	1.21	0.85
Radim Valchar	LW	POR	67	21	20	41	-36	22	12	7	1	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.61	0.33
Stepan Novotny	RW	KEL	65	19	22	41	31	24	3	3	0	0	0	0	3	0	3	3	2	1	2	0	50.0	0	0	0.0	0.63	0.37
Ian Schultz	RW	CAL	58	15	26	41	19	127	4	6	0	0	0	0	0	0	3	2	0	0	0	0	0.0	0	0	0.0	0.71	2.19
Thomas Frazee	C	M.J	66	11	30	41	-18	66	2	5	1	0	0	0	0	0	0	1	1	0	1	0	0.0	0	0	0.0	0.62	1.0
Tyler Schmidt	D	T.C	66	9	32	41	22	164	7	13	0	0	0	0	4	0	2	1	0	0	0	0	0.0	0	0	0.0	0.62	2.48
Dana Tyrell	C	P.G	30	19	21	40	-22	27	7	11	3	0	0	0	1	0	3	1	1	0	1	0	0.0	0	0	0.0	1.33	0.9
Marek  Viedensky	C	P.G	59	16	24	40	-13	34	6	8	0	2	0	0	2	0	3	1	3	1	3	0	33.3	0	0	0.0	0.68	0.58
Travis Hamonic	D	M.J	57	13	27	40	-31	126	8	14	0	0	0	0	2	0	2	0	0	0	0	0	0.0	0	0	0.0	0.7	2.21
Stefan Ulmer	D	SPO	63	8	32	40	14	44	5	18	0	1	0	0	0	0	1	1	2	1	2	1	50.0	0	0	0.0	0.63	0.7
Kevin  Sundher	C	CWK	67	19	20	39	-22	68	7	9	0	0	0	0	2	0	4	2	9	2	9	1	22.2	0	0	0.0	0.58	1.01
Cass Mappin	LW	R.D	56	17	22	39	-12	81	8	9	0	0	0	0	1	0	4	1	4	1	4	0	25.0	0	0	0.0	0.7	1.45
Mark Stone	RW	BDN	56	17	22	39	-5	27	7	8	0	0	0	0	1	0	2	2	0	0	0	0	0.0	0	0	0.0	0.7	0.48
Jonathan Parker	C	SEA	65	17	22	39	-3	55	6	5	0	0	0	0	4	0	5	1	2	0	2	0	0.0	0	0	0.0	0.6	0.85
Jordan Rowley	D	P.A	68	10	29	39	-21	95	8	19	0	0	0	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	0.57	1.4
Ian Barteaux	D	KTN	69	10	29	39	-5	153	4	15	1	2	0	0	0	0	1	3	1	0	1	0	0.0	0	0	0.0	0.57	2.22
