Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Mark Santorelli	LW	CWK	72	27	74	101	7	40	11	45	1	0	0	0	4	1	7	2	6	2	6	2	33.3	0	0	0.0	1.4	0.56
Colin Long	C	KEL	72	31	69	100	22	41	14	32	0	0	0	0	6	1	9	2	11	5	11	1	45.5	0	0	0.0	1.39	0.57
Colton Yellow Horn	LW	TRI	67	48	49	97	19	63	20	20	8	1	0	0	8	0	7	8	7	3	7	1	42.9	0	0	0.0	1.45	0.94
Tyler Ennis	C	M.H	70	43	48	91	11	42	15	20	0	0	0	0	8	2	5	4	5	4	5	1	80.0	0	0	0.0	1.3	0.6
Steve DaSilva	C	KTN	68	40	50	90	12	47	11	22	7	0	0	0	10	0	7	5	7	2	7	0	28.6	0	0	0.0	1.32	0.69
Mitch Fadden	C	LET	72	34	55	89	23	72	12	22	3	1	0	0	5	0	5	4	8	4	8	1	50.0	0	0	0.0	1.24	1.0
Jordan Knackstedt	RW	M.J	72	31	54	85	25	116	10	22	1	2	0	0	6	2	3	4	11	5	11	1	45.5	0	0	0.0	1.18	1.61
Dan Gendur	RW	EVT	60	29	55	84	14	68	9	32	3	0	0	0	6	1	8	2	3	2	3	2	66.7	0	0	0.0	1.4	1.13
Bud Holloway	RW	SEA	70	43	40	83	36	55	9	11	4	1	0	0	9	0	5	9	4	1	4	1	25.0	0	0	0.0	1.19	0.79
Drayson Bowman	LW	SPO	66	42	40	82	32	62	17	17	0	1	0	0	9	0	7	6	9	3	9	2	33.3	0	0	0.0	1.24	0.94
Oscar Moller	RW	CWK	63	39	43	82	7	42	16	28	1	1	0	0	3	0	4	2	7	1	7	0	14.3	0	0	0.0	1.3	0.67
Jason Reese	C	TRI	69	24	58	82	18	46	9	27	3	1	0	0	5	0	5	3	8	4	8	2	50.0	0	0	0.0	1.19	0.67
Jason Bast	C	M.J	72	34	45	79	14	28	10	19	3	0	0	0	6	0	6	5	10	3	10	0	30.0	0	0	0.0	1.1	0.39
Spencer Machacek	RW	VAN	70	33	45	78	16	69	14	20	3	0	0	0	8	1	5	3	4	0	4	0	0.0	0	0	0.0	1.11	0.99
Jordan Eberle	C	REG	70	42	33	75	5	20	16	14	1	0	0	0	9	1	9	6	9	5	9	2	55.6	0	0	0.0	1.07	0.29
Greg Scott	RW	SEA	72	38	37	75	40	56	10	8	3	2	0	0	8	1	7	3	1	1	1	1	100.0	0	0	0.0	1.04	0.78
Zach Hamill	C	EVT	67	26	49	75	1	88	9	26	1	3	0	0	4	2	4	3	4	1	4	0	25.0	0	0	0.0	1.12	1.31
Brandon Campos	LW	CWK	69	26	48	74	-4	56	13	26	2	0	0	0	1	0	1	1	2	0	2	0	0.0	0	0	0.0	1.07	0.81
Kruise Reddick	C	TRI	72	23	51	74	22	60	7	21	0	3	0	0	5	1	6	4	1	0	1	0	0.0	0	0	0.0	1.03	0.83
Shaun Vey	C	TRI	70	27	46	73	4	42	6	26	0	0	0	0	3	0	1	5	4	2	4	1	50.0	0	0	0.0	1.04	0.6
Mitch Wahl	C	SPO	67	20	53	73	33	63	4	22	0	0	0	0	2	0	1	4	1	0	1	0	0.0	0	0	0.0	1.09	0.94
Kyle Bortis	C	CGY	70	37	35	72	39	30	10	6	2	1	0	0	4	0	5	7	3	0	3	0	0.0	0	0	0.0	1.03	0.43
Zach Boychuk	C	LET	61	33	39	72	26	80	12	17	0	2	0	0	3	0	9	8	8	4	8	1	50.0	0	0	0.0	1.18	1.31
Ryan White	C	CGY	68	28	44	72	24	98	8	22	0	2	0	0	4	0	1	6	3	0	3	0	0.0	0	0	0.0	1.06	1.44
Brock Nixon	C	CGY	69	31	40	71	20	49	13	17	4	0	0	0	8	1	7	1	6	1	6	1	16.7	0	0	0.0	1.03	0.71
Brayden Schenn	C	BRN	66	28	43	71	22	48	8	10	0	0	0	0	5	0	4	0	6	4	6	1	66.7	0	0	0.0	1.08	0.73
Brennan Bosch	C	M.H	72	22	48	70	10	48	10	28	0	0	0	0	3	0	5	4	3	1	3	0	33.3	0	0	0.0	0.97	0.67
T.J. Galiardi	LW	CGY	72	18	52	70	31	77	5	14	3	1	0	0	4	0	4	5	3	0	3	0	0.0	0	0	0.0	0.97	1.07
Dwight King	C	LET	72	34	35	69	21	56	12	13	1	1	0	0	5	0	6	5	7	4	7	2	57.1	0	0	0.0	0.96	0.78
Brady Leavold	RW	KEL	69	27	42	69	21	163	8	17	0	0	0	0	3	0	2	2	2	1	2	0	50.0	0	0	0.0	1.0	2.36
Zack Smith	C	S.C	72	22	47	69	31	136	7	11	3	2	0	0	5	1	4	3	3	0	3	0	0.0	0	0	0.0	0.96	1.89
Dustin Sylvester	C	KTN	70	35	33	68	10	38	12	10	3	1	0	0	5	0	7	1	8	5	8	2	62.5	0	0	0.0	0.97	0.54
Ty Wishart	D	M.J	72	16	51	67	7	52	10	32	1	1	0	0	3	0	3	0	5	3	5	2	60.0	0	0	0.0	0.93	0.72
Jamie Benn	LW	KEL	51	33	32	65	32	68	15	6	0	2	0	0	4	2	6	2	7	2	7	1	28.6	0	0	0.0	1.27	1.33
Andrew Bailey	RW	KTN	72	28	37	65	-5	87	11	14	0	3	0	0	8	3	4	4	4	0	4	0	0.0	0	0	0.0	0.9	1.21
Dana Tyrell	C	P.G	68	25	40	65	-26	47	13	18	0	1	0	0	2	0	1	3	2	0	2	0	0.0	0	0	0.0	0.96	0.69
Daine Todd	C	M.H	70	25	40	65	-3	22	9	22	0	0	0	0	4	0	3	4	5	0	5	0	0.0	0	0	0.0	0.93	0.31
Prab Rai	LW	SEA	72	20	45	65	31	21	3	16	4	2	0	0	3	0	4	4	1	0	1	0	0.0	0	0	0.0	0.9	0.29
Colton Sceviour	C	LET	69	33	31	64	20	45	9	11	2	0	0	0	5	1	5	4	4	0	4	0	0.0	0	0	0.0	0.93	0.65
Matt Calvert	LW	BRN	72	24	40	64	26	53	3	10	3	1	0	0	2	0	1	4	7	4	7	1	57.1	0	0	0.0	0.89	0.74
Chris Bruton	C	SPO	67	26	37	63	33	99	11	9	1	0	0	0	7	1	8	2	1	0	1	0	0.0	0	0	0.0	0.94	1.48
Jonathon Blum	D	VAN	64	18	45	63	27	44	12	26	0	2	0	0	2	1	2	4	1	0	1	0	0.0	0	0	0.0	0.98	0.69
Michal Repik	LW	VAN	51	27	34	61	29	62	9	15	0	0	0	0	7	0	9	5	3	0	3	0	0.0	0	0	0.0	1.2	1.22
