Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Sam Steel	C	REG	66	50	81	131	49	40	15	29	5	5	0	0	6	1	8	5	1	0	1	0	0.0	0	0	0.0	1.98	0.61
Adam Brooks	C	REG	66	43	87	130	43	61	11	36	2	3	0	0	9	1	6	4	1	0	1	0	0.0	0	0	0.0	1.97	0.92
Tyler Wong	RW	LET	69	51	58	109	29	53	15	21	2	0	0	0	10	1	7	5	5	3	5	1	60.0	0	0	0.0	1.58	0.77
Chad Butcher	RW	MH	68	27	76	103	16	75	6	28	1	3	0	0	5	1	4	4	1	0	1	0	0.0	0	0	0.0	1.51	1.1
Jayden Halbgewachs	C	MJ	71	50	51	101	8	27	10	20	4	0	0	0	7	1	6	5	3	2	3	2	66.7	0	0	0.0	1.42	0.38
Kailer Yamamoto	RW	SPO	65	42	57	99	14	46	10	25	1	2	0	0	7	2	4	3	2	0	2	0	0.0	0	0	0.0	1.52	0.71
Cody Glass	C	POR	69	32	62	94	31	36	9	18	1	0	0	0	5	0	6	2	2	0	2	0	0.0	0	0	0.0	1.36	0.52
Mason Shaw	C	MH	71	27	67	94	12	57	5	21	3	1	0	0	3	0	2	3	0	0	0	0	0.0	0	0	0.0	1.32	0.8
Tyler Steenbergen	C	SC	72	51	39	90	26	22	19	8	1	0	0	0	12	4	3	9	5	1	5	0	20.0	0	0	0.0	1.25	0.31
Matthew Phillips	C	VIC	70	50	40	90	34	50	15	18	0	0	0	0	7	1	6	7	2	0	2	0	0.0	0	0	0.0	1.29	0.71
Morgan Geekie	C	TC	72	35	55	90	22	40	14	15	0	0	0	0	5	1	8	2	4	3	4	1	75.0	0	0	0.0	1.25	0.56
Giorgio Estephan	C	LET	68	35	54	89	3	39	8	21	0	1	0	0	5	2	7	5	5	2	5	1	40.0	0	0	0.0	1.31	0.57
Dawson Leedahl	LW	REG	71	35	54	89	45	121	10	14	2	3	0	0	4	1	1	4	0	0	0	0	0.0	0	0	0.0	1.25	1.7
Steven  Owre	C	MH	71	26	62	88	18	70	2	30	2	0	0	0	5	1	4	2	0	0	0	0	0.0	0	0	0.0	1.24	0.99
Kole Lind	RW	KEL	70	30	57	87	36	79	6	21	1	1	0	0	6	2	2	5	3	1	3	1	33.3	0	0	0.0	1.24	1.13
