Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
1	Patrick Kane	London Knights	OHL	58	62	83	145	52	42	16	10	21	31	16	NHL [0.8, 1.0)
4	Thomas Hickey	Seattle Thunderbirds	WHL	68	9	41	50	70	15	11	3	4	7	4	AHL [0.2, 0.4)
5	Karl Alzner	Calgary Hitmen	WHL	63	8	39	47	32	16	18	1	12	13	4	NHL [0.2, 0.4)
6	Sam Gagner	London Knights	OHL	53	35	83	118	36	32	16	7	22	29	22	NHL [0.6, 0.8)
7	Jakub Voracek	Halifax Mooseheads	QMJHL	59	23	63	86	26	-7	12	7	17	24	6	NHL [0.6, 0.8)
8	Zach Hamill	Everett Silvertips	WHL	69	32	61	93	90	16	12	2	8	10	16	AHL [0.4, 0.6)
9	Logan Couture	Ottawa 67s	OHL	54	26	52	78	24	-1	5	1	7	8	4	NHL [0.8, 1.0)
10	Keaton Ellerby	Kamloops Blazers	WHL	69	2	23	25	120	-2	4	1	2	3	12	NHL [0.0, 0.2)
11	Brandon Sutter	Red Deer Rebels	WHL	71	20	37	57	54	-3	7	0	3	3	14	NHL [0.2, 0.4)
15	Alex Plante	Calgary Hitmen	WHL	58	8	30	38	81	18	13	5	6	11	14	AHL [0.2, 0.4)
16	Colton Gillies	Saskatoon Blades	WHL	65	13	17	30	148	-20	0	0	0	0	0	NHL [0.0, 0.2)
19	Logan MacMillan	Halifax Mooseheads	QMJHL	68	20	35	55	82	-5	12	9	11	20	6	Not_In_NHL_AHL
20	Angelo Esposito	Quebec Remparts	QMJHL	60	27	52	79	63	9	5	4	3	7	2	AHL [0.2, 0.4)
23	Jonathon Blum	Vancouver Giants	WHL	72	8	43	51	48	37	22	3	6	9	8	AHL [0.4, 0.6)
26	David Perron	Lewiston MAINEiacs	QMJHL	70	39	44	83	75	37	17	12	16	28	22	NHL [0.6, 0.8)
30	Nick Ross	Regina Pats	WHL	70	7	24	31	87	11	10	1	5	6	14	AHL [0.4, 0.6)
31	T.J. Brennan	St Johns Fog Devils	QMJHL	68	16	25	41	79	-8	4	1	1	2	4	AHL [0.4, 0.6)
32	Brett MacLean	Oshawa Generals	OHL	68	47	53	100	43	9	7	6	9	15	9	AHL [0.6, 0.8)
33	Taylor Ellington	Everett Silvertips	WHL	60	5	8	13	65	5	6	1	0	1	2	Not_In_NHL_AHL
34	Josh Godfrey	Soo Greyhounds	OHL	68	24	33	57	80	-2	13	9	5	14	18	AHL [0.2, 0.4)
37	Stefan Legein	Mississauga IceDogs	OHL	64	43	32	75	115	31	5	3	2	5	0	AHL [0.4, 0.6)
40	Michal Repik	Vancouver Giants	WHL	56	24	31	55	56	20	22	10	16	26	24	AHL [0.6, 0.8)
41	Kevin Marshall	Lewiston MAINEiacs	QMJHL	70	5	27	32	141	34	17	0	7	7	38	AHL [0.0, 0.2)
42	Eric Tangradi	Belleville Bulls	OHL	65	5	15	20	32	12	15	8	9	17	14	AHL [0.8, 1.0)
43	P.K. Subban	Belleville Bulls	OHL	68	15	41	56	89	13	15	5	8	13	26	NHL [0.4, 0.6)
47	Dana Tyrell	Prince George Cougars	WHL	72	30	26	56	51	4	15	1	6	7	4	NHL [0.0, 0.2)
51	Keven Veilleux	Victoriaville Tigres	QMJHL	70	20	35	55	53	-6	6	1	5	6	4	Other
52	Oscar Moller	Chilliwack Bruins	WHL	68	32	37	69	50	1	5	0	3	3	6	Not_In_NHL_AHL
56	Akim Aliu	Sudbury Wolves	OHL	53	20	22	42	104	0	21	1	5	6	50	AHL [0.2, 0.4)
58	Nick Spaling	Kitchener Rangers	OHL	61	23	36	59	41	24	9	2	3	5	4	NHL [0.2, 0.4)
59	Drew Schiestel	Mississauga IceDogs	OHL	66	6	15	21	40	13	5	0	6	6	2	AHL [0.2, 0.4)
60	Ruslan Bashkirov	Quebec Remparts	QMJHL	64	30	37	67	117	11	5	1	3	4	6	Not_In_NHL_AHL
61	Wayne Simmonds	Owen Sound Attack	OHL	66	23	26	49	112	-10	4	1	1	2	4	NHL [0.6, 0.8)
62	Mark Katic	Sarnia Sting	OHL	68	5	35	40	31	8	4	1	3	4	8	Other
63	Maxime Macenauer	Rouyn-Noranda Huskies	QMJHL	14	1	3	4	10	-2	0	0	0	0	0	NHL [0.0, 0.2)
65	Olivier Fortier	Rimouski Oceanic	QMJHL	69	28	36	64	28	-8	0	0	0	0	0	AHL [0.4, 0.6)
66	Garrett Klotz	Saskatoon Blades	WHL	63	2	2	4	107	-6	0	0	0	0	0	AHL [0.0, 0.2)
67	Spencer Machacek	Vancouver Giants	WHL	63	21	24	45	32	26	22	9	11	20	14	AHL [0.8, 1.0)
69	Maxime Tanguay	Rimouski Oceanic	QMJHL	54	24	36	60	32	-14	0	0	0	0	0	Not_In_NHL_AHL
70	John Negrin	Kootenay Ice	WHL	44	1	15	16	57	11	7	0	2	2	8	AHL [0.0, 0.2)
72	Drayson Bowman	Spokane Chiefs	WHL	61	24	19	43	55	1	6	2	5	7	4	AHL [0.6, 0.8)
73	Yannick Weber	Kitchener Rangers	OHL	51	13	28	41	42	5	9	3	6	9	8	NHL [0.2, 0.4)
74	Dale Mitchell	Oshawa Generals	OHL	67	43	37	80	81	3	9	1	4	5	12	Not_In_NHL_AHL
78	Robert Bortuzzo	Kitchener Rangers	OHL	63	2	12	14	67	15	9	1	2	3	8	AHL [0.2, 0.4)
79	Nick Palmieri	Erie Otters	OHL	56	24	21	45	99	-24	0	0	0	0	0	NHL [0.0, 0.2)
82	Bryan Cameron	Belleville Bulls	OHL	60	33	25	58	50	-6	15	4	8	12	15	Not_In_NHL_AHL
85	Brett Sonne	Calgary Hitmen	WHL	71	21	9	30	65	3	18	5	1	6	22	AHL [0.2, 0.4)
102	Justin McCrae	Saskatoon Blades	WHL	61	16	33	49	98	-3	0	0	0	0	0	Other
