Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
1	Ryan Nugent-Hopkins	Red Deer Rebels	WHL	69	31	75	106	51	29	9	4	7	11	6	NHL [0.6, 0.8)
2	Gabriel Landeskog	Kitchener Rangers	OHL	53	36	30	66	61	27	7	6	4	10	4	NHL [0.6, 0.8)
3	Jonathan Huberdeau	Saint John Sea Dogs	QMJHL	67	43	62	105	88	59	19	16	14	30	16	NHL [0.6, 0.8)
5	Ryan Strome	Niagara IceDogs	OHL	65	33	73	106	82	28	14	6	6	12	19	NHL [0.2, 0.4)
7	Mark Scheifele	Barrie Colts	OHL	66	22	53	75	35	-22	0	0	0	0	0	NHL [0.8, 1.0)
8	Sean Couturier	Drummondville Voltigeurs	QMJHL	58	36	60	96	36	55	10	6	5	11	14	NHL [0.6, 0.8)
9	Dougie Hamilton	Niagara IceDogs	OHL	67	12	46	58	77	35	14	4	12	16	16	NHL [0.4, 0.6)
11	Duncan Siemens	Saskatoon Blades	WHL	72	5	38	43	121	40	10	1	3	4	15	AHL [0.0, 0.2)
12	Ryan Murphy	Kitchener Rangers	OHL	63	26	53	79	36	22	7	2	9	11	8	NHL [0.2, 0.4)
13	Sven Baertschi	Portland Winterhawks	WHL	66	34	51	85	74	23	21	10	17	27	16	NHL [0.4, 0.6)
17	Nathan Beaulieu	Saint John Sea Dogs	QMJHL	65	12	33	45	52	44	19	4	13	17	26	NHL [0.2, 0.4)
18	Mark McNeill	Prince Albert Raiders	WHL	70	32	49	81	53	-4	6	2	3	5	2	AHL [0.6, 0.8)
21	Stefan Noesen	Plymouth Whalers	OHL	68	34	43	77	80	14	11	6	5	11	16	AHL [0.4, 0.6)
23	Joe Morrow	Portland Winterhawks	WHL	60	9	40	49	67	23	21	6	14	20	27	NHL [0.2, 0.4)
24	Matt Puempel	Peterborough Petes	OHL	55	34	35	69	49	-33	0	0	0	0	0	AHL [0.8, 1.0)
25	Stuart Percy	Mississauga St Michaels Majors	OHL	64	4	29	33	50	50	20	2	10	12	14	AHL [0.4, 0.6)
26	Phillip Danault	Victoriaville Tigres	QMJHL	64	23	44	67	59	17	9	5	10	15	6	NHL [0.2, 0.4)
27	Vladislav Namestnikov	London Knights	OHL	68	30	38	68	49	12	6	1	4	5	6	NHL [0.4, 0.6)
28	Zack Phillips	Saint John Sea Dogs	QMJHL	67	38	57	95	16	48	17	9	15	24	8	AHL [0.2, 0.4)
29	Nicklas Jensen	Oshawa Generals	OHL	61	29	29	58	42	14	10	7	4	11	2	AHL [0.4, 0.6)
30	Rickard Rakell	Plymouth Whalers	OHL	49	19	24	43	12	14	1	0	0	0	0	NHL [0.6, 0.8)
31	David Musil	Vancouver Giants	WHL	62	6	19	25	83	0	4	0	1	1	2	AHL [0.2, 0.4)
32	Ty Rattie	Portland Winterhawks	WHL	67	28	51	79	55	20	21	9	13	22	22	AHL [0.6, 0.8)
35	Tomas Jurco	Saint John Sea Dogs	QMJHL	60	31	25	56	17	46	19	6	12	18	8	NHL [0.0, 0.2)
37	Boone Jenner	Oshawa Generals	OHL	63	25	41	66	57	10	10	7	5	12	14	NHL [0.6, 0.8)
