Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
2	Andrei Svechnikov	Barrie Colts	OHL	44	40	32	72	67	26	8	5	6	11	12	NHL [0.8, 1.0)
5	Barrett Hayton	Soo Greyhounds	OHL	63	21	39	60	32	24	24	8	13	21	16	NHL [0.4, 0.6)
6	Filip Zadina	Halifax Mooseheads	QMJHL	57	44	38	82	36	23	9	5	7	12	0	NHL [0.2, 0.4)
10	Evan Bouchard	London Knights	OHL	67	25	62	87	54	23	4	1	4	5	6	NHL [0.4, 0.6)
12	Noah Dobson	Acadie-Bathurst Titan	QMJHL	67	17	52	69	52	33	20	3	10	13	24	NHL [0.6, 0.8)
13	Ty Dellandrea	Flint Firebirds	OHL	67	27	32	59	48	-30	0	0	0	0	0	NHL [0.2, 0.4)
17	Ty Smith	Spokane Chiefs	WHL	69	14	59	73	30	44	7	2	5	7	2	AHL [0.6, 0.8)
18	Liam Foudy	London Knights	OHL	65	24	16	40	22	-2	4	1	1	2	0	NHL [0.2, 0.4)
21	Ryan Merkley	Guelph Storm	OHL	63	13	54	67	63	-29	6	1	5	6	10	AHL [0.2, 0.4)
27	Nicolas Beaudin	Drummondville Voltigeurs	QMJHL	68	12	57	69	47	27	10	3	8	11	2	AHL [0.6, 0.8)
29	Rasmus Sandin	Soo Greyhounds	OHL	51	12	33	45	24	35	24	1	12	13	8	NHL [0.4, 0.6)
30	Joe Veleno	Drummondville Voltigeurs	QMJHL	64	22	57	79	48	4	10	5	6	11	10	NHL [0.2, 0.4)
31	Alexander Alexeyev	Red Deer Rebels	WHL	45	7	30	37	29	-3	3	2	3	5	2	NHL [0.0, 0.2)
34	Serron Noel	Oshawa Generals	OHL	62	28	25	53	61	-8	5	0	1	1	12	Other
36	Jared McIsaac	Halifax Mooseheads	QMJHL	65	9	38	47	86	14	9	0	4	4	8	AHL [0.2, 0.4)
37	Jett Woo	Moose Jaw Warriors	WHL	44	9	16	25	33	29	14	2	1	3	6	AHL [0.2, 0.4)
40	Ryan McLeod	Mississauga Steelheads	OHL	68	26	44	70	26	-2	6	2	3	5	6	NHL [0.4, 0.6)
47	Kody Clark	Ottawa 67s	OHL	56	18	21	39	38	7	5	0	0	0	2	Other
51	Akil Thomas	Niagara IceDogs	OHL	68	22	59	81	36	6	10	5	6	11	6	Other
52	Sean Durzi	Owen Sound Attack	OHL	40	15	34	49	12	19	11	4	12	16	4	NHL [0.4, 0.6)
53	Calen Addison	Lethbridge Hurricanes	WHL	68	11	54	65	53	-18	16	7	12	19	20	NHL [0.4, 0.6)
54	Benoit-Olivier Groulx	Halifax Mooseheads	QMJHL	68	28	27	55	100	9	9	2	6	8	14	AHL [0.6, 0.8)
55	Kevin Bahl	Ottawa 67s	OHL	58	1	17	18	76	-21	5	0	0	0	4	NHL [0.0, 0.2)
59	Gabriel Fortier	Baie-Comeau Drakkar	QMJHL	66	26	33	59	59	-11	5	3	1	4	0	AHL [0.4, 0.6)
66	Cam Hillis	Guelph Storm	OHL	60	20	39	59	48	-12	6	1	2	3	2	Not_In_NHL_AHL
67	Alec Regula	London Knights	OHL	67	7	18	25	22	23	4	0	0	0	2	AHL [0.4, 0.6)
76	Semyon Der-Arguchintsev	Peterborough Petes	OHL	68	12	39	51	18	-19	0	0	0	0	0	AHL [0.8, 1.0)
83	Riley Stotts	Calgary Hitmen	WHL	69	19	25	44	46	-4	0	0	0	0	0	Not_In_NHL_AHL
86	Alexander Khovanov	Moncton Wildcats	QMJHL	29	9	19	28	36	-1	12	3	4	7	14	Not_In_NHL_AHL
88	Joey Keane	Barrie Colts	OHL	62	12	32	44	52	45	12	0	7	7	8	Not_In_NHL_AHL
92	Connor Dewar	Everett Silvertips	WHL	68	38	30	68	47	23	22	12	14	26	24	NHL [0.2, 0.4)
93	Riley Sutter	Everett Silvertips	WHL	68	25	28	53	70	22	21	9	10	19	23	AHL [0.0, 0.2)
96	Luke Henman	Blainville-Boisbriand Armada	QMJHL	61	9	38	47	16	11	20	6	8	14	6	AHL [0.2, 0.4)
97	Allan McShane	Oshawa Generals	OHL	67	20	45	65	16	3	5	1	2	3	2	Not_In_NHL_AHL
