Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
2	Jordan Staal	Peterborough Petes	OHL	68	28	40	68	69	16	19	10	6	16	16	NHL [0.6, 0.8)
6	Derick Brassard	Drummondville Voltigeurs	QMJHL	58	44	72	116	92	19	7	5	4	9	10	NHL [0.6, 0.8)
8	Peter Mueller	Everett Silvertips	WHL	52	26	32	58	44	4	15	7	6	13	10	Other
9	James Sheppard	Cape Breton Screaming Eagles	QMJHL	66	30	54	84	78	3	9	2	5	7	12	Other
12	Bryan Little	Barrie Colts	OHL	64	42	67	109	99	26	14	8	15	23	19	NHL [0.6, 0.8)
14	Michael Grabner	Spokane Chiefs	WHL	67	36	14	50	28	-2	0	0	0	0	0	NHL [0.6, 0.8)
16	Ty Wishart	Prince George Cougars	WHL	70	5	32	37	68	12	5	0	0	0	4	AHL [0.4, 0.6)
18	Chris Stewart	Kingston Frontenacs	OHL	62	37	50	87	118	19	6	2	0	2	13	NHL [0.8, 1.0)
21	Bob Sanguinetti	Owen Sound Attack	OHL	68	14	51	65	44	-6	11	5	10	15	4	AHL [0.4, 0.6)
22	Claude Giroux	Gatineau Olympiques	QMJHL	69	39	64	103	64	30	17	5	15	20	24	NHL [0.8, 1.0)
27	Ivan Vishnevskiy	Rouyn-Noranda Huskies	QMJHL	54	13	35	48	57	1	5	2	1	3	2	AHL [0.2, 0.4)
28	Nick Foligno	Sudbury Wolves	OHL	65	24	46	70	146	19	10	1	3	4	28	NHL [0.4, 0.6)
30	Matt Corrente	Saginaw Spirit	OHL	61	6	24	30	172	2	4	1	1	2	8	NHL [0.2, 0.4)
35	Francois Bouchard	Baie-Comeau Drakkar	QMJHL	69	33	69	102	66	-6	4	1	0	1	6	AHL [0.2, 0.4)
36	Jamie McGinn	Ottawa 67s	OHL	65	26	31	57	113	-11	6	2	2	4	4	NHL [0.0, 0.2)
38	Bryce Swan	Halifax Mooseheads	QMJHL	34	14	11	25	54	-8	11	2	5	7	8	Not_In_NHL_AHL
40	Ondrej Fiala	Everett Silvertips	WHL	51	21	14	35	26	4	8	4	4	8	4	Other
41	Cory Emmerton	Kingston Frontenacs	OHL	66	26	64	90	32	37	6	2	0	2	6	AHL [0.4, 0.6)
43	Riley Holzapfel	Moose Jaw Warriors	WHL	64	19	38	57	46	35	22	7	9	16	20	AHL [0.4, 0.6)
