Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
47	Shawn Matthias	Belleville Bulls	OHL	67	13	21	34	42	-9	6	3	0	3	2	NHL [0.2, 0.4)
48	Joey Ryan	Quebec Remparts	QMJHL	61	6	18	24	202	4	23	2	8	10	29	Not_In_NHL_AHL
49	Ben Maxwell	Kootenay Ice	WHL	69	28	32	60	52	17	6	3	5	8	0	AHL [0.8, 1.0)
50	Milan Lucic	Vancouver Giants	WHL	62	9	10	19	149	4	18	3	4	7	23	NHL [0.6, 0.8)
53	Mathieu Carle	Acadie-Bathurst Titan	QMJHL	67	18	51	69	122	20	17	1	14	15	29	AHL [0.4, 0.6)
57	Mike Weber	Windsor Spitfires	OHL	68	5	21	26	181	17	7	0	0	0	12	NHL [0.2, 0.4)
59	Codey Burki	Brandon Wheat Kings	WHL	70	27	34	61	69	5	6	0	3	3	2	Other
66	Ryan White	Calgary Hitmen	WHL	72	20	33	53	121	10	13	3	4	7	18	AHL [0.2, 0.4)
71	Brad Marchand	Moncton Wildcats	QMJHL	68	29	37	66	83	40	20	5	14	19	34	NHL [0.4, 0.6)
72	Cal Clutterbuck	Oshawa Generals	OHL	66	35	33	68	139	-17	0	0	0	0	0	NHL [0.4, 0.6)
73	Brady Calla	Everett Silvertips	WHL	66	8	25	33	52	7	11	1	2	3	4	Not_In_NHL_AHL
75	Theo Peckham	Owen Sound Attack	OHL	67	6	9	15	236	-11	11	1	6	7	32	NHL [0.0, 0.2)
83	John de Gray	Brampton Battalion	OHL	68	0	10	10	103	10	11	0	0	0	8	AHL [0.0, 0.2)
84	Ryan Hillier	Halifax Mooseheads	QMJHL	68	19	38	57	76	11	11	2	2	4	12	Not_In_NHL_AHL
85	Tom Sestito	Plymouth Whalers	OHL	57	10	10	20	176	-1	13	5	2	7	29	AHL [0.6, 0.8)
86	"George ""Bud"" Holloway"	Seattle Thunderbirds	WHL	72	21	13	34	18	8	7	3	2	5	4	AHL [0.6, 0.8)
87	John Armstrong	Plymouth Whalers	OHL	65	14	23	37	75	-18	13	4	7	11	18	AHL [0.2, 0.4)
90	Aaron Snow	Brampton Battalion	OHL	68	30	38	68	107	11	11	4	4	8	22	Other
93	Harrison Reed	Sarnia Sting	OHL	68	26	24	50	50	-31	0	0	0	0	0	AHL [0.0, 0.2)
95	Ben Shutron	Kingston Frontenacs	OHL	67	10	29	39	134	14	6	0	2	2	14	Other
97	Oskar Osala	Mississauga IceDogs	OHL	68	17	26	43	86	-19	0	0	0	0	0	AHL [0.6, 0.8)
98	James DeLory	Oshawa Generals	OHL	67	6	26	32	136	-22	0	0	0	0	0	Not_In_NHL_AHL
103	Michael Caruso	Guelph Storm	OHL	66	1	15	16	85	21	15	1	2	3	24	AHL [0.0, 0.2)
112	Matt Beleskey	Belleville Bulls	OHL	61	20	20	40	119	0	6	1	2	3	10	NHL [0.2, 0.4)
113	Ben Wright	Lethbridge Hurricanes	WHL	55	5	13	18	79	-2	6	3	5	8	12	Not_In_NHL_AHL
117	Felix Schutz	Saint John Sea Dogs	QMJHL	65	21	31	52	61	-14	0	0	0	0	0	Not_In_NHL_AHL
118	Hugo Carpentier	Rouyn-Noranda Huskies	QMJHL	70	31	39	70	64	7	5	1	2	3	4	Not_In_NHL_AHL
121	Pierre-Luc Lessard	Gatineau Olympiques	QMJHL	55	7	25	32	38	7	17	2	10	12	12	Not_In_NHL_AHL
122	Luke Lynes	Brampton Battalion	OHL	65	34	28	62	61	10	11	2	6	8	10	Other
123	Bobby Hughes	Kingston Frontenacs	OHL	56	35	40	75	47	9	6	1	1	2	4	Not_In_NHL_AHL
127	Maxime Lacroix	Quebec Remparts	QMJHL	70	25	22	47	79	29	23	7	5	12	21	AHL [0.2, 0.4)
128	Andrew Bodnarchuk	Halifax Mooseheads	QMJHL	68	6	17	23	136	11	11	0	2	2	22	AHL [0.2, 0.4)
142	Maxime Frechette	Drummondville Voltigeurs	QMJHL	13	0	0	0	24	-2	0	0	0	0	0	Other
143	Ashton Rome	Kamloops Blazers	WHL	65	30	34	64	130	5	0	0	0	0	0	AHL [0.2, 0.4)
148	Olivier Magnan	Rouyn-Noranda Huskies	QMJHL	69	14	27	41	97	10	5	0	1	1	6	AHL [0.2, 0.4)
152	Jordan Bendfeld	Medicine Hat Tigers	WHL	65	2	10	12	92	19	13	0	4	4	27	Not_In_NHL_AHL
153	Stephane Chaput	Lewiston MAINEiacs	QMJHL	69	19	29	48	44	10	6	0	1	1	4	AHL [0.2, 0.4)
155	Peter Aston	Windsor Spitfires	OHL	65	16	36	52	31	16	7	2	1	3	2	Other
158	Levi Nelson	Swift Current Broncos	WHL	63	21	17	38	63	-17	4	0	0	0	4	AHL [0.2, 0.4)
159	Jesse Dudas	Prince George Cougars	WHL	24	0	11	11	27	2	0	0	0	0	0	Other
160	Andrew MacDonald	Moncton Wildcats	QMJHL	68	6	40	46	62	22	21	2	11	13	10	NHL [0.4, 0.6)
168	Dane Crowley	Swift Current Broncos	WHL	71	1	20	21	149	-15	4	0	2	2	23	Not_In_NHL_AHL
174	Eric Hunter	Prince George Cougars	WHL	71	40	32	72	125	11	5	3	1	4	10	Not_In_NHL_AHL
177	Mathieu Perreault	Acadie-Bathurst Titan	QMJHL	62	18	34	52	42	20	17	10	11	21	8	NHL [0.4, 0.6)
187	Devin DiDiomete	Sudbury Wolves	OHL	60	15	21	36	202	0	10	0	4	4	26	AHL [0.0, 0.2)
189	Derek Dorsett	Medicine Hat Tigers	WHL	68	25	23	48	279	14	13	8	4	12	53	NHL [0.2, 0.4)
194	Matt Marquardt	Moncton Wildcats	QMJHL	68	16	9	25	69	-4	20	5	3	8	12	AHL [0.0, 0.2)
197	Evan Fuller	Prince George Cougars	WHL	56	2	5	7	87	-6	5	0	0	0	7	Other
199	Cameron Cepek	Portland Winter Hawks	WHL	21	2	8	10	71	5	12	0	1	1	10	Other
207	Benjamin Breault	Baie-Comeau Drakkar	QMJHL	68	30	38	68	60	-20	4	0	2	2	4	Not_In_NHL_AHL
208	Kyell Henegan	Shawinigan Cataractes	QMJHL	68	3	4	7	200	11	10	0	1	1	38	Not_In_NHL_AHL
212	Logan Pyett	Regina Pats	WHL	71	10	35	45	89	-14	6	1	6	7	12	AHL [0.2, 0.4)
