Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
2	Eric Staal	Peterborough Petes	OHL	66	39	59	98	36	21	7	9	5	14	6	NHL [1.0, ...]
3	Nathan Horton	Oshawa Generals	OHL	54	33	35	68	111	6	13	9	6	15	10	NHL [0.6, 0.8)
8	Braydon Coburn	Portland Winter Hawks	WHL	53	3	16	19	147	-15	7	0	1	1	8	NHL [0.4, 0.6)
9	Dion Phaneuf	Red Deer Rebels	WHL	71	16	14	30	185	28	23	7	7	14	34	NHL [0.6, 0.8)
11	Jeff Carter	Soo Greyhounds	OHL	61	35	36	71	55	-5	4	0	2	2	2	NHL [0.6, 0.8)
13	Dustin Brown	Guelph Storm	OHL	58	34	42	76	89	-9	11	7	8	15	6	NHL [0.6, 0.8)
14	Brent Seabrook	Lethbridge Hurricanes	WHL	69	9	33	42	113	-14	0	0	0	0	0	NHL [0.2, 0.4)
16	Steve Bernier	Moncton Wildcats	QMJHL	71	49	52	101	90	33	2	1	0	1	2	NHL [0.4, 0.6)
18	Eric Fehr	Brandon Wheat Kings	WHL	70	26	29	55	76	17	17	4	8	12	26	NHL [0.2, 0.4)
19	Ryan Getzlaf	Calgary Hitmen	WHL	70	29	39	68	121	8	5	1	1	2	6	NHL [1.0, ...]
20	Brent Burns	Brampton Battalion	OHL	68	15	25	40	14	6	11	5	6	11	6	NHL [0.4, 0.6)
22	Marc-Antoine Pouliot	Rimouski Oceanic	QMJHL	65	32	41	73	100	-24	0	0	0	0	0	AHL [0.8, 1.0)
24	Mike Richards	Kitchener Rangers	OHL	67	37	50	87	99	35	21	9	18	27	24	NHL [1.0, ...]
25	Anthony Stewart	Kingston Frontenacs	OHL	68	32	38	70	47	-25	0	0	0	0	0	AHL [0.4, 0.6)
28	Corey Perry	London Knights	OHL	67	25	53	78	145	6	14	7	16	23	27	NHL [0.6, 0.8)
30	Shawn Belle	Tri-City Americans	WHL	66	7	14	21	77	-9	0	0	0	0	0	AHL [0.0, 0.2)
32	Ryan Stone	Brandon Wheat Kings	WHL	54	14	31	45	158	12	12	4	2	6	20	AHL [0.6, 0.8)
34	Mike Egener	Calgary Hitmen	WHL	40	2	8	10	210	-2	3	1	0	1	8	Other
37	Kevin Klein	Toronto St Michaels Majors	OHL	67	11	33	44	88	8	17	1	9	10	8	Other
38	Kamil Kreps	Brampton Battalion	OHL	53	19	42	61	12	19	11	3	5	8	4	NHL [0.2, 0.4)
40	Cory Urquhart	Montreal Rocket	QMJHL	71	35	43	78	28	5	7	9	6	15	6	AHL [0.4, 0.6)
42	Petr Vrana	Halifax Mooseheads	QMJHL	72	37	46	83	32	47	24	5	15	20	12	AHL [0.6, 0.8)
43	Josh Hennessy	Quebec Remparts	QMJHL	72	33	51	84	44	29	11	6	9	15	10	AHL [0.6, 0.8)
45	Patrice Bergeron	Acadie-Bathurst Titan	QMJHL	70	23	50	73	62	27	11	6	9	15	6	Other
46	Dan Fritsche	Sarnia Sting	OHL	61	32	39	71	79	6	5	2	2	4	4	NHL [0.2, 0.4)
49	Shea Weber	Kelowna Rockets	WHL	70	2	16	18	167	25	19	1	4	5	26	NHL [0.2, 0.4)
54	B.J. Crombeen	Barrie Colts	OHL	63	22	24	46	133	16	6	1	0	1	8	AHL [0.4, 0.6)
55	Stefan Meyer	Medicine Hat Tigers	WHL	70	36	16	52	90	-11	11	3	3	6	14	AHL [0.4, 0.6)
56	Patrick O'Sullivan	Mississauga IceDogs	OHL	56	40	41	81	57	-4	5	2	9	11	18	NHL [0.6, 0.8)
58	Jeremy Colliton	Prince Albert Raiders	WHL	58	20	28	48	76	-7	0	0	0	0	0	AHL [0.2, 0.4)
60	Marc-Andre Bernier	Halifax Mooseheads	QMJHL	67	29	29	58	43	5	21	9	8	17	8	Not_In_NHL_AHL
61	Maxim Lapierre	Montreal Rocket	QMJHL	72	22	21	43	55	13	7	1	3	4	6	NHL [0.2, 0.4)
63	Dave Liffiton	Plymouth Whalers	OHL	64	5	11	16	139	15	18	1	3	4	29	AHL [0.0, 0.2)
66	Masi Marjamaki	Red Deer Rebels	WHL	65	15	20	35	56	15	23	1	2	3	20	Not_In_NHL_AHL
68	Jean-Francois Jacques	Baie-Comeau Drakkar	QMJHL	67	12	21	33	123	12	12	4	2	6	13	AHL [0.6, 0.8)
69	Colin Fraser	Red Deer Rebels	WHL	69	15	37	52	192	24	22	7	6	13	40	AHL [0.4, 0.6)
70	Jonathan Filewich	Prince George Cougars	WHL	51	27	27	54	45	0	5	1	1	2	2	AHL [0.4, 0.6)
73	Daniel Carcillo	Sarnia Sting	OHL	68	29	37	66	157	11	6	0	4	4	14	NHL [0.4, 0.6)
74	Clarke MacArthur	Medicine Hat Tigers	WHL	70	23	52	75	104	-27	11	3	6	9	8	AHL [0.8, 1.0)
76	Richard Stehlik	Sherbrooke Castors	QMJHL	43	8	16	24	105	0	12	1	5	6	20	Other
77	Tyler Redenbach	Swift Current Broncos	WHL	60	17	51	68	35	-2	4	0	4	4	4	AHL [0.2, 0.4)
85	Alexandre Picard	Halifax Mooseheads	QMJHL	71	4	30	34	64	31	25	1	5	6	14	AHL [0.6, 0.8)
88	Zack Fitzgerald	Seattle Thunderbirds	WHL	64	8	14	22	232	11	15	0	4	4	33	AHL [0.0, 0.2)
89	Paul Brown	Kamloops Blazers	WHL	67	21	35	56	229	15	6	3	0	3	20	Other
94	Zack Stortini	Sudbury Wolves	OHL	62	13	16	29	222	-25	0	0	0	0	0	NHL [0.0, 0.2)
95	Rick Kozak	Brandon Wheat Kings	WHL	38	9	6	15	87	-2	16	6	5	11	51	Not_In_NHL_AHL
97	Ryan Donally	Windsor Spitfires	OHL	65	11	15	26	108	3	7	0	1	1	8	Not_In_NHL_AHL
102	Aaron Dawson	Peterborough Petes	OHL	65	1	8	9	76	-14	7	0	0	0	8	Not_In_NHL_AHL
104	Philippe Dupuis	Hull Olympiques	QMJHL	68	22	34	56	89	4	20	2	4	6	22	AHL [0.4, 0.6)
105	Martin Lojek	Brampton Battalion	OHL	65	1	13	14	47	17	11	0	1	1	6	AHL [0.0, 0.2)
110	Jim Sharrow	Halifax Mooseheads	QMJHL	70	2	14	16	54	0	25	2	4	6	24	AHL [0.4, 0.6)
111	Brandon Nolan	Oshawa Generals	OHL	68	36	52	88	57	1	13	10	7	17	4	AHL [1.0, ...]
