Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
1	Steven Stamkos	Sarnia Sting	OHL	61	58	47	105	88	18	9	11	0	11	20	NHL [1.0, ...]
2	Drew Doughty	Guelph Storm	OHL	58	13	37	50	68	-1	10	3	6	9	14	NHL [0.4, 0.6)
3	Zach Bogosian	Peterborough Petes	OHL	60	11	50	61	72	8	5	0	3	3	8	NHL [0.4, 0.6)
4	Alex Pietrangelo	Niagara IceDogs	OHL	60	13	40	53	94	29	6	5	4	9	4	NHL [0.4, 0.6)
5	Luke Schenn	Kelowna Rockets	WHL	57	7	21	28	100	5	7	2	2	4	6	NHL [0.2, 0.4)
8	Mikkel Boedker	Kitchener Rangers	OHL	62	29	44	73	14	6	20	9	26	35	2	NHL [0.4, 0.6)
9	Joshua Bailey	Windsor Spitfires	OHL	67	29	67	96	32	30	5	1	5	6	2	NHL [0.4, 0.6)
10	Cody Hodgson	Brampton Battalion	OHL	68	40	45	85	36	15	5	5	0	5	2	NHL [0.6, 0.8)
11	Kyle Beach	Everett Silvertips	WHL	60	27	33	60	222	-4	4	0	0	0	4	AHL [0.2, 0.4)
12	Tyler Myers	Kelowna Rockets	WHL	65	6	13	19	97	-16	7	1	2	3	12	NHL [0.2, 0.4)
13	Colten Teubert	Regina Pats	WHL	66	7	16	23	135	-8	6	1	4	5	6	AHL [0.0, 0.2)
14	Zach Boychuk	Lethbridge Hurricanes	WHL	61	33	39	72	80	26	18	13	8	21	6	AHL [0.8, 1.0)
19	Luca Sbisa	Lethbridge Hurricanes	WHL	62	6	27	33	63	19	19	3	12	15	17	NHL [0.2, 0.4)
20	Michael Del Zotto	Oshawa Generals	OHL	64	16	47	63	82	7	15	2	6	8	38	NHL [0.4, 0.6)
22	Jordan Eberle	Regina Pats	WHL	70	42	33	75	20	5	5	2	4	6	7	NHL [0.6, 0.8)
23	Tyler Cuma	Ottawa 67s	OHL	59	4	28	32	69	4	4	1	1	2	2	AHL [0.2, 0.4)
25	Greg Nemisz	Windsor Spitfires	OHL	68	34	33	67	52	28	5	2	1	3	8	AHL [0.0, 0.2)
26	Tyler Ennis	Medicine Hat Tigers	WHL	70	43	48	91	42	11	5	0	4	4	6	NHL [0.6, 0.8)
33	Phil McRae	London Knights	OHL	66	18	28	46	61	-5	4	0	0	0	7	AHL [0.4, 0.6)
35	Nicolas Deschamps	Chicoutimi Sagueneens	QMJHL	70	24	43	67	63	12	6	2	3	5	6	AHL [0.2, 0.4)
39	Eric O'Dell	Sudbury Wolves	OHL	26	14	18	32	19	10	0	0	0	0	0	AHL [0.8, 1.0)
41	Yann Sauve	Saint John Sea Dogs	QMJHL	69	6	15	21	92	1	14	1	2	3	23	Not_In_NHL_AHL
44	Luke Adam	St Johns Fog Devils	QMJHL	70	36	30	66	72	9	6	3	5	8	8	AHL [0.4, 0.6)
46	Colby Robak	Brandon Wheat Kings	WHL	71	6	24	30	25	-6	6	0	2	2	8	AHL [0.2, 0.4)
47	Maxime Sauve	Val dOr Foreurs	QMJHL	70	26	39	65	30	11	4	2	3	5	2	AHL [0.4, 0.6)
48	Mitch Wahl	Spokane Chiefs	WHL	67	20	53	73	63	33	21	6	8	14	20	AHL [0.2, 0.4)
49	Jared Staal	Sudbury Wolves	OHL	60	21	28	49	44	-11	0	0	0	0	0	AHL [0.0, 0.2)
