Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
1	Nico Hischier	Halifax Mooseheads	QMJHL	57	38	48	86	24	20	6	3	4	7	0	NHL [0.8, 1.0)
2	Nolan Patrick	Brandon Wheat Kings	WHL	33	20	26	46	36	9	0	0	0	0	0	NHL [0.2, 0.4)
6	Cody Glass	Portland Winterhawks	WHL	69	32	62	94	36	31	11	4	5	9	10	AHL [0.8, 1.0)
9	Michael Rasmussen	Tri-City Americans	WHL	50	32	23	55	50	-13	0	0	0	0	0	NHL [0.2, 0.4)
10	Owen Tippett	Mississauga Steelheads	OHL	60	44	31	75	36	24	20	10	9	19	14	NHL [0.2, 0.4)
11	Gabriel Vilardi	Windsor Spitfires	OHL	49	29	32	61	12	13	7	2	4	6	4	AHL [0.8, 1.0)
13	Nick Suzuki	Owen Sound Attack	OHL	65	45	51	96	10	51	17	8	15	23	10	NHL [0.6, 0.8)
14	Cal Foote	Kelowna Rockets	WHL	71	6	51	57	41	39	14	1	6	7	24	NHL [0.0, 0.2)
16	Juuso Valimaki	Tri-City Americans	WHL	60	19	42	61	34	2	4	0	1	1	8	AHL [0.4, 0.6)
20	Robert Thomas	London Knights	OHL	66	16	50	66	26	39	14	3	9	12	6	NHL [1.0, ...]
22	Kailer Yamamoto	Spokane Chiefs	WHL	65	42	57	99	46	14	0	0	0	0	0	NHL [0.4, 0.6)
23	Pierre-Olivier Joseph	Charlottetown Islanders	QMJHL	62	6	33	39	54	14	13	1	5	6	12	AHL [0.4, 0.6)
27	Morgan Frost	Soo Greyhounds	OHL	67	20	42	62	36	15	11	2	6	8	4	NHL [0.2, 0.4)
29	Henri Jokiharju	Portland Winterhawks	WHL	71	9	39	48	38	14	11	0	3	3	4	NHL [0.2, 0.4)
32	Conor Timmins	Soo Greyhounds	OHL	67	7	54	61	69	53	11	1	7	8	10	Other
33	Kole Lind	Kelowna Rockets	WHL	70	30	57	87	79	36	17	6	6	12	10	AHL [0.6, 0.8)
34	Nicolas Hague	Mississauga Steelheads	OHL	65	18	28	46	107	22	18	1	11	12	19	NHL [0.2, 0.4)
35	Isaac Ratcliffe	Guelph Storm	OHL	67	28	26	54	65	-2	0	0	0	0	0	AHL [0.4, 0.6)
39	Jason Robertson	Kingston Frontenacs	OHL	68	42	39	81	29	3	11	5	13	18	0	NHL [1.0, ...]
40	Aleksi Heponiemi	Swift Current Broncos	WHL	72	28	58	86	18	15	14	0	8	8	8	AHL [0.6, 0.8)
41	Jaret Anderson-Dolan	Spokane Chiefs	WHL	72	39	37	76	22	4	0	0	0	0	0	AHL [0.8, 1.0)
47	Alex Formenton	London Knights	OHL	65	16	18	34	50	21	14	0	0	0	6	NHL [0.4, 0.6)
50	Maxime Comtois	Victoriaville Tigres	QMJHL	64	22	29	51	88	-7	4	1	0	1	8	NHL [0.2, 0.4)
51	Zachary Lauzon	Rouyn-Noranda Huskies	QMJHL	63	3	18	21	90	42	11	1	1	2	0	Other
53	Jack Studnicka	Oshawa Generals	OHL	64	18	34	52	36	-6	11	5	10	15	6	AHL [0.8, 1.0)
55	Jonah Gadjovich	Owen Sound Attack	OHL	60	46	28	74	32	35	17	4	3	7	8	NHL [0.0, 0.2)
56	Josh Brook	Moose Jaw Warriors	WHL	69	8	32	40	61	17	7	2	5	7	10	Other
59	Eemeli Rasanen	Kingston Frontenacs	OHL	66	6	33	39	41	-7	11	1	4	5	4	Not_In_NHL_AHL
60	Antoine Morand	Acadie-Bathurst Titan	QMJHL	67	28	46	74	52	21	11	2	10	12	8	AHL [0.2, 0.4)
62	Jake Leschyshyn	Regina Pats	WHL	47	17	23	40	22	14	0	0	0	0	0	NHL [0.0, 0.2)
67	Morgan Geekie	Tri-City Americans	WHL	72	35	55	90	40	22	4	1	0	1	4	NHL [0.2, 0.4)
68	Scott Walford	Victoria Royals	WHL	60	6	24	30	36	-13	1	0	0	0	0	Other
69	MacKenzie Entwistle	Hamilton Bulldogs	OHL	54	12	13	25	25	0	7	1	1	2	0	NHL [0.2, 0.4)
73	Stelio Mattheos	Brandon Wheat Kings	WHL	69	26	35	61	59	-16	4	1	4	5	8	AHL [0.0, 0.2)
75	Nate Schnarr	Guelph Storm	OHL	54	18	18	36	27	-19	0	0	0	0	0	AHL [0.4, 0.6)
79	Lane Zablocki	Red Deer Rebels	WHL	64	28	26	54	97	13	6	6	2	8	20	Other
83	Zachary Gallant	Peterborough Petes	OHL	60	21	26	47	74	4	12	0	8	8	11	AHL [0.2, 0.4)
84	Dmitri Samorukov	Guelph Storm	OHL	67	4	16	20	41	-24	0	0	0	0	0	AHL [0.2, 0.4)
85	Ivan Lodnia	Erie Otters	OHL	66	24	32	56	24	21	22	2	0	2	8	AHL [0.2, 0.4)
87	Cale Fleury	Kootenay Ice	WHL	70	11	27	38	67	-61	0	0	0	0	0	AHL [0.4, 0.6)
94	Nick Henry	Regina Pats	WHL	72	35	46	81	49	32	22	4	8	12	12	AHL [0.2, 0.4)
97	Mason Shaw	Medicine Hat Tigers	WHL	71	27	67	94	57	12	11	0	12	12	16	AHL [0.8, 1.0)
98	Nikita Popugaev	Prince George Cougars	WHL	71	29	40	69	29	12	6	1	2	3	2	Other
101	Liam Hawel	Guelph Storm	OHL	66	9	19	28	40	-3	0	0	0	0	0	Not_In_NHL_AHL
106	Matthew Strome	Hamilton Bulldogs	OHL	66	34	28	62	62	9	7	1	7	8	4	AHL [0.2, 0.4)
107	Maksim Sushko	Owen Sound Attack	OHL	54	18	14	32	24	10	17	3	8	11	10	AHL [0.2, 0.4)
108	Noel Hoefenmayer	Ottawa 67s	OHL	62	14	26	40	36	-13	6	2	5	7	6	Not_In_NHL_AHL
109	Adam Ruzicka	Sarnia Sting	OHL	61	25	21	46	30	-15	4	0	2	2	0	NHL [0.2, 0.4)
118	Markus Phillips	Owen Sound Attack	OHL	66	13	30	43	44	41	17	0	5	5	10	AHL [0.0, 0.2)
121	Drake Batherson	Cape Breton Screaming Eagles	QMJHL	61	22	36	58	70	16	11	7	5	12	14	NHL [0.8, 1.0)
122	Kyle Olson	Tri-City Americans	WHL	72	20	37	57	52	25	4	1	0	1	4	AHL [0.2, 0.4)
123	Brandon Crawley	London Knights	OHL	61	7	20	27	114	52	14	0	4	4	10	Other
128	Tyler Steenbergen	Swift Current Broncos	WHL	72	51	39	90	22	26	14	8	6	14	8	Not_In_NHL_AHL
130	David Noel	Val dOr Foreurs	QMJHL	65	11	21	32	29	-16	10	2	6	8	2	Other
131	Cole Fraser	Peterborough Petes	OHL	61	6	13	19	82	4	12	0	0	0	20	Not_In_NHL_AHL
136	Leon Gawanke	Cape Breton Screaming Eagles	QMJHL	54	8	24	32	26	11	11	1	3	4	4	AHL [0.4, 0.6)
138	Drake Rymsha	Sarnia Sting	OHL	65	35	27	62	80	-4	4	1	2	3	17	AHL [0.0, 0.2)
140	Zach Fischer	Medicine Hat Tigers	WHL	62	34	29	63	145	10	11	7	3	10	24	Other
141	Fedor Gordeev	Flint Firebirds	OHL	64	4	10	14	45	-3	5	0	1	1	2	Not_In_NHL_AHL
143	Marian Studenic	Hamilton Bulldogs	OHL	58	18	12	30	23	-11	7	2	2	4	4	NHL [0.0, 0.2)
146	Kirill Maksimov	Niagara IceDogs	OHL	66	21	17	38	41	-1	4	4	0	4	6	Not_In_NHL_AHL
147	Jacob Golden	London Knights	OHL	38	0	2	2	0	3	0	0	0	0	0	Other
149	Jarret Tyszka	Seattle Thunderbirds	WHL	54	6	19	25	28	5	20	2	5	7	6	Other
163	Brett Davis	Kootenay Ice	WHL	59	18	15	33	18	-46	0	0	0	0	0	Other
164	Reilly Webb	Hamilton Bulldogs	OHL	12	0	1	1	5	3	7	0	0	0	7	Not_In_NHL_AHL
165	Arnaud Durandeau	Halifax Mooseheads	QMJHL	64	15	26	41	70	-6	6	2	3	5	6	AHL [0.4, 0.6)
166	Brendan De Jong	Portland Winterhawks	WHL	72	8	15	23	72	5	11	1	2	3	8	Other
171	D'Artagnan Joly	Baie-Comeau Drakkar	QMJHL	66	16	32	48	35	-10	4	1	0	1	9	Other
172	Ryan McGregor	Sarnia Sting	OHL	65	14	13	27	16	-1	4	1	1	2	0	Other
173	Cedric Pare	Saint John Sea Dogs	QMJHL	64	5	11	16	26	-6	18	1	2	3	0	AHL [0.2, 0.4)
175	Trenton Bourque	Owen Sound Attack	OHL	67	0	11	11	34	21	17	0	2	2	10	Other
176	Pavel Koltygin	Drummondville Voltigeurs	QMJHL	65	22	25	47	44	-28	4	1	0	1	6	Not_In_NHL_AHL
181	Petrus Palmu	Owen Sound Attack	OHL	62	40	58	98	34	31	17	13	8	21	6	Not_In_NHL_AHL
185	Sasha Chmelevski	Ottawa 67s	OHL	58	21	22	43	20	-24	6	2	2	4	2	AHL [0.6, 0.8)
188	Matt Brassard	Oshawa Generals	OHL	62	12	20	32	81	0	11	1	3	4	20	Not_In_NHL_AHL
189	Ben Jones	Niagara IceDogs	OHL	63	13	37	50	56	-9	4	0	1	1	6	AHL [0.6, 0.8)
191	Jocktan Chainey	Halifax Mooseheads	QMJHL	55	4	20	24	44	-25	6	0	3	3	0	Other
193	Brady Gilmour	Saginaw Spirit	OHL	65	26	21	47	4	-8	0	0	0	0	0	Other
198	Skyler McKenzie	Portland Winterhawks	WHL	72	42	42	84	60	29	9	4	2	6	0	Not_In_NHL_AHL
204	Daniel Bukac	Brandon Wheat Kings	WHL	72	2	15	17	38	0	2	0	0	0	0	Other
212	Ivan Chekhovich	Baie-Comeau Drakkar	QMJHL	60	26	33	59	14	-3	4	1	2	3	2	Not_In_NHL_AHL
216	Jacob Paquette	Kingston Frontenacs	OHL	59	1	9	10	36	-18	11	0	3	3	11	Other
