Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
3	Pierre-Luc Dubois	Cape Breton Screaming Eagles	QMJHL	62	42	57	99	112	40	12	7	5	12	14	NHL [0.4, 0.6)
5	Olli Juolevi	London Knights	OHL	57	9	33	42	16	38	18	3	11	14	4	NHL [0.0, 0.2)
6	Matthew Tkachuk	London Knights	OHL	57	30	77	107	80	45	18	20	20	40	42	NHL [0.6, 0.8)
8	Alexander Nylander	Mississauga Steelheads	OHL	57	28	47	75	18	8	6	6	6	12	2	Other
9	Mikhail Sergachev	Windsor Spitfires	OHL	67	17	40	57	56	15	5	2	3	5	8	NHL [0.4, 0.6)
11	Logan Brown	Windsor Spitfires	OHL	59	21	53	74	40	24	5	0	6	6	6	Other
12	Michael McLeod	Mississauga Steelheads	OHL	57	21	40	61	71	10	7	3	6	9	6	NHL [0.2, 0.4)
13	Jake Bean	Calgary Hitmen	WHL	68	24	40	64	28	8	5	0	2	2	2	NHL [0.2, 0.4)
16	Jakob Chychrun	Sarnia Sting	OHL	62	11	38	49	51	23	7	2	6	8	8	NHL [0.6, 0.8)
18	Logan Stanley	Windsor Spitfires	OHL	64	5	12	17	103	7	5	1	0	1	16	NHL [0.0, 0.2)
21	Julien Gauthier	Val dOr Foreurs	QMJHL	54	41	16	57	24	24	6	2	3	5	8	NHL [0.2, 0.4)
24	Max Jones	London Knights	OHL	63	28	24	52	106	30	6	1	1	2	23	NHL [0.2, 0.4)
27	Brett Howden	Moose Jaw Warriors	WHL	68	24	40	64	61	-7	10	4	11	15	4	NHL [0.0, 0.2)
28	Lucas Johansen	Kelowna Rockets	WHL	69	10	39	49	20	11	18	2	6	8	8	Other
30	Sam Steel	Regina Pats	WHL	72	23	47	70	24	-8	12	6	10	16	4	NHL [0.2, 0.4)
32	Tyler Benson	Vancouver Giants	WHL	30	9	19	28	46	0	0	0	0	0	0	AHL [1.0, ...]
35	Jordan Kyrou	Sarnia Sting	OHL	65	17	34	51	14	13	7	1	6	7	2	NHL [0.6, 0.8)
36	Pascal Laberge	Victoriaville Tigres	QMJHL	56	23	45	68	64	-3	5	3	2	5	6	Other
37	Libor Hajek	Saskatoon Blades	WHL	69	3	23	26	76	-19	0	0	0	0	0	NHL [0.0, 0.2)
38	Adam Mascherin	Kitchener Rangers	OHL	65	35	46	81	16	19	9	6	6	12	0	AHL [0.8, 1.0)
39	Alex DeBrincat	Erie Otters	OHL	60	51	50	101	28	18	13	8	11	19	13	NHL [1.0, ...]
41	Nathan Bastian	Mississauga Steelheads	OHL	64	19	40	59	50	-3	5	0	4	4	0	NHL [0.2, 0.4)
44	Boris Katchouk	Soo Greyhounds	OHL	63	24	27	51	61	7	12	6	4	10	4	AHL [1.0, ...]
46	Givani Smith	Guelph Storm	OHL	65	23	19	42	146	-27	0	0	0	0	0	AHL [0.6, 0.8)
47	Samuel Girard	Shawinigan Cataractes	QMJHL	67	10	64	74	10	24	21	2	20	22	4	NHL [0.6, 0.8)
51	Kale Clague	Brandon Wheat Kings	WHL	71	6	37	43	54	25	21	6	9	15	8	AHL [0.4, 0.6)
56	Dillon Dube	Kelowna Rockets	WHL	65	26	40	66	50	8	18	2	5	7	16	NHL [0.4, 0.6)
58	Taylor Raddysh	Erie Otters	OHL	67	24	49	73	18	19	12	4	6	10	2	AHL [1.0, ...]
63	Markus Niemelainen	Saginaw Spirit	OHL	65	1	26	27	28	-23	4	0	0	0	0	AHL [0.2, 0.4)
65	Vitaly Abramov	Gatineau Olympiques	QMJHL	63	38	55	93	36	36	10	7	6	13	8	AHL [0.8, 1.0)
68	Cam Dineen	North Bay Battalion	OHL	68	13	46	59	18	18	11	0	8	8	0	AHL [0.4, 0.6)
69	Cliff Pu	London Knights	OHL	63	12	19	31	24	12	18	8	5	13	6	Other
70	Will Bitten	Flint Firebirds	OHL	67	30	35	65	32	-29	0	0	0	0	0	AHL [0.6, 0.8)
71	Josh Anderson	Prince George Cougars	WHL	39	1	5	6	86	-4	0	0	0	0	0	Other
74	Hudson Elynuik	Spokane Chiefs	WHL	56	19	25	44	46	9	6	3	0	3	4	AHL [0.2, 0.4)
77	Connor Hall	Kitchener Rangers	OHL	39	2	7	9	49	7	9	1	4	5	19	Other
78	Frederic Allard	Chicoutimi Sagueneens	QMJHL	64	14	45	59	34	-7	6	1	2	3	0	AHL [0.6, 0.8)
79	Luke Green	Saint John Sea Dogs	QMJHL	61	10	25	35	29	18	13	1	2	3	14	Other
80	Brandon Gignac	Shawinigan Cataractes	QMJHL	67	24	37	61	41	9	20	7	9	16	8	Not_In_NHL_AHL
81	Sean Day	Mississauga Steelheads	OHL	57	6	16	22	27	-13	7	1	2	3	4	AHL [0.4, 0.6)
82	Carsen Twarynski	Calgary Hitmen	WHL	67	20	25	45	42	21	5	0	1	1	0	Other
85	Josh Mahura	Red Deer Rebels	WHL	2	0	1	1	0	1	17	2	2	4	6	AHL [0.6, 0.8)
87	Garrett Pilon	Kamloops Blazers	WHL	71	15	32	47	24	1	7	2	1	3	0	Other
92	Adam Brooks	Regina Pats	WHL	72	38	82	120	30	41	12	7	16	23	6	Other
93	Jack Kopacka	Soo Greyhounds	OHL	67	20	23	43	12	-5	12	2	2	4	2	Other
94	Jonathan Ang	Peterborough Petes	OHL	68	21	28	49	44	-5	7	3	6	9	2	Other
100	Victor Mete	London Knights	OHL	68	8	30	38	18	53	18	4	7	11	0	NHL [0.0, 0.2)
101	Keaton Middleton	Saginaw Spirit	OHL	66	1	6	7	66	-24	4	0	1	1	0	AHL [0.2, 0.4)
109	Connor Bunnaman	Kitchener Rangers	OHL	68	16	22	38	14	18	9	2	2	4	0	Other
111	Noah Gregor	Moose Jaw Warriors	WHL	72	28	45	73	33	-2	10	3	6	9	4	NHL [0.2, 0.4)
113	Nathan Noel	Saint John Sea Dogs	QMJHL	61	21	36	57	94	4	16	3	10	13	30	Other
114	Riley Stillman	Oshawa Generals	OHL	62	6	15	21	69	-9	5	0	0	0	2	NHL [0.0, 0.2)
115	Alex Dostie	Gatineau Olympiques	QMJHL	54	25	48	73	10	31	10	6	4	10	4	AHL [0.2, 0.4)
119	Tanner Kaspick	Brandon Wheat Kings	WHL	53	13	18	31	37	15	21	5	5	10	38	AHL [0.2, 0.4)
122	Vladimir Bobylev	Victoria Royals	WHL	72	28	39	67	60	45	5	0	7	7	2	Not_In_NHL_AHL
127	Jordan Stallard	Calgary Hitmen	WHL	68	21	28	49	20	0	5	2	0	2	5	Other
130	Vojtech Budik	Prince Albert Raiders	WHL	70	3	13	16	20	0	5	1	0	1	2	Not_In_NHL_AHL
133	Max Lajoie	Swift Current Broncos	WHL	62	8	29	37	28	-21	0	0	0	0	0	AHL [0.6, 0.8)
137	Jordan Sambrook	Erie Otters	OHL	67	9	18	27	40	11	13	0	4	4	14	Other
140	Cole Candella	Hamilton Bulldogs	OHL	37	4	16	20	12	-12	0	0	0	0	0	Other
141	Tim Gettinger	Soo Greyhounds	OHL	60	17	22	39	32	-4	12	1	3	4	0	AHL [0.8, 1.0)
144	Conner Bleackley	Red Deer Rebels	WHL	55	13	33	46	49	13	0	0	0	0	0	Not_In_NHL_AHL
145	Beck Malenstyn	Calgary Hitmen	WHL	70	8	17	25	47	0	5	2	1	3	2	Other
146	Nicholas Caamano	Flint Firebirds	OHL	64	20	17	37	40	-22	0	0	0	0	0	NHL [0.0, 0.2)
148	Christopher Paquette	Niagara IceDogs	OHL	57	5	11	16	18	-6	15	2	2	4	2	Other
150	Manuel Wiederer	Moncton Wildcats	QMJHL	54	29	35	64	41	23	17	12	4	16	12	Other
152	Jack Walker	Victoria Royals	WHL	72	36	48	84	85	30	13	8	8	16	20	Not_In_NHL_AHL
