Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
1	Sidney Crosby	Rimouski Oceanic	QMJHL	62	66	102	168	84	78	13	14	17	31	16	NHL [1.0, ...]
2	Bobby Ryan	Owen Sound Attack	OHL	62	37	52	89	51	30	8	2	7	9	8	NHL [0.6, 0.8)
4	Benoit Pouliot	Sudbury Wolves	OHL	67	29	38	67	102	7	12	6	8	14	20	NHL [0.4, 0.6)
6	Gilbert Brule	Vancouver Giants	WHL	70	39	48	87	169	4	6	1	3	4	8	NHL [0.4, 0.6)
8	Devin Setoguchi	Saskatoon Blades	WHL	69	33	31	64	34	20	4	0	1	1	0	NHL [0.4, 0.6)
10	Luc Bourdon	Val dOr Foreurs	QMJHL	70	13	19	32	117	-39	0	0	0	0	0	Other
12	Marc Staal	Sudbury Wolves	OHL	65	6	20	26	53	22	12	0	4	4	15	NHL [0.2, 0.4)
13	Marek Zagrapan	Chicoutimi Sagueneens	QMJHL	59	32	50	82	50	6	17	11	6	17	28	Not_In_NHL_AHL
15	Ryan O'Marra	Erie Otters	OHL	64	25	38	63	60	-4	6	4	1	5	0	AHL [0.2, 0.4)
16	Alex Bourret	Lewiston MAINEiacs	QMJHL	65	31	55	86	172	27	8	6	8	14	25	Not_In_NHL_AHL
18	Ryan Parent	Guelph Storm	OHL	66	2	17	19	36	5	4	0	1	1	4	NHL [0.0, 0.2)
19	Jakub Kindl	Kitchener Rangers	OHL	62	3	11	14	92	12	12	0	0	0	22	AHL [0.4, 0.6)
20	Kenndal McArdle	Moose Jaw Warriors	WHL	70	37	37	74	122	-4	5	1	0	1	16	Other
22	Matt Lashoff	Kitchener Rangers	OHL	44	4	18	22	44	16	13	0	3	3	18	AHL [0.2, 0.4)
26	Matt Pelech	Sarnia Sting	OHL	31	1	5	6	74	-4	0	0	0	0	0	AHL [0.2, 0.4)
29	Steve Downie	Windsor Spitfires	OHL	61	21	52	73	179	1	11	4	5	9	49	NHL [0.4, 0.6)
31	Brendan Mikkelson	Portland Winter Hawks	WHL	70	5	10	15	60	-10	7	1	2	3	0	AHL [0.4, 0.6)
33	James Neal	Plymouth Whalers	OHL	67	18	26	44	32	-5	4	1	1	2	6	NHL [0.6, 0.8)
35	Marc-Edouard Vlasic	Quebec Remparts	QMJHL	70	5	25	30	33	39	13	2	7	9	2	NHL [0.2, 0.4)
37	Scott Jackson	Seattle Thunderbirds	WHL	72	6	16	22	46	26	12	1	2	3	4	AHL [0.2, 0.4)
40	Mike Sauer	Portland Winter Hawks	WHL	32	2	11	13	10	6	0	0	0	0	0	AHL [0.2, 0.4)
43	Mike Blunden	Erie Otters	OHL	61	22	19	41	75	-9	2	0	0	0	2	NHL [0.0, 0.2)
45	Guillaume Latendresse	Drummondville Voltigeurs	QMJHL	65	29	49	78	76	7	6	6	4	10	7	NHL [0.4, 0.6)
46	Dustin Kohn	Calgary Hitmen	WHL	71	8	35	43	61	18	12	0	4	4	6	AHL [0.2, 0.4)
49	Chad Denny	Lewiston MAINEiacs	QMJHL	53	8	18	26	98	9	8	2	2	4	14	Not_In_NHL_AHL
50	Dany Roussin	Rimouski Oceanic	QMJHL	69	54	62	116	66	61	13	11	9	20	8	Not_In_NHL_AHL
52	Chris Durand	Seattle Thunderbirds	WHL	66	18	34	52	76	30	12	0	1	1	14	Not_In_NHL_AHL
55	Adam McQuaid	Sudbury Wolves	OHL	66	3	16	19	98	31	8	0	2	2	10	AHL [0.2, 0.4)
56	Marc-Andre Cliche	Lewiston MAINEiacs	QMJHL	19	4	4	8	8	1	0	0	0	0	0	AHL [0.2, 0.4)
57	Matt Kassian	Kamloops Blazers	WHL	69	3	3	6	172	-11	6	1	2	3	14	AHL [0.0, 0.2)
62	Kristopher Letang	Val dOr Foreurs	QMJHL	70	13	19	32	79	-16	0	0	0	0	0	NHL [0.2, 0.4)
64	Joe Barnes	Saskatoon Blades	WHL	72	30	32	62	73	11	4	0	1	1	0	Other
66	Brodie Dupont	Calgary Hitmen	WHL	70	14	11	25	111	-4	12	2	8	10	21	AHL [0.4, 0.6)
67	Kris Russell	Medicine Hat Tigers	WHL	72	26	35	61	37	29	10	2	1	3	4	NHL [0.2, 0.4)
68	Evan Brophey	Belleville Bulls	OHL	63	28	44	72	55	4	5	2	1	3	2	AHL [0.2, 0.4)
69	Gord Baldwin	Medicine Hat Tigers	WHL	66	3	8	11	73	13	13	2	2	4	8	AHL [0.2, 0.4)
71	Richard Clune	Sarnia Sting	OHL	67	21	13	34	103	0	0	0	0	0	0	AHL [0.2, 0.4)
73	Radek Smolenak	Kingston Frontenacs	OHL	67	32	28	60	58	-15	0	0	0	0	0	AHL [0.4, 0.6)
74	Dan Ryder	Peterborough Petes	OHL	68	29	53	82	55	27	14	9	3	12	10	Other
77	Dalyn Flatt	Saskatoon Blades	WHL	72	1	18	19	237	36	4	0	0	0	12	Other
79	Cody Franson	Vancouver Giants	WHL	64	2	11	13	44	-10	4	0	1	1	0	NHL [0.2, 0.4)
81	Danny Syvret	London Knights	OHL	62	23	46	69	33	69	18	5	15	20	4	NHL [0.0, 0.2)
82	Phil Oreskovic	Brampton Battalion	OHL	61	1	6	7	147	12	6	0	0	0	4	AHL [0.0, 0.2)
