Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
84	Mark Fraser	Kitchener Rangers	OHL	58	0	8	8	96	3	15	0	3	3	26	NHL [0.0, 0.2)
87	Marc-Andre Gragnani	Prince Edward Island Rocket	QMJHL	68	10	29	39	48	-16	0	0	0	0	0	AHL [0.6, 0.8)
89	Chris Lawrence	Soo Greyhounds	OHL	68	11	40	51	57	16	7	3	3	6	4	AHL [0.0, 0.2)
90	Dan Collins	Plymouth Whalers	OHL	68	25	21	46	60	-2	4	0	0	0	6	Not_In_NHL_AHL
91	Oskars Bartulis	Moncton Wildcats	QMJHL	62	5	19	24	55	7	12	1	1	2	16	NHL [0.0, 0.2)
93	Olivier Legault	Lewiston MAINEiacs	QMJHL	55	1	3	4	131	-2	7	0	0	0	8	Other
95	Cody Bass	Mississauga IceDogs	OHL	66	11	17	28	103	5	5	1	1	2	8	AHL [0.0, 0.2)
99	Patrick Davis	Kitchener Rangers	OHL	59	20	30	50	41	2	14	3	4	7	20	AHL [0.4, 0.6)
102	Blair Jones	Moose Jaw Warriors	WHL	68	14	36	50	78	10	5	2	5	7	8	AHL [0.4, 0.6)
107	Tom Pyatt	Saginaw Spirit	OHL	57	18	30	48	14	-5	0	0	0	0	0	AHL [0.8, 1.0)
110	Kyle Bailey	Portland Winter Hawks	WHL	67	11	22	33	116	1	7	0	2	2	11	Not_In_NHL_AHL
111	J.D. Watt	Vancouver Giants	WHL	66	6	7	13	213	-16	6	0	1	1	12	AHL [0.0, 0.2)
116	Jordan Smotherman	Quebec Remparts	QMJHL	64	40	26	66	108	28	13	5	2	7	26	AHL [0.4, 0.6)
118	Patrick McNeill	Saginaw Spirit	OHL	66	7	26	33	31	-29	0	0	0	0	0	AHL [0.4, 0.6)
120	Vyacheslav Trukhno	Prince Edward Island Rocket	QMJHL	64	25	34	59	57	-2	0	0	0	0	0	AHL [0.2, 0.4)
124	Raymond Macias	Kamloops Blazers	WHL	69	12	35	47	18	-15	2	0	0	0	0	AHL [0.2, 0.4)
127	Bobby Bolt	Kingston Frontenacs	OHL	67	11	14	25	92	-2	0	0	0	0	0	Not_In_NHL_AHL
130	Mathieu Aubin	Lewiston MAINEiacs	QMJHL	49	19	26	45	24	10	8	3	6	9	6	Not_In_NHL_AHL
132	Darren Helm	Medicine Hat Tigers	WHL	72	10	14	24	27	6	13	2	6	8	10	NHL [0.2, 0.4)
133	Stanislav Lascek	Chicoutimi Sagueneens	QMJHL	53	18	72	90	42	0	17	4	18	22	26	Not_In_NHL_AHL
144	Masi Marjamaki	Moose Jaw Warriors	WHL	51	14	32	46	49	-6	5	1	2	3	5	Not_In_NHL_AHL
147	Trevor Koverko	Owen Sound Attack	OHL	66	1	12	13	83	17	8	0	2	2	2	Other
149	Derek Joslin	Ottawa 67s	OHL	68	6	24	30	44	27	21	0	3	3	24	AHL [0.4, 0.6)
150	Cal O'Reilly	Windsor Spitfires	OHL	68	23	50	73	16	9	11	4	5	9	4	AHL [1.0, ...]
151	Jeff May	Prince Albert Raiders	WHL	67	3	19	22	66	2	17	2	3	5	13	AHL [0.0, 0.2)
152	Josh Beaulieu	London Knights	OHL	65	9	13	22	159	32	13	2	3	5	13	AHL [0.0, 0.2)
154	Wacey Rabbit	Saskatoon Blades	WHL	70	22	45	67	70	23	4	1	2	3	0	AHL [0.2, 0.4)
156	Ryan Reaves	Brandon Wheat Kings	WHL	64	7	9	16	79	-5	23	2	4	6	43	AHL [0.0, 0.2)
163	Marek Kvapil	Saginaw Spirit	OHL	53	25	37	62	14	-3	0	0	0	0	0	Not_In_NHL_AHL
166	Jason Lynch	Spokane Chiefs	WHL	67	1	4	5	78	-13	0	0	0	0	0	Other
169	Mike Gauthier	Prince Albert Raiders	WHL	40	2	1	3	93	-10	13	0	0	0	18	Not_In_NHL_AHL
170	Sean Zimmerman	Spokane Chiefs	WHL	71	2	14	16	36	4	0	0	0	0	0	AHL [0.0, 0.2)
171	Nick Drazenovic	Prince George Cougars	WHL	72	18	38	56	24	-1	0	0	0	0	0	AHL [0.6, 0.8)
174	John Flatters	Red Deer Rebels	WHL	53	0	2	2	117	-13	7	0	0	0	2	Not_In_NHL_AHL
177	Derek Reinhart	Regina Pats	WHL	67	2	9	11	198	-22	0	0	0	0	0	Other
179	Brett Sutter	Kootenay Ice	WHL	70	8	11	19	70	0	16	1	2	3	16	AHL [0.2, 0.4)
183	Will Colbert	Ottawa 67s	OHL	68	6	26	32	65	23	21	3	8	11	8	Not_In_NHL_AHL
184	Ryan McGinnis	Plymouth Whalers	OHL	66	0	6	6	93	2	4	0	1	1	2	AHL [0.0, 0.2)
190	Matt D'Agostini	Guelph Storm	OHL	59	24	22	46	29	0	4	0	2	2	8	NHL [0.0, 0.2)
192	Nicolas Blanchard	Chicoutimi Sagueneens	QMJHL	69	13	26	39	31	-4	17	2	2	4	10	AHL [0.2, 0.4)
194	Jean-Philipp Paquet	Shawinigan Cataractes	QMJHL	70	5	20	25	96	0	4	1	2	3	2	Not_In_NHL_AHL
196	Nick Tuzzolino	Sarnia Sting	OHL	67	2	20	22	128	-29	0	0	0	0	0	Not_In_NHL_AHL
199	Riley Emmerson	Tri-City Americans	WHL	35	0	0	0	61	-4	0	0	0	0	0	Not_In_NHL_AHL
201	Trevor Hendrikx	Peterborough Petes	OHL	68	15	33	48	100	-6	14	5	7	12	14	Not_In_NHL_AHL
203	Adam Hobson	Spokane Chiefs	WHL	72	10	27	37	47	-7	0	0	0	0	0	AHL [0.0, 0.2)
207	Myles Stoesz	Spokane Chiefs	WHL	67	1	8	9	238	1	0	0	0	0	0	AHL [0.0, 0.2)
210	Luciano Aquino	Brampton Battalion	OHL	65	25	46	71	80	10	6	5	4	9	9	Not_In_NHL_AHL
211	Ryan Russell	Kootenay Ice	WHL	66	32	21	53	18	27	16	6	7	13	12	AHL [0.4, 0.6)
213	Scott Todd	Windsor Spitfires	OHL	54	0	3	3	155	-6	10	0	2	2	25	Not_In_NHL_AHL
214	Bretton Stamler	Seattle Thunderbirds	WHL	72	4	9	13	106	4	1	0	0	0	0	Not_In_NHL_AHL
221	Myles Rumsey	Swift Current Broncos	WHL	57	2	4	6	102	-14	0	0	0	0	0	Other
222	Kyle Cumiskey	Kelowna Rockets	WHL	72	4	36	40	47	4	24	0	13	13	12	NHL [0.2, 0.4)
226	John Seymour	Brampton Battalion	OHL	63	1	4	5	64	0	6	0	0	0	0	Other
