Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
1	Nathan MacKinnon	Halifax Mooseheads	QMJHL	44	32	43	75	45	40	17	11	22	33	12	NHL [1.0, ...]
3	Jonathan Drouin	Halifax Mooseheads	QMJHL	49	41	64	105	32	48	17	12	23	35	14	NHL [0.6, 0.8)
4	Seth Jones	Portland Winterhawks	WHL	61	14	42	56	33	46	21	5	10	15	4	NHL [0.6, 0.8)
6	Sean Monahan	Ottawa 67s	OHL	58	31	47	78	24	-18	0	0	0	0	0	NHL [0.8, 1.0)
7	Darnell Nurse	Soo Greyhounds	OHL	68	12	29	41	116	15	6	1	3	4	6	NHL [0.2, 0.4)
9	Bo Horvat	London Knights	OHL	67	33	28	61	29	3	21	16	7	23	10	NHL [0.6, 0.8)
11	Samuel Morin	Rimouski Oceanic	QMJHL	46	4	12	16	117	10	6	1	6	7	16	Other
12	Max Domi	London Knights	OHL	64	39	48	87	71	33	21	11	21	32	26	NHL [0.4, 0.6)
13	Josh Morrissey	Prince Albert Raiders	WHL	70	15	32	47	91	14	4	0	1	1	9	NHL [0.2, 0.4)
15	Ryan Pulock	Brandon Wheat Kings	WHL	61	14	31	45	22	-7	0	0	0	0	0	NHL [0.4, 0.6)
16	Nikita Zadorov	London Knights	OHL	63	6	19	25	54	33	20	2	4	6	36	NHL [0.2, 0.4)
17	Curtis Lazar	Edmonton Oil Kings	WHL	72	38	23	61	47	25	22	9	2	11	20	NHL [0.0, 0.2)
18	Mirco Mueller	Everett Silvertips	WHL	63	6	25	31	57	-10	6	0	1	1	6	NHL [0.0, 0.2)
19	Kerby Rychel	Windsor Spitfires	OHL	68	40	47	87	94	-21	0	0	0	0	0	AHL [0.4, 0.6)
20	Anthony Mantha	Val dOr Foreurs	QMJHL	67	50	39	89	71	21	9	5	7	12	13	NHL [0.6, 0.8)
21	Frederik Gauthier	Rimouski Oceanic	QMJHL	62	22	38	60	26	22	6	0	2	2	2	AHL [0.2, 0.4)
22	Emile Poirier	Gatineau Olympiques	QMJHL	65	32	38	70	101	0	10	6	4	10	14	AHL [0.4, 0.6)
24	Hunter Shinkaruk	Medicine Hat Tigers	WHL	64	37	49	86	44	-13	8	3	3	6	8	AHL [0.4, 0.6)
26	Shea Theodore	Seattle Thunderbirds	WHL	71	19	31	50	32	-24	7	0	2	2	4	NHL [0.4, 0.6)
28	Morgan Klimchuk	Regina Pats	WHL	72	36	40	76	20	-1	0	0	0	0	0	AHL [0.6, 0.8)
29	Jason Dickinson	Guelph Storm	OHL	66	18	29	47	31	19	5	1	1	2	0	AHL [0.6, 0.8)
30	Ryan Hartman	Plymouth Whalers	OHL	56	23	37	60	120	29	9	4	2	6	16	NHL [0.4, 0.6)
32	Chris Bigras	Owen Sound Attack	OHL	68	8	30	38	34	35	12	0	2	2	8	AHL [0.4, 0.6)
33	Adam Erne	Quebec Remparts	QMJHL	68	28	44	72	67	11	11	5	5	10	19	AHL [0.6, 0.8)
37	Valentin Zykov	Baie-Comeau Drakkar	QMJHL	67	40	35	75	60	29	19	10	9	19	18	AHL [0.8, 1.0)
39	Laurent Dauphin	Chicoutimi Sagueneens	QMJHL	62	25	32	57	50	0	6	2	2	4	8	AHL [0.4, 0.6)
40	Remi Elie	London Knights	OHL	65	7	10	17	34	7	21	4	4	8	8	NHL [0.0, 0.2)
43	Nicolas Petan	Portland Winterhawks	WHL	71	46	74	120	43	68	21	9	19	28	16	AHL [1.0, ...]
45	Nick Sorensen	Quebec Remparts	QMJHL	46	20	27	47	18	10	8	7	3	10	10	Not_In_NHL_AHL
48	Zach Nastasiuk	Owen Sound Attack	OHL	62	20	20	40	32	21	12	4	7	11	0	AHL [0.2, 0.4)
49	Gabryel Boudreau	Baie-Comeau Drakkar	QMJHL	67	22	41	63	43	31	18	9	9	18	27	Not_In_NHL_AHL
50	Dillon Heatherington	Swift Current Broncos	WHL	71	4	23	27	80	25	5	0	3	3	0	AHL [0.2, 0.4)
