Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
1	Rick Nash	London Knights	OHL	54	32	40	72	88	-16	12	10	9	19	21	NHL [0.6, 0.8)
3	Jay Bouwmeester	Medicine Hat Tigers	WHL	61	11	50	61	42	-3	0	0	0	0	0	NHL [0.4, 0.6)
6	Scottie Upshall	Kamloops Blazers	WHL	61	32	51	83	139	16	4	1	2	3	21	NHL [0.4, 0.6)
7	Joffrey Lupul	Medicine Hat Tigers	WHL	72	56	50	106	95	11	0	0	0	0	0	NHL [0.2, 0.4)
8	Pierre-Marc Bouchard	Chicoutimi Sagueneens	QMJHL	69	46	94	140	54	25	4	2	3	5	4	NHL [0.6, 0.8)
9	Petr Taticek	Soo Greyhounds	OHL	60	21	42	63	32	22	6	3	3	6	4	Other
12	Steve Eminger	Kitchener Rangers	OHL	64	19	39	58	93	24	4	0	2	2	10	NHL [0.2, 0.4)
16	Jakub Klepis	Portland Winter Hawks	WHL	70	14	50	64	111	3	7	0	3	3	22	NHL [0.2, 0.4)
17	Boyd Gordon	Red Deer Rebels	WHL	66	22	29	51	19	20	23	10	12	22	8	NHL [0.4, 0.6)
20	Daniel Paille	Guelph Storm	OHL	62	27	30	57	54	-1	9	5	2	7	9	NHL [0.2, 0.4)
23	Ben Eager	Oshawa Generals	OHL	63	14	23	37	255	-16	5	0	1	1	13	NHL [0.0, 0.2)
26	Martin Vagner	Hull Olympiques	QMJHL	64	6	28	34	81	-5	8	0	1	1	10	Not_In_NHL_AHL
36	Jarret Stoll	Kootenay Ice	WHL	47	32	34	66	64	8	22	6	13	19	35	NHL [0.6, 0.8)
37	Tim Brent	Toronto St Michaels Majors	OHL	61	19	40	59	52	19	14	7	12	19	20	AHL [0.6, 0.8)
43	Trevor Daley	Soo Greyhounds	OHL	47	9	39	48	38	17	6	2	2	4	4	NHL [0.0, 0.2)
57	Matthew Stajan	Belleville Bulls	OHL	68	33	52	85	50	36	11	3	8	11	14	NHL [0.4, 0.6)
60	Adam Henrich	Brampton Battalion	OHL	66	33	30	63	92	-4	0	0	0	0	0	AHL [0.2, 0.4)
61	Johnny Boychuk	Calgary Hitmen	WHL	70	8	32	40	85	12	7	1	1	2	6	AHL [0.2, 0.4)
62	Andrei Mikhnov	Sudbury Wolves	OHL	67	14	18	32	43	-14	0	0	0	0	0	Not_In_NHL_AHL
66	Petr Kanko	Kitchener Rangers	OHL	61	28	32	60	54	19	4	0	2	2	0	AHL [0.2, 0.4)
67	Greg Campbell	Plymouth Whalers	OHL	65	17	36	53	105	31	6	0	2	2	13	NHL [0.0, 0.2)
69	Erik Christensen	Kamloops Blazers	WHL	70	22	36	58	68	-4	4	0	0	0	4	NHL [0.4, 0.6)
71	Brian Lee	Erie Otters	OHL	66	5	14	19	115	19	21	1	6	7	41	Not_In_NHL_AHL
76	Michael Tessier	Acadie-Bathurst Titan	QMJHL	66	22	48	70	83	-3	14	5	7	12	12	Not_In_NHL_AHL
77	Patrick Wellar	Portland Winter Hawks	WHL	61	3	10	13	125	-4	7	0	2	2	4	AHL [0.0, 0.2)
85	Ahren Nittel	Windsor Spitfires	OHL	52	19	11	30	100	8	9	4	1	5	23	Not_In_NHL_AHL
86	Jonas Fiedler	Plymouth Whalers	OHL	68	8	12	20	27	4	6	0	1	1	4	Other
88	Dominic D'Amour	Hull Olympiques	QMJHL	68	5	5	10	225	-8	12	0	3	3	32	AHL [0.2, 0.4)
90	Matthew Lombardi	Victoriaville Tigres	QMJHL	66	57	73	130	70	24	22	17	18	35	18	NHL [0.4, 0.6)
91	Jesse Lane	Hull Olympiques	QMJHL	48	16	24	40	83	-11	11	1	9	10	18	Other
92	Derek Krestanovich	Moose Jaw Warriors	WHL	63	15	33	48	93	16	12	7	4	11	16	Not_In_NHL_AHL
97	Lance Monych	Brandon Wheat Kings	WHL	71	18	30	48	96	2	19	4	3	7	20	Not_In_NHL_AHL
99	Michael Lambert	Montreal Rocket	QMJHL	71	29	24	53	111	-14	7	1	6	7	15	AHL [0.2, 0.4)
102	Brandon Segal	Calgary Hitmen	WHL	71	43	40	83	122	17	7	1	4	5	16	AHL [0.2, 0.4)
104	Aaron Rome	Swift Current Broncos	WHL	70	7	24	31	168	12	10	1	4	5	23	AHL [0.2, 0.4)
105	Rosario Ruggeri	Chicoutimi Sagueneens	QMJHL	60	2	15	17	131	0	4	1	1	2	10	Not_In_NHL_AHL
109	Jevon Desautels	Spokane Chiefs	WHL	60	6	11	17	162	-5	11	1	0	1	20	Not_In_NHL_AHL
113	Scott Dobben	Erie Otters	OHL	68	31	32	63	72	36	21	4	11	15	24	Not_In_NHL_AHL
