Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
1	John Tavares	London Knights	OHL	56	58	46	104	54	10	14	10	11	21	8	NHL [1.0, ...]
3	Matt Duchene	Brampton Battalion	OHL	57	31	48	79	42	32	21	14	12	26	21	NHL [0.8, 1.0)
4	Evander Kane	Vancouver Giants	WHL	61	48	48	96	89	51	17	7	8	15	45	NHL [0.6, 0.8)
5	Brayden Schenn	Brandon Wheat Kings	WHL	70	32	56	88	82	20	12	8	10	18	12	NHL [0.4, 0.6)
7	Nazem Kadri	London Knights	OHL	56	25	53	78	31	13	14	9	12	21	22	NHL [0.6, 0.8)
8	Scott Glennie	Brandon Wheat Kings	WHL	55	28	42	70	25	22	12	3	15	18	11	AHL [0.4, 0.6)
9	Jared Cowen	Spokane Chiefs	WHL	48	7	14	21	45	15	0	0	0	0	0	NHL [0.2, 0.4)
11	Ryan Ellis	Windsor Spitfires	OHL	57	22	67	89	57	52	20	8	23	31	20	NHL [0.2, 0.4)
12	Calvin de Haan	Oshawa Generals	OHL	68	8	55	63	40	3	0	0	0	0	0	NHL [0.2, 0.4)
13	Zack Kassian	Peterborough Petes	OHL	61	24	39	63	136	-14	4	0	2	2	8	NHL [0.4, 0.6)
14	Dmitri Kulikov	Drummondville Voltigeurs	QMJHL	57	12	50	62	46	34	19	2	17	19	16	NHL [0.2, 0.4)
15	Peter Holland	Guelph Storm	OHL	68	28	39	67	42	10	4	4	0	4	2	NHL [0.2, 0.4)
25	Jordan Caron	Rimouski Oceanic	QMJHL	56	36	31	67	66	14	13	6	5	11	16	NHL [0.0, 0.2)
27	Philippe Paradis	Shawinigan Cataractes	QMJHL	66	19	31	50	74	20	21	6	6	12	20	AHL [0.2, 0.4)
29	Carter Ashton	Lethbridge Hurricanes	WHL	70	30	20	50	93	-5	11	1	2	3	15	NHL [0.0, 0.2)
30	Simon Despres	Saint John Sea Dogs	QMJHL	66	2	30	32	74	16	4	0	4	4	2	AHL [0.6, 0.8)
32	Landon Ferraro	Red Deer Rebels	WHL	68	37	18	55	99	-23	0	0	0	0	0	AHL [0.4, 0.6)
33	Ryan O'Reilly	Erie Otters	OHL	68	16	50	66	26	1	5	0	5	5	2	NHL [0.8, 1.0)
35	Kyle Clifford	Barrie Colts	OHL	60	16	12	28	133	1	5	0	0	0	13	NHL [0.0, 0.2)
37	Mat Clark	Brampton Battalion	OHL	63	3	20	23	91	21	21	0	5	5	37	AHL [0.0, 0.2)
42	Charles-Olivier Roussel	Shawinigan Cataractes	QMJHL	68	11	33	44	77	31	21	5	13	18	14	AHL [0.2, 0.4)
47	Ethan Werek	Kingston Frontenacs	OHL	66	32	32	64	83	-5	0	0	0	0	0	AHL [0.2, 0.4)
48	Brett Ponich	Portland Winter Hawks	WHL	72	1	17	18	117	-19	0	0	0	0	0	Not_In_NHL_AHL
49	Stefan Elliott	Saskatoon Blades	WHL	71	16	39	55	26	20	7	1	3	4	4	AHL [0.4, 0.6)
54	Eric Gelinas	Lewiston MAINEiacs	QMJHL	67	10	29	39	80	-9	4	0	1	1	12	NHL [0.4, 0.6)
57	Taylor Doherty	Kingston Frontenacs	OHL	68	2	18	20	140	-14	0	0	0	0	0	AHL [0.2, 0.4)
58	Jesse Blacker	Windsor Spitfires	OHL	67	4	17	21	54	46	20	0	4	4	18	AHL [0.4, 0.6)
64	Tyson Barrie	Kelowna Rockets	WHL	68	12	40	52	31	17	22	4	14	18	12	NHL [0.4, 0.6)
66	Brayden McNabb	Kootenay Ice	WHL	67	10	26	36	140	-4	4	0	5	5	2	AHL [0.6, 0.8)
68	Jamie Devane	Plymouth Whalers	OHL	64	5	12	17	92	-3	11	0	0	0	17	AHL [0.0, 0.2)
70	Taylor Beck	Guelph Storm	OHL	67	22	36	58	36	3	4	0	0	0	2	AHL [0.6, 0.8)
72	Michael Latta	Guelph Storm	OHL	65	22	35	57	92	-10	4	0	2	2	12	AHL [0.6, 0.8)
74	Ryan Howse	Chilliwack Bruins	WHL	61	31	13	44	12	-24	0	0	0	0	0	Other
75	Andrej Nestrasil	Victoriaville Tigres	QMJHL	66	22	35	57	67	-2	4	2	1	3	10	AHL [0.4, 0.6)
82	Cameron Abney	Everett Silvertips	WHL	48	1	3	4	103	-17	5	0	0	0	2	Not_In_NHL_AHL
84	Nicolas Deslauriers	Rouyn-Noranda Huskies	QMJHL	68	11	19	30	80	3	6	2	2	4	8	AHL [0.6, 0.8)
85	Cody Eakin	Swift Current Broncos	WHL	54	24	24	48	42	18	7	3	0	3	10	NHL [0.4, 0.6)
86	Ryan Button	Prince Albert Raiders	WHL	70	5	32	37	43	-15	0	0	0	0	0	AHL [0.0, 0.2)
90	Gleason Fournier	Rimouski Oceanic	QMJHL	66	3	25	28	64	-6	4	0	0	0	0	AHL [0.0, 0.2)
92	Casey Cizikas	Mississauga St Michaels Majors	OHL	55	16	20	36	39	-15	11	5	4	9	11	NHL [0.2, 0.4)
93	Alex Hutchings	Barrie Colts	OHL	63	34	34	68	60	27	5	3	4	7	6	AHL [0.0, 0.2)
94	David Savard	Moncton Wildcats	QMJHL	68	9	35	44	33	29	10	5	5	10	10	NHL [0.2, 0.4)
96	Linden Vey	Medicine Hat Tigers	WHL	71	24	48	72	20	-2	11	2	5	7	2	AHL [1.0, ...]
97	Jordan Szwarz	Saginaw Spirit	OHL	67	17	34	51	76	17	8	1	5	6	10	AHL [0.4, 0.6)
103	Kris Foucault	Calgary Hitmen	WHL	26	9	8	17	16	5	18	11	5	16	10	AHL [0.2, 0.4)
104	Marcus Foligno	Sudbury Wolves	OHL	65	12	18	30	96	-21	6	1	2	3	9	NHL [0.2, 0.4)
105	Justin Weller	Red Deer Rebels	WHL	32	0	4	4	30	-6	0	0	0	0	0	Not_In_NHL_AHL
107	Garrett Wilson	Owen Sound Attack	OHL	53	17	18	35	44	-7	4	1	3	4	7	AHL [0.4, 0.6)
108	Tyler Shattock	Kamloops Blazers	WHL	68	30	39	69	82	-4	4	0	1	1	6	AHL [0.2, 0.4)
112	Lane MacDermid	Windsor Spitfires	OHL	64	15	20	35	197	22	20	4	5	9	38	AHL [0.0, 0.2)
118	Byron Froese	Everett Silvertips	WHL	72	19	38	57	30	-13	5	0	3	3	4	AHL [0.0, 0.2)
