Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
1	Nail Yakupov	Sarnia Sting	OHL	42	31	38	69	30	15	6	2	3	5	4	NHL [0.2, 0.4)
2	Ryan Murray	Everett Silvertips	WHL	46	9	22	31	31	0	4	3	2	5	0	NHL [0.0, 0.2)
3	Alex Galchenyuk	Sarnia Sting	OHL	2	0	0	0	0	-4	6	2	2	4	4	NHL [0.6, 0.8)
4	Griffin Reinhart	Edmonton Oil Kings	WHL	58	12	24	36	38	23	20	2	6	8	20	AHL [0.2, 0.4)
5	Morgan Rielly	Moose Jaw Warriors	WHL	18	3	15	18	2	6	5	0	3	3	0	NHL [0.2, 0.4)
7	Matt Dumba	Red Deer Rebels	WHL	69	20	37	57	67	-6	0	0	0	0	0	NHL [0.4, 0.6)
8	Derrick Pouliot	Portland Winterhawks	WHL	72	11	48	59	79	15	22	3	14	17	18	AHL [0.4, 0.6)
10	Slater Koekkoek	Peterborough Petes	OHL	26	5	13	18	17	-7	0	0	0	0	0	AHL [0.2, 0.4)
12	Mikhail Grigorenko	Quebec Remparts	QMJHL	59	40	45	85	12	35	11	3	7	10	4	NHL [0.2, 0.4)
13	Radek Faksa	Kitchener Rangers	OHL	62	29	38	67	47	19	13	2	4	6	10	NHL [0.4, 0.6)
15	Cody Ceci	Ottawa 67s	OHL	64	17	43	60	14	21	18	2	13	15	4	NHL [0.2, 0.4)
16	Tom Wilson	Plymouth Whalers	OHL	49	9	18	27	141	17	13	7	6	13	39	NHL [0.2, 0.4)
20	Scott Laughton	Oshawa Generals	OHL	64	21	32	53	101	8	6	2	3	5	17	AHL [0.6, 0.8)
22	Olli Maatta	London Knights	OHL	58	5	27	32	25	25	19	6	17	23	2	NHL [0.0, 0.2)
26	Brendan Gaunce	Belleville Bulls	OHL	68	28	40	68	68	4	6	1	2	3	2	NHL [0.0, 0.2)
27	Henrik Samuelsson	Edmonton Oil Kings	WHL	28	7	16	23	42	18	17	4	10	14	20	AHL [0.0, 0.2)
30	Tanner Pearson	Barrie Colts	OHL	60	37	54	91	37	21	0	0	0	0	0	NHL [0.4, 0.6)
32	Mitch Moroz	Edmonton Oil Kings	WHL	66	16	9	25	131	5	20	4	4	8	24	AHL [0.2, 0.4)
35	Matt Finn	Guelph Storm	OHL	61	10	38	48	58	-13	6	0	2	2	10	Not_In_NHL_AHL
39	Lukas Sutter	Saskatoon Blades	WHL	70	28	31	59	165	15	4	0	2	2	14	Other
40	Dylan Blujus	Brampton Battalion	OHL	66	7	27	34	38	4	8	1	4	5	4	AHL [0.2, 0.4)
