Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
3	Cam Barker	Medicine Hat Tigers	WHL	69	21	44	65	105	17	20	3	9	12	18	NHL [0.4, 0.6)
4	Andrew Ladd	Calgary Hitmen	WHL	71	30	45	75	119	39	7	1	6	7	10	NHL [0.6, 0.8)
8	Alexandre Picard	Lewiston MAINEiacs	QMJHL	69	39	41	80	88	4	7	7	4	11	6	AHL [0.6, 0.8)
10	Boris Valabik	Kitchener Rangers	OHL	68	3	12	15	278	2	5	0	0	0	8	NHL [0.0, 0.2)
18	Kyle Chipchura	Prince Albert Raiders	WHL	64	15	33	48	118	6	6	2	4	6	12	AHL [0.6, 0.8)
21	Wojtek Wolski	Brampton Battalion	OHL	66	29	41	70	30	4	12	5	3	8	8	NHL [0.4, 0.6)
25	Rob Schremp	London Knights	OHL	63	30	45	75	18	15	15	7	6	13	2	AHL [0.6, 0.8)
27	Jeff Schultz	Calgary Hitmen	WHL	72	11	24	35	33	28	7	1	1	2	0	NHL [0.0, 0.2)
28	Mark Fistric	Vancouver Giants	WHL	72	1	11	12	192	-8	11	0	2	2	10	NHL [0.0, 0.2)
29	Mike Green	Saskatoon Blades	WHL	59	14	25	39	92	-29	0	0	0	0	0	NHL [1.0, ...]
30	Andy Rogers	Calgary Hitmen	WHL	64	1	3	4	89	11	7	0	0	0	11	AHL [0.0, 0.2)
32	Dave Bolland	London Knights	OHL	65	37	30	67	58	18	15	3	10	13	18	NHL [0.4, 0.6)
35	Logan Stephenson	Tri-City Americans	WHL	69	3	8	11	112	2	11	1	1	2	10	AHL [0.0, 0.2)
39	Jordan Smith	Soo Greyhounds	OHL	68	6	20	26	140	12	0	0	0	0	0	Not_In_NHL_AHL
41	Bryan Bickell	Ottawa 67s	OHL	59	20	16	36	76	-9	7	3	0	3	11	AHL [0.2, 0.4)
43	Mike Funk	Portland Winter Hawks	WHL	71	3	25	28	86	-9	5	0	1	1	6	Other
44	Roman Tesliuk	Kamloops Blazers	WHL	70	5	9	14	118	-6	5	0	1	1	2	Not_In_NHL_AHL
45	Ryan Garlock	Windsor Spitfires	OHL	52	19	28	47	44	15	4	1	0	1	6	AHL [0.0, 0.2)
47	Blake Comeau	Kelowna Rockets	WHL	71	10	23	33	123	13	17	4	2	6	23	NHL [0.4, 0.6)
48	Dane Byers	Prince Albert Raiders	WHL	51	9	8	17	134	-5	6	1	2	3	17	Other
51	Bruce Graham	Moncton Wildcats	QMJHL	68	24	33	57	89	-4	18	0	14	14	4	Not_In_NHL_AHL
59	Kyle Wharton	Ottawa 67s	OHL	43	4	10	14	50	9	7	2	3	5	4	Other
60	Brandon Dubinsky	Portland Winter Hawks	WHL	71	30	48	78	137	-4	5	0	2	2	6	NHL [0.4, 0.6)
64	Martins Karsums	Moncton Wildcats	QMJHL	60	30	23	53	76	6	20	8	9	17	14	AHL [0.8, 1.0)
65	Mark Tobin	Rimouski Oceanic	QMJHL	69	22	16	38	112	6	9	4	1	5	12	Not_In_NHL_AHL
68	Adam Berti	Oshawa Generals	OHL	66	17	29	46	44	-2	7	0	2	2	4	Not_In_NHL_AHL
70	Brandon Prust	London Knights	OHL	64	19	33	52	269	23	15	7	13	20	33	NHL [0.0, 0.2)
75	Tim Brent	Toronto St Michaels Majors	OHL	53	26	41	67	105	16	18	4	13	17	24	AHL [0.8, 1.0)
76	Scott Lehman	Toronto St Michaels Majors	OHL	66	5	27	32	189	12	18	2	2	4	38	AHL [0.0, 0.2)
79	Clayton Stoner	Tri-City Americans	WHL	71	7	24	31	109	21	11	1	1	2	8	AHL [0.2, 0.4)
81	Vaclav Meidl	Plymouth Whalers	OHL	67	14	28	42	108	1	9	0	3	3	4	Not_In_NHL_AHL
86	John Lammers	Lethbridge Hurricanes	WHL	62	21	24	45	31	8	0	0	0	0	0	AHL [0.4, 0.6)
88	Clayton Barthel	Seattle Thunderbirds	WHL	72	3	14	17	125	13	0	0	0	0	0	Not_In_NHL_AHL
98	Dustin Boyd	Moose Jaw Warriors	WHL	72	18	20	38	40	-5	10	2	2	4	8	NHL [0.2, 0.4)
99	Tyler Kennedy	Soo Greyhounds	OHL	63	16	26	42	28	-4	0	0	0	0	0	NHL [0.4, 0.6)
105	Evan Schafer	Prince Albert Raiders	WHL	71	3	6	9	190	-6	6	0	0	0	14	Not_In_NHL_AHL
106	Chad Painchaud	Mississauga IceDogs	OHL	68	17	25	42	25	23	24	4	6	10	23	Not_In_NHL_AHL
107	Nick Fugere	Gatineau Olympiques	QMJHL	54	10	13	23	121	5	15	3	4	7	11	Other
108	Ashton Rome	Moose Jaw Warriors	WHL	72	15	22	37	139	5	10	6	2	8	18	Not_In_NHL_AHL
109	Brett Carson	Calgary Hitmen	WHL	71	5	27	32	49	14	7	0	0	0	6	AHL [0.4, 0.6)
110	Ned Lukacevic	Spokane Chiefs	WHL	72	19	14	33	65	-7	4	1	1	2	2	AHL [0.0, 0.2)
112	Liam Reddox	Peterborough Petes	OHL	68	31	33	64	22	-7	0	0	0	0	0	NHL [0.2, 0.4)
114	Patrick Bordeleau	Val dOr Foreurs	QMJHL	68	7	11	18	97	-6	7	1	1	2	8	Not_In_NHL_AHL
118	Aki Seitsonen	Prince Albert Raiders	WHL	71	16	24	40	18	9	5	0	0	0	0	AHL [0.0, 0.2)
120	Mitch Maunu	Windsor Spitfires	OHL	68	11	15	26	91	2	4	1	0	1	0	Not_In_NHL_AHL
121	Kris Hogg	Kamloops Blazers	WHL	72	24	14	38	79	23	5	0	1	1	6	Not_In_NHL_AHL
124	David Laliberte	Prince Edward Island Rocket	QMJHL	70	21	22	43	51	7	11	1	3	4	6	AHL [0.6, 0.8)
127	Ryan Callahan	Guelph Storm	OHL	68	36	32	68	86	17	22	13	8	21	20	NHL [0.4, 0.6)
128	Evan McGrath	Kitchener Rangers	OHL	68	15	36	51	28	4	5	2	1	3	2	AHL [0.6, 0.8)
130	Michal Sersen	Rimouski Oceanic	QMJHL	45	7	18	25	30	20	9	1	5	6	6	Not_In_NHL_AHL
131	Trevor Kell	London Knights	OHL	62	9	14	23	48	15	15	7	8	15	14	Not_In_NHL_AHL
133	Petr Pohl	Gatineau Olympiques	QMJHL	70	23	27	50	16	11	8	0	2	2	2	Not_In_NHL_AHL
134	Kris Versteeg	Lethbridge Hurricanes	WHL	68	16	33	49	85	-5	0	0	0	0	0	NHL [0.6, 0.8)
143	Eric Neilson	Rimouski Oceanic	QMJHL	50	4	11	15	194	-4	9	0	0	0	28	AHL [0.0, 0.2)
146	Bryan Young	Peterborough Petes	OHL	60	0	8	8	63	-18	0	0	0	0	0	AHL [0.0, 0.2)
148	Steven Regier	Medicine Hat Tigers	WHL	72	25	35	60	111	14	18	5	11	16	20	AHL [0.6, 0.8)
