Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
2	Jason Spezza	Windsor Spitfires	OHL	56	43	73	116	43	28	9	4	5	9	10	NHL [1.0, ...]
4	Stephen Weiss	Plymouth Whalers	OHL	62	40	47	87	45	28	18	7	16	23	10	NHL [0.4, 0.6)
12	Dan Hamhuis	Prince George Cougars	WHL	62	13	46	59	125	-15	6	2	3	5	15	NHL [0.4, 0.6)
13	Ales Hemsky	Hull Olympiques	QMJHL	68	36	64	100	67	14	5	2	3	5	2	NHL [0.8, 1.0)
17	Carlo Colaiacovo	Erie Otters	OHL	62	12	27	39	59	46	14	4	7	11	16	NHL [0.2, 0.4)
19	Shaone Morrisonn	Kamloops Blazers	WHL	61	13	25	38	132	19	4	0	0	0	6	NHL [0.0, 0.2)
21	Colby Armstrong	Red Deer Rebels	WHL	72	36	42	78	156	44	21	6	6	12	39	NHL [0.8, 1.0)
23	Tim Gleason	Windsor Spitfires	OHL	47	8	28	36	124	28	9	1	2	3	23	NHL [0.2, 0.4)
24	Lukas Krajicek	Peterborough Petes	OHL	61	8	27	35	53	2	7	0	5	5	0	NHL [0.2, 0.4)
27	Jeff Woywitka	Red Deer Rebels	WHL	72	7	28	35	113	45	22	2	8	10	25	AHL [0.2, 0.4)
28	Adrian Foster	Saskatoon Blades	WHL	5	0	5	5	4	-1	0	0	0	0	0	Other
31	Matthew Spiller	Seattle Thunderbirds	WHL	71	4	7	11	174	-12	9	1	0	1	22	AHL [0.0, 0.2)
32	Derek Roy	Kitchener Rangers	OHL	65	42	39	81	114	-20	0	0	0	0	0	NHL [0.6, 0.8)
34	Greg Watson	Prince Albert Raiders	WHL	71	22	28	50	72	-42	0	0	0	0	0	AHL [0.4, 0.6)
35	Mark Popovic	Toronto St Michaels Majors	OHL	61	7	35	42	54	24	18	3	5	8	22	AHL [0.4, 0.6)
36	Kyle Wanvig	Red Deer Rebels	WHL	69	55	46	101	202	46	22	10	12	22	47	NHL [0.2, 0.4)
37	Duncan Milroy	Swift Current Broncos	WHL	68	38	54	92	51	22	19	9	12	21	6	AHL [0.4, 0.6)
43	Doug Lynch	Red Deer Rebels	WHL	72	12	37	49	181	29	21	1	9	10	30	AHL [0.0, 0.2)
44	Igor Pohanka	Prince Albert Raiders	WHL	70	16	33	49	24	-28	0	0	0	0	0	AHL [0.4, 0.6)
45	Martin Podlesak	Lethbridge Hurricanes	WHL	60	21	19	40	59	3	3	1	1	2	2	Other
46	Mike Zigomanis	Kingston Frontenacs	OHL	52	40	37	77	44	21	0	0	0	0	0	AHL [1.0, ...]
50	Chris Thorburn	North Bay Centennials	OHL	66	22	32	54	64	-1	4	0	1	1	9	AHL [0.6, 0.8)
53	Kiel McLeod	Kelowna Rockets	WHL	65	38	28	66	94	-1	4	4	1	5	8	AHL [0.0, 0.2)
55	Jason Pominville	Shawinigan Cataractes	QMJHL	71	46	67	113	24	42	10	6	6	12	0	NHL [0.4, 0.6)
