Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
1	Connor McDavid	Erie Otters	OHL	47	44	76	120	48	60	20	21	28	49	12	NHL [1.0, ...]
3	Dylan Strome	Erie Otters	OHL	68	45	84	129	32	47	20	10	12	22	12	NHL [0.6, 0.8)
4	Mitch Marner	London Knights	OHL	63	44	82	126	53	36	7	9	7	16	8	NHL [1.0, ...]
6	Pavel Zacha	Sarnia Sting	OHL	37	16	18	34	56	5	5	2	1	3	10	NHL [0.4, 0.6)
7	Ivan Provorov	Brandon Wheat Kings	WHL	60	15	46	61	42	36	19	2	11	13	10	NHL [0.4, 0.6)
9	Timo Meier	Halifax Mooseheads	QMJHL	61	44	46	90	59	20	14	10	11	21	18	NHL [0.6, 0.8)
11	Lawson Crouse	Kingston Frontenacs	OHL	56	29	22	51	70	10	4	2	1	3	18	NHL [0.2, 0.4)
13	Jakub Zboril	Saint John Sea Dogs	QMJHL	44	13	20	33	73	2	5	1	2	3	18	AHL [0.0, 0.2)
14	Jake DeBrusk	Swift Current Broncos	WHL	72	42	39	81	40	-9	3	0	0	0	10	NHL [0.4, 0.6)
15	Zachary Senyshyn	Soo Greyhounds	OHL	66	26	19	45	17	30	14	4	3	7	2	AHL [0.0, 0.2)
16	Mathew Barzal	Seattle Thunderbirds	WHL	44	12	45	57	20	13	6	4	4	8	4	NHL [0.8, 1.0)
18	Thomas Chabot	Saint John Sea Dogs	QMJHL	66	12	29	41	62	6	5	0	1	1	6	NHL [0.4, 0.6)
19	Evgeny Svechnikov	Cape Breton Screaming Eagles	QMJHL	55	32	46	78	70	19	7	1	6	7	14	AHL [0.0, 0.2)
24	Travis Konecny	Ottawa 67s	OHL	60	29	39	68	34	-1	5	3	7	10	6	NHL [0.8, 1.0)
26	Noah Juulsen	Everett Silvertips	WHL	68	9	43	52	42	22	6	0	1	1	8	Other
28	Anthony Beauvillier	Shawinigan Cataractes	QMJHL	67	42	52	94	72	16	7	2	5	7	14	NHL [0.4, 0.6)
30	Nick Merkley	Kelowna Rockets	WHL	72	20	70	90	79	29	19	5	22	27	18	AHL [0.0, 0.2)
31	Jeremy Roy	Sherbrooke Phoenix	QMJHL	46	5	38	43	37	-2	6	1	4	5	0	AHL [0.0, 0.2)
33	Mitchell Stephens	Saginaw Spirit	OHL	62	22	26	48	44	-17	4	0	0	0	0	NHL [0.0, 0.2)
34	Travis Dermott	Erie Otters	OHL	61	8	37	45	53	23	20	5	12	17	22	NHL [0.2, 0.4)
36	Gabriel Gagne	Victoriaville Tigres	QMJHL	67	35	24	59	39	2	4	2	1	3	4	AHL [0.0, 0.2)
37	Brandon Carlo	Tri-City Americans	WHL	63	4	21	25	90	-15	4	0	1	1	4	NHL [0.2, 0.4)
38	Paul Bittner	Portland Winterhawks	WHL	66	34	37	71	52	39	17	4	8	12	6	AHL [0.0, 0.2)
