League	GP	G	A	PTS	PGP	PG	PA	PPTS	Proj_PTS/GP	Position	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G	Year	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G	Height	Weight
WHL	48	15	10	25	12	2	1	3	AHL [0.2, 0.4)	C	5	0	2	2	0	0	15	0	4	0	2	1	0	0	0	0	0.0	0	0	0.0	0.52	0.0	2000-01	4	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.25	0.0	180.0	195
QMJHL	68	48	67	115	21	15	18	33	NHL [0.2, 0.4)	C	0	90	20	26	3	5	272	272	5	0	11	5	0	0	0	0	0.0	276	138	50.0	1.69	1.32	2000-01	0	42	9	10	2	1	90	90	2	0	3	2	0	0	0	0	0.0	74	32	43.2	1.57	2.0	182.5	190
OHL	66	21	16	37	5	2	1	3	AHL [0.4, 0.6)	RW	-18	218	13	5	0	0	0	0	1	0	5	3	0	0	0	0	0.0	0	0	0.0	0.56	3.3	2000-01	1	19	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.6	3.8	180.0	196
WHL	60	20	28	48	6	2	4	6	AHL [0.6, 0.8)	RW	1	0	4	13	2	1	20	0	2	0	6	2	0	0	0	0	0.0	0	0	0.0	0.8	0.0	2000-01	-1	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	0.0	172.5	197
OHL	68	29	27	56	4	2	0	2	Not_In_NHL_AHL	C	16	39	6	5	1	0	0	0	1	0	2	5	0	0	0	0	0.0	0	0	0.0	0.82	0.57	2000-01	-3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	0.0	187.5	215
OHL	62	17	61	78	4	0	1	1	Other	LW	4	175	6	28	0	0	0	0	2	0	2	1	0	0	0	0	0.0	0	0	0.0	1.26	2.82	2000-01	-2	22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.25	5.5	177.5	203
OHL	67	23	25	48	5	0	2	2	Other	RW	-18	93	14	14	0	0	0	0	4	1	3	1	0	0	0	0	0.0	0	0	0.0	0.72	1.39	2000-01	-6	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.4	2.4	190.0	208
OHL	65	25	27	52	4	0	1	1	Not_In_NHL_AHL	LW	8	129	10	14	0	0	0	0	5	0	5	4	0	0	0	0	0.0	0	0	0.0	0.8	1.98	2000-01	-2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.25	2.0	185.0	221
OHL	68	35	83	118	10	3	16	19	NHL [0.4, 0.6)	C	47	24	9	40	1	0	0	0	5	1	2	3	0	0	0	0	0.0	0	0	0.0	1.74	0.35	2000-01	4	4	2	6	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	1.9	0.4	175.0	181
QMJHL	68	10	14	24	11	1	1	2	AHL [0.8, 1.0)	C	0	46	1	2	0	0	88	88	3	0	2	2	0	0	0	0	0.0	558	254	45.5	0.35	0.68	2000-01	0	10	0	1	0	0	12	12	0	0	1	0	0	0	0	0	0.0	10	3	30.0	0.18	0.91	185.0	212
QMJHL	71	24	43	67	4	0	3	3	Not_In_NHL_AHL	RW	0	32	7	20	0	0	229	229	3	0	4	3	0	0	0	0	0.0	31	9	29.0	0.94	0.45	2000-01	0	0	0	2	0	0	11	11	0	0	0	0	0	0	0	0	0.0	4	1	25.0	0.75	0.0	177.5	180
OHL	66	7	16	23	10	1	1	2	NHL [0.0, 0.2)	RW	-6	135	1	2	1	2	0	0	3	0	0	0	0	0	0	0	0.0	0	0	0.0	0.35	2.05	2000-01	-6	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.2	2.3	187.5	221
WHL	64	22	16	38	6	1	1	2	Other	RW	-12	0	10	5	0	0	22	0	4	0	2	0	0	0	0	0	0.0	0	0	0.0	0.59	0.0	2000-01	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.33	0.0	190.0	225
QMJHL	62	10	36	46	6	2	0	2	Not_In_NHL_AHL	C	0	110	3	18	2	0	110	110	1	0	1	0	0	0	0	0	0.0	2075	1261	60.8	0.74	1.77	2000-01	0	10	0	0	2	0	10	10	0	0	0	0	0	0	0	0	0.0	233	147	63.1	0.33	1.67	180.0	193
WHL	72	25	31	56	9	1	5	6	AHL [0.0, 0.2)	C	5	0	7	9	3	4	25	0	2	0	4	4	0	0	0	0	0.0	0	0	0.0	0.78	0.0	2000-01	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.67	0.0	175.0	181
OHL	49	31	44	75	4	1	7	8	AHL [0.4, 0.6)	C	-1	48	12	19	1	0	0	0	4	1	5	3	0	0	0	0	0.0	0	0	0.0	1.53	0.98	2000-01	-5	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	2.0	1.0	172.5	161
WHL	71	9	21	30	4	0	0	0	NHL [0.2, 0.4)	C	-2	0	2	3	1	0	9	0	1	0	3	1	0	0	0	0	0.0	0	0	0.0	0.42	0.0	2000-01	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	185.0	200
OHL	67	38	38	76	4	0	2	2	AHL [0.8, 1.0)	C	-1	53	15	16	3	0	0	0	8	1	4	2	0	0	0	0	0.0	0	0	0.0	1.13	0.79	2000-01	-4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	0.5	190.0	225
WHL	61	1	8	9	6	1	0	1	NHL [0.0, 0.2)	LW	-9	0	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.15	0.0	2000-01	-5	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0.0	0	0	0.0	0.17	0.0	197.5	265
QMJHL	70	12	35	47	4	1	0	1	Other	C	0	121	3	13	0	0	144	144	2	1	3	1	0	0	0	0	0.0	1409	688	48.8	0.67	1.73	2000-01	0	11	1	0	0	0	12	12	0	0	1	0	0	0	0	0	0.0	92	42	45.7	0.25	2.75	182.5	168
QMJHL	72	48	41	89	6	3	2	5	AHL [0.8, 1.0)	C	0	78	12	17	8	0	322	322	12	1	5	1	0	0	0	0	0.0	408	185	45.3	1.24	1.08	2000-01	0	16	1	1	0	0	27	27	1	0	0	0	0	0	0	0	0.0	47	25	53.2	0.83	2.67	180.0	193
WHL	59	9	14	23	6	1	2	3	Not_In_NHL_AHL	LW	-15	0	5	2	0	1	9	0	0	0	3	1	0	0	0	0	0.0	0	0	0.0	0.39	0.0	2000-01	-2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	0.0	180.0	169
WHL	39	23	18	41	11	7	2	9	NHL [0.8, 1.0)	C	17	0	8	6	0	0	23	0	5	0	0	1	0	0	0	0	0.0	0	0	0.0	1.05	0.0	2000-01	4	0	0	1	0	0	7	0	2	1	2	0	0	0	0	0	0.0	0	0	0.0	0.82	0.0	175.0	185
QMJHL	41	10	10	20	4	1	1	2	Other	RW	0	317	5	4	0	0	48	48	0	0	0	0	0	0	0	0	0.0	12	3	25.0	0.49	7.73	2000-01	0	35	0	1	0	0	4	4	0	0	0	0	0	0	0	0	0.0	1	0	0.0	0.5	8.75	187.5	208
OHL	52	5	10	15	9	0	2	2	Not_In_NHL_AHL	RW	-1	51	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.29	0.98	2000-01	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.22	1.0	185.0	198
WHL	67	13	20	33	6	0	2	2	Not_In_NHL_AHL	LW	-3	0	3	9	0	1	13	0	2	0	1	0	0	0	0	0	0.0	0	0	0.0	0.49	0.0	2000-01	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.33	0.0	182.5	210
QMJHL	72	8	14	22	5	2	1	3	Other	RW	0	31	0	2	1	0	132	132	1	0	1	0	0	0	0	0	0.0	12	6	50.0	0.31	0.43	2000-01	0	0	0	0	0	0	8	8	0	0	1	0	0	0	0	0	0.0	1	1	100.0	0.6	0.0	177.5	170
WHL	64	10	25	35	6	0	1	1	Not_In_NHL_AHL	C	7	0	0	1	0	0	10	0	1	0	2	2	0	0	0	0	0.0	0	0	0.0	0.55	0.0	2000-01	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.17	0.0	185.0	201
WHL	44	1	4	5	22	0	0	0	Not_In_NHL_AHL	LW	-3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.11	0.0	2000-01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	185.0	180
OHL	61	36	35	71	7	4	2	6	Not_In_NHL_AHL	RW	32	14	6	11	1	0	0	0	4	1	5	4	0	0	0	0	0.0	0	0	0.0	1.16	0.23	2000-01	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.86	0.29	180.0	183
WHL	5	0	5	5	0	0	0	0	Other	C	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	0.0	2000-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	182.5	200
OHL	65	42	39	81	0	0	0	0	NHL [0.6, 0.8)	C	-20	114	22	18	6	0	0	0	7	1	7	4	0	0	0	0	0.0	0	0	0.0	1.25	1.75	2000-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	172.5	184
WHL	71	22	28	50	0	0	0	0	AHL [0.4, 0.6)	C	-42	0	10	11	0	0	22	0	1	0	5	0	0	0	0	0	0.0	0	0	0.0	0.7	0.0	2000-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	182.5	208
WHL	70	16	33	49	0	0	0	0	AHL [0.4, 0.6)	C	-28	0	6	15	0	0	16	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.7	0.0	2000-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	187.5	185
OHL	52	15	23	38	0	0	0	0	Not_In_NHL_AHL	C	-7	21	3	6	0	0	0	0	2	0	3	1	0	0	0	0	0.0	0	0	0.0	0.73	0.4	2000-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	182.5	192
WHL	53	20	21	41	0	0	0	0	Other	C	-2	0	9	10	0	0	20	0	1	0	7	2	0	0	0	0	0.0	0	0	0.0	0.77	0.0	2000-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	182.5	193
WHL	68	8	8	16	0	0	0	0	Not_In_NHL_AHL	RW	-26	0	1	0	0	0	8	0	2	0	1	0	0	0	0	0	0.0	0	0	0.0	0.24	0.0	2000-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	180.0	181
WHL	65	19	39	58	0	0	0	0	NHL [0.0, 0.2)	C	-26	0	7	13	3	2	19	0	0	0	2	2	0	0	0	0	0.0	0	0	0.0	0.89	0.0	2000-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	175.0	212
QMJHL	65	6	12	18	0	0	0	0	Not_In_NHL_AHL	LW	0	94	1	1	0	0	77	77	0	0	0	0	0	0	0	0	0.0	97	51	52.6	0.28	1.45	2000-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	187.5	190
OHL	54	32	40	72	12	10	9	19	NHL [0.6, 0.8)	LW	-16	88	15	24	2	3	0	0	1	0	4	4	0	0	0	0	0.0	0	0	0.0	1.33	1.63	2001-02	-7	21	6	5	0	0	0	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	1.58	1.75	190.0	216
QMJHL	69	46	94	140	4	2	3	5	NHL [0.6, 0.8)	C	0	54	16	42	10	3	274	274	8	2	6	7	0	0	0	0	0.0	1661	789	47.5	2.03	0.78	2001-02	0	4	2	2	0	0	18	18	0	0	0	0	0	0	0	0	0.0	52	22	42.3	1.25	1.0	175.0	173
WHL	70	14	50	64	7	0	3	3	NHL [0.2, 0.4)	C	3	0	3	21	1	0	14	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	0.91	0.0	2001-02	-2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.43	0.0	182.5	198
WHL	66	22	29	51	23	10	12	22	NHL [0.4, 0.6)	RW	20	0	7	11	2	1	22	0	2	0	3	3	0	0	0	0	0.0	0	0	0.0	0.77	0.0	2001-02	4	0	2	3	1	0	10	0	2	0	2	1	0	0	0	0	0.0	0	0	0.0	0.96	0.0	182.5	200
OHL	62	27	30	57	9	5	2	7	NHL [0.2, 0.4)	C	-1	54	6	13	0	1	0	0	1	0	3	4	0	0	0	0	0.0	0	0	0.0	0.92	0.87	2001-02	-8	9	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.78	1.0	180.0	200
OHL	63	14	23	37	5	0	1	1	NHL [0.0, 0.2)	LW	-16	255	7	5	0	0	0	0	2	0	1	0	0	0	0	0	0.0	0	0	0.0	0.59	4.05	2001-02	-5	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.2	2.6	185.0	235
OHL	61	19	40	59	14	7	12	19	AHL [0.6, 0.8)	C	19	52	6	20	1	0	0	0	4	0	2	4	0	0	0	0	0.0	0	0	0.0	0.97	0.85	2001-02	1	20	5	3	0	0	0	0	1	1	1	2	0	0	0	0	0.0	0	0	0.0	1.36	1.43	180.0	188
OHL	61	28	32	60	4	0	2	2	AHL [0.2, 0.4)	RW	19	54	9	13	4	1	0	0	4	0	4	4	0	0	0	0	0.0	0	0	0.0	0.98	0.89	2001-02	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	0.0	175.0	195
WHL	70	22	36	58	4	0	0	0	NHL [0.4, 0.6)	C	-4	0	10	13	0	1	22	0	4	0	8	0	0	0	0	0	0.0	0	0	0.0	0.83	0.0	2001-02	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	182.5	200
QMJHL	66	22	48	70	14	5	7	12	Not_In_NHL_AHL	LW	0	83	14	24	0	1	151	151	2	0	6	6	0	0	0	0	0.0	88	35	39.8	1.06	1.26	2001-02	0	12	1	2	0	0	23	23	2	0	2	1	0	0	0	0	0.0	30	14	46.7	0.86	0.86	185.0	191
OHL	52	19	11	30	9	4	1	5	Not_In_NHL_AHL	LW	8	100	1	3	0	0	0	0	0	0	3	2	0	0	0	0	0.0	0	0	0.0	0.58	1.92	2001-02	-1	23	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0.0	0	0	0.0	0.56	2.56	185.0	214
OHL	68	8	12	20	6	0	1	1	Other	LW	4	27	1	2	0	0	0	0	0	0	2	1	0	0	0	0	0.0	0	0	0.0	0.29	0.4	2001-02	-1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.17	0.67	185.0	177
QMJHL	66	57	73	130	22	17	18	35	NHL [0.4, 0.6)	C	0	70	20	30	2	1	309	309	5	0	5	9	0	0	0	0	0.0	1739	887	51.0	1.97	1.06	2001-02	0	18	5	6	0	1	88	88	3	1	3	2	0	0	0	0	0.0	384	187	48.7	1.59	0.82	177.5	195
