League	GP	G	A	PTS	PGP	PG	PA	PPTS	Proj_PTS/GP	Position	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G	Year	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G	Height	Weight
QMJHL	68	22	41	63	16	4	9	13	Other	LW	0	267	7	20	0	0	178	178	2	1	4	5	0	0	0	0	0.0	69	31	44.9	0.93	3.93	2001-02	0	24	1	1	0	0	35	35	2	1	0	0	0	0	0	0	0.0	3	0	0.0	0.81	1.5	185.0	200
QMJHL	55	28	46	74	16	5	12	17	AHL [0.4, 0.6)	RW	0	104	9	15	1	1	223	223	8	0	4	4	0	0	0	0	0.0	128	68	53.1	1.35	1.89	2001-02	0	16	3	2	0	0	51	51	2	0	0	1	0	0	0	0	0.0	69	35	50.7	1.06	1.0	185.0	209
QMJHL	58	0	1	1	5	0	0	0	Not_In_NHL_AHL	LW	0	432	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.02	7.45	2001-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	185.0	205
WHL	62	16	14	30	23	5	3	8	Not_In_NHL_AHL	RW	22	0	2	4	0	0	16	0	4	0	3	0	0	0	0	0	0.0	0	0	0.0	0.48	0.0	2001-02	6	0	1	1	0	0	5	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.35	0.0	185.0	210
WHL	72	11	23	34	19	3	4	7	Not_In_NHL_AHL	C	8	0	0	0	0	0	11	0	3	1	0	1	0	0	0	0	0.0	0	0	0.0	0.47	0.0	2001-02	10	0	0	0	0	0	3	0	2	0	0	1	0	0	0	0	0.0	0	0	0.0	0.37	0.0	180.0	190
WHL	66	6	9	15	11	2	0	2	AHL [0.2, 0.4)	RW	-14	0	1	1	1	0	6	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.23	0.0	2001-02	-1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.18	0.0	185.0	216
QMJHL	70	8	5	13	12	1	0	1	Not_In_NHL_AHL	RW	0	295	1	0	0	0	79	79	2	0	2	2	0	0	0	0	0.0	23	11	47.8	0.19	4.21	2001-02	0	37	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0.0	2	0	0.0	0.08	3.08	180.0	202
WHL	52	29	35	64	19	11	10	21	NHL [0.2, 0.4)	C	19	0	13	10	0	0	29	0	3	0	6	1	0	0	0	0	0.0	0	0	0.0	1.23	0.0	2001-02	7	0	3	6	0	0	11	0	2	0	2	1	0	0	0	0	0.0	0	0	0.0	1.11	0.0	182.5	215
OHL	53	1	2	3	1	0	0	0	Not_In_NHL_AHL	LW	-7	75	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.06	1.42	2001-02	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	190.0	229
WHL	72	56	50	106	0	0	0	0	NHL [0.2, 0.4)	LW	11	0	19	16	8	0	56	0	5	1	8	7	0	0	0	0	0.0	0	0	0.0	1.47	0.0	2001-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	182.5	206
OHL	66	33	30	63	0	0	0	0	AHL [0.2, 0.4)	LW	-4	92	10	9	0	0	0	0	6	0	6	3	0	0	0	0	0.0	0	0	0.0	0.95	1.39	2001-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	190.0	216
OHL	47	6	24	30	0	0	0	0	Not_In_NHL_AHL	C	-17	24	1	7	0	0	0	0	0	0	2	0	0	0	0	0	0.0	0	0	0.0	0.64	0.51	2001-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	175.0	181
WHL	67	17	16	33	0	0	0	0	Other	C	-44	0	6	8	0	0	17	0	2	0	2	1	0	0	0	0	0.0	0	0	0.0	0.49	0.0	2001-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	180.0	176
WHL	37	8	9	17	0	0	0	0	AHL [0.4, 0.6)	RW	7	0	0	0	0	0	8	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.46	0.0	2001-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	185.0	205
OHL	66	39	59	98	7	9	5	14	NHL [1.0, ...]	C	20	36	10	20	6	1	0	0	5	2	7	2	0	0	0	0	0.0	0	0	0.0	1.48	0.55	2002-03	5	0	2	1	2	0	0	0	1	1	1	0	0	0	0	0	0.0	0	0	0.0	2.0	0.0	190.0	205
OHL	54	33	35	68	13	9	6	15	NHL [0.6, 0.8)	C	6	111	9	10	5	0	0	0	7	0	8	3	0	0	0	0	0.0	0	0	0.0	1.26	2.06	2002-03	2	0	2	3	0	0	0	0	3	1	1	0	0	0	0	0	0.0	0	0	0.0	1.15	0.0	185.0	229
OHL	58	34	42	76	11	7	8	15	NHL [0.6, 0.8)	RW	-9	89	15	19	3	2	0	0	1	0	5	2	0	0	0	0	0.0	0	0	0.0	1.31	1.53	2002-03	0	0	0	3	2	0	0	0	2	0	0	0	0	0	0	0	0.0	0	0	0.0	1.36	0.0	180.0	209
QMJHL	71	49	52	101	2	1	0	1	NHL [0.4, 0.6)	RW	0	90	16	21	0	0	238	238	5	1	9	4	0	0	0	0	0.0	35	16	45.7	1.42	1.27	2002-03	0	2	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	1.0	185.0	216
WHL	70	26	29	55	17	4	8	12	NHL [0.2, 0.4)	RW	17	0	10	12	1	2	26	0	2	0	6	7	0	0	0	0	0.0	0	0	0.0	0.79	0.0	2002-03	-1	0	2	5	0	0	4	0	3	1	1	0	0	0	0	0	0.0	0	0	0.0	0.71	0.0	190.0	212
WHL	70	29	39	68	5	1	1	2	NHL [1.0, ...]	C	8	0	8	17	6	2	29	0	3	0	4	1	0	0	0	0	0.0	0	0	0.0	0.97	0.0	2002-03	-2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.4	0.0	190.0	220
OHL	68	15	25	40	11	5	6	11	NHL [0.4, 0.6)	RW	5	0	4	1	2	2	0	0	2	1	3	0	0	0	0	0	0.0	0	0	0.0	0.59	0.0	2002-03	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0.0	0	0	0.0	1.0	0.0	192.5	219
OHL	67	25	53	78	14	7	16	23	NHL [0.6, 0.8)	RW	5	145	11	36	0	0	0	0	4	0	3	2	0	0	0	0	0.0	0	0	0.0	1.16	2.16	2002-03	-1	27	3	10	1	1	0	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	1.64	1.93	187.5	206
WHL	54	14	31	45	12	4	2	6	AHL [0.6, 0.8)	C	12	0	3	11	1	0	14	0	1	0	4	0	0	0	0	0	0.0	0	0	0.0	0.83	0.0	2002-03	3	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	0.0	185.0	207
OHL	53	19	42	61	11	3	5	8	NHL [0.2, 0.4)	C	17	12	2	18	4	0	0	0	1	0	4	4	0	0	0	0	0.0	0	0	0.0	1.15	0.23	2002-03	-1	4	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.73	0.36	185.0	194
QMJHL	71	35	43	78	7	9	6	15	AHL [0.4, 0.6)	C	0	28	10	15	3	1	252	252	3	0	5	1	0	0	0	0	0.0	1354	604	44.6	1.1	0.39	2002-03	0	6	3	4	0	0	32	32	1	0	1	1	0	0	0	0	0.0	210	86	41.0	2.14	0.86	185.0	195
QMJHL	72	37	46	83	24	5	15	20	AHL [0.6, 0.8)	C	0	32	7	12	0	0	198	198	6	0	8	7	0	0	0	0	0.0	1154	594	51.5	1.15	0.44	2002-03	0	12	1	9	0	0	68	68	1	0	1	1	0	0	0	0	0.0	378	212	56.1	0.83	0.5	175.0	174
QMJHL	72	33	51	84	11	6	9	15	AHL [0.6, 0.8)	C	0	44	16	15	0	0	237	237	2	0	4	4	0	0	0	0	0.0	1538	803	52.2	1.17	0.61	2002-03	0	10	2	3	1	1	48	48	1	0	2	1	0	0	0	0	0.0	306	156	51.0	1.36	0.91	180.0	200
QMJHL	70	23	50	73	11	6	9	15	Other	C	0	62	8	20	1	1	189	189	3	0	8	3	0	0	0	0	0.0	1152	679	58.9	1.04	0.89	2002-03	0	6	2	4	0	0	30	30	0	0	0	1	0	0	0	0	0.0	186	102	54.8	1.36	0.55	185.0	194
OHL	63	22	24	46	6	1	0	1	AHL [0.4, 0.6)	RW	16	133	3	8	2	1	0	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	0.73	2.11	2002-03	-5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.17	0.0	185.0	214
WHL	70	36	16	52	11	3	3	6	AHL [0.4, 0.6)	C	-11	0	13	6	1	0	36	0	3	0	5	3	0	0	0	0	0.0	0	0	0.0	0.74	0.0	2002-03	-4	0	2	2	0	0	3	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.55	0.0	185.0	200
OHL	56	40	41	81	5	2	9	11	NHL [0.6, 0.8)	C	-5	57	13	22	3	0	0	0	5	0	8	7	0	0	0	0	0.0	0	0	0.0	1.45	1.02	2002-03	2	18	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	2.2	3.6	177.5	190
QMJHL	67	29	29	58	21	9	8	17	Not_In_NHL_AHL	RW	0	43	14	8	0	0	179	179	6	0	2	2	0	0	0	0	0.0	11	6	54.5	0.87	0.64	2002-03	0	8	6	2	0	0	48	48	2	0	2	0	0	0	0	0	0.0	46	13	28.3	0.81	0.38	190.0	198
QMJHL	72	22	21	43	7	1	3	4	NHL [0.2, 0.4)	C	0	55	1	2	2	0	136	136	1	0	2	4	0	0	0	0	0.0	1233	646	52.4	0.6	0.76	2002-03	0	6	0	0	0	0	21	21	0	0	1	0	0	0	0	0	0.0	179	78	43.6	0.57	0.86	185.0	207
WHL	65	15	20	35	23	1	2	3	Not_In_NHL_AHL	LW	15	0	5	7	0	0	15	0	2	0	2	3	0	0	0	0	0.0	0	0	0.0	0.54	0.0	2002-03	7	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.13	0.0	185.0	184
QMJHL	67	12	21	33	12	4	2	6	AHL [0.6, 0.8)	LW	0	123	0	3	0	1	104	104	7	0	2	1	0	0	0	0	0.0	260	141	54.2	0.49	1.84	2002-03	0	13	0	0	0	0	33	33	0	0	1	0	0	0	0	0	0.0	28	10	35.7	0.5	1.08	187.5	231
WHL	69	15	37	52	22	7	6	13	AHL [0.4, 0.6)	C	24	0	1	17	1	2	15	0	2	1	4	2	0	0	0	0	0.0	0	0	0.0	0.75	0.0	2002-03	8	0	0	2	0	0	7	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	0.59	0.0	182.5	193
WHL	51	27	27	54	5	1	1	2	AHL [0.4, 0.6)	RW	0	0	9	7	1	1	27	0	3	0	5	0	0	0	0	0	0.0	0	0	0.0	1.06	0.0	2002-03	-4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.4	0.0	185.0	208
OHL	68	29	37	66	6	0	4	4	NHL [0.4, 0.6)	LW	11	157	15	20	0	0	0	0	2	1	5	5	0	0	0	0	0.0	0	0	0.0	0.97	2.31	2002-03	-5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.67	0.0	180.0	205
WHL	70	23	52	75	11	3	6	9	AHL [0.8, 1.0)	C	-27	0	7	29	1	0	23	0	3	0	2	2	0	0	0	0	0.0	0	0	0.0	1.07	0.0	2002-03	2	0	2	3	0	0	3	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.82	0.0	180.0	191
WHL	60	17	51	68	4	0	4	4	AHL [0.2, 0.4)	C	-2	0	4	22	0	2	17	0	3	1	2	2	0	0	0	0	0.0	0	0	0.0	1.13	0.0	2002-03	-2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	0.0	177.5	184
WHL	67	21	35	56	6	3	0	3	Other	C	15	0	7	14	1	0	21	0	3	0	1	3	0	0	0	0	0.0	0	0	0.0	0.84	0.0	2002-03	1	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	0.0	185.0	184
WHL	38	9	6	15	16	6	5	11	Not_In_NHL_AHL	RW	-2	0	4	2	1	0	9	0	1	0	4	0	0	0	0	0	0.0	0	0	0.0	0.39	0.0	2002-03	4	0	2	3	0	0	6	0	0	0	2	1	0	0	0	0	0.0	0	0	0.0	0.69	0.0	185.0	187
OHL	65	11	15	26	7	0	1	1	Not_In_NHL_AHL	LW	1	108	1	2	0	0	0	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	0.4	1.66	2002-03	-4	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.14	1.14	190.0	210
QMJHL	68	22	34	56	20	2	4	6	AHL [0.4, 0.6)	C	0	89	5	18	0	0	189	189	4	2	2	2	0	0	0	0	0.0	1238	666	53.8	0.82	1.31	2002-03	0	22	1	2	0	0	28	28	1	0	0	0	0	0	0	0	0.0	300	134	44.7	0.3	1.1	180.0	196
OHL	68	36	52	88	13	10	7	17	AHL [1.0, ...]	C	0	57	13	20	2	2	0	0	6	0	8	2	0	0	0	0	0.0	0	0	0.0	1.29	0.84	2002-03	-5	0	3	3	0	0	0	0	0	0	0	2	0	0	0	0	0.0	0	0	0.0	1.31	0.0	182.5	192
OHL	68	31	29	60	7	3	4	7	AHL [0.4, 0.6)	C	4	32	16	6	1	0	0	0	4	1	5	2	0	0	0	0	0.0	0	0	0.0	0.88	0.47	2002-03	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	0.0	180.0	207
OHL	66	63	88	151	23	19	19	38	AHL [0.8, 1.0)	C	47	83	21	30	8	8	0	0	5	1	8	9	0	0	0	0	0.0	0	0	0.0	2.29	1.26	2002-03	14	30	7	5	2	3	0	0	4	2	3	1	0	0	0	0	0.0	0	0	0.0	1.65	1.3	172.5	175
QMJHL	64	15	18	33	4	0	0	0	AHL [0.0, 0.2)	RW	0	233	7	2	1	1	129	129	2	0	1	0	0	0	0	0	0.0	83	31	37.3	0.52	3.64	2002-03	0	4	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0.0	5	2	40.0	0.0	1.0	185.0	210
QMJHL	66	14	29	43	4	0	2	2	AHL [0.4, 0.6)	C	0	131	4	7	1	0	149	149	0	0	3	1	0	0	0	0	0.0	405	184	45.4	0.65	1.98	2002-03	0	2	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0.0	60	29	48.3	0.5	0.5	182.5	197
WHL	68	17	25	42	15	4	6	10	Not_In_NHL_AHL	C	17	0	4	9	0	0	17	0	4	0	1	2	0	0	0	0	0.0	0	0	0.0	0.62	0.0	2002-03	1	0	2	3	0	0	4	0	1	1	1	0	0	0	0	0	0.0	0	0	0.0	0.67	0.0	187.5	205
WHL	72	47	45	92	11	4	8	12	NHL [0.4, 0.6)	LW	2	0	22	24	0	1	47	0	9	1	6	4	0	0	0	0	0.0	0	0	0.0	1.28	0.0	2002-03	-4	0	2	5	0	0	4	0	1	1	2	0	0	0	0	0	0.0	0	0	0.0	1.09	0.0	172.5	200
OHL	68	18	37	55	18	2	10	12	AHL [0.6, 0.8)	C	18	31	3	11	0	0	0	0	2	0	4	1	0	0	0	0	0.0	0	0	0.0	0.81	0.46	2002-03	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.67	0.0	182.5	204
OHL	67	27	40	67	4	1	1	2	AHL [1.0, ...]	C	-10	54	6	18	2	1	0	0	5	1	3	1	0	0	0	0	0.0	0	0	0.0	1.0	0.81	2002-03	-4	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	2.5	177.5	192
OHL	61	21	22	43	11	2	1	3	AHL [0.4, 0.6)	C	22	6	3	3	3	0	0	0	5	1	3	1	0	0	0	0	0.0	0	0	0.0	0.7	0.1	2002-03	-2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.27	0.18	180.0	180
WHL	49	8	6	14	13	2	1	3	Other	C	4	0	0	0	0	0	8	0	0	0	1	2	0	0	0	0	0.0	0	0	0.0	0.29	0.0	2002-03	-4	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.23	0.0	185.0	173
WHL	67	9	6	15	15	3	1	4	Other	RW	7	0	0	1	0	0	9	0	2	0	3	0	0	0	0	0	0.0	0	0	0.0	0.22	0.0	2002-03	1	0	1	0	0	0	3	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.27	0.0	190.0	210
WHL	61	10	24	34	15	5	4	9	AHL [0.4, 0.6)	LW	7	0	2	4	0	0	10	0	2	0	0	0	0	0	0	0	0.0	0	0	0.0	0.56	0.0	2002-03	1	0	1	1	1	1	5	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	0.6	0.0	180.0	210
QMJHL	72	9	18	27	20	1	6	7	Other	LW	0	143	0	0	0	0	63	63	0	0	0	1	0	0	0	0	0.0	149	46	30.9	0.38	1.99	2002-03	0	20	0	0	0	0	19	19	0	0	1	0	0	0	0	0	0.0	53	17	32.1	0.35	1.0	190.0	208
WHL	67	17	15	32	23	6	5	11	Not_In_NHL_AHL	LW	16	0	2	6	0	0	17	0	4	0	2	4	0	0	0	0	0.0	0	0	0.0	0.48	0.0	2002-03	9	0	1	0	0	0	6	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.48	0.0	185.0	180
QMJHL	62	0	1	1	9	0	0	0	Other	RW	0	232	0	0	0	0	19	19	0	0	0	0	0	0	0	0	0.0	3	2	66.7	0.02	3.74	2002-03	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	5.0	187.5	240
WHL	67	25	20	45	19	8	4	12	AHL [0.2, 0.4)	RW	31	0	8	5	1	2	25	0	6	0	5	3	0	0	0	0	0.0	0	0	0.0	0.67	0.0	2002-03	8	0	3	4	0	0	8	0	2	0	1	1	0	0	0	0	0.0	0	0	0.0	0.63	0.0	185.0	206
WHL	72	32	30	62	13	5	3	8	NHL [0.2, 0.4)	C	4	0	12	13	2	1	32	0	3	1	5	6	0	0	0	0	0.0	0	0	0.0	0.86	0.0	2002-03	2	0	1	0	0	0	5	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.62	0.0	185.0	209
WHL	71	43	42	85	4	2	1	3	Not_In_NHL_AHL	C	-7	0	17	15	1	0	43	0	4	0	5	3	0	0	0	0	0.0	0	0	0.0	1.2	0.0	2002-03	-6	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.75	0.0	175.0	171
WHL	72	41	52	93	4	1	0	1	AHL [0.6, 0.8)	RW	17	0	19	21	0	0	41	0	8	0	5	7	0	0	0	0	0.0	0	0	0.0	1.29	0.0	2002-03	-5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.25	0.0	180.0	191
QMJHL	72	38	49	87	24	10	17	27	Not_In_NHL_AHL	C	0	24	8	7	2	0	154	154	6	1	8	5	0	0	0	0	0.0	183	54	29.5	1.21	0.33	2002-03	0	12	4	7	3	0	66	66	1	0	2	2	0	0	0	0	0.0	80	22	27.5	1.13	0.5	180.0	180
QMJHL	72	28	42	70	4	0	0	0	AHL [0.4, 0.6)	C	0	58	14	19	1	0	228	228	2	0	8	1	0	0	0	0	0.0	884	477	54.0	0.97	0.81	2002-03	0	6	0	0	0	0	13	13	0	0	0	0	0	0	0	0	0.0	72	31	43.1	0.0	1.5	180.0	185
QMJHL	72	24	26	50	6	2	2	4	Not_In_NHL_AHL	LW	0	60	13	5	0	0	177	177	1	0	5	2	0	0	0	0	0.0	35	15	42.9	0.69	0.83	2002-03	0	2	2	2	0	0	12	12	0	0	0	1	0	0	0	0	0.0	3	1	33.3	0.67	0.33	190.0	195
WHL	75	15	25	40	5	0	1	1	Not_In_NHL_AHL	C	3	0	3	8	2	1	15	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.53	0.0	2002-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.2	0.0	182.5	202
WHL	71	7	13	20	6	1	0	1	AHL [0.2, 0.4)	RW	13	0	0	2	0	0	7	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	0.28	0.0	2002-03	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.17	0.0	180.0	197
QMJHL	65	1	5	6	7	0	0	0	Other	LW	0	261	0	1	0	0	18	18	1	0	1	0	0	0	0	0	0.0	1	0	0.0	0.09	4.02	2002-03	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	1.71	185.0	216
QMJHL	60	11	51	62	9	3	8	11	AHL [0.4, 0.6)	C	0	33	4	22	0	0	150	150	2	1	0	4	0	0	0	0	0.0	1257	661	52.6	1.03	0.55	2002-03	0	8	3	6	0	0	23	23	1	0	1	0	0	0	0	0	0.0	225	114	50.7	1.22	0.89	175.0	165
QMJHL	69	20	27	47	4	0	0	0	Not_In_NHL_AHL	LW	0	62	5	9	0	0	165	165	2	1	3	1	0	0	0	0	0.0	81	35	43.2	0.68	0.9	2002-03	0	14	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0.0	2	1	50.0	0.0	3.5	180.0	185
QMJHL	66	7	12	19	11	0	1	1	Not_In_NHL_AHL	LW	0	37	2	1	0	0	74	74	1	0	0	0	0	0	0	0	0.0	62	24	38.7	0.29	0.56	2002-03	0	2	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.09	0.18	190.0	195
OHL	68	41	71	112	3	1	2	3	AHL [0.6, 0.8)	C	37	75	4	46	3	3	0	0	7	1	7	3	0	0	0	0	0.0	0	0	0.0	1.65	1.1	2002-03	-2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	0.0	175.0	176
OHL	55	11	19	30	19	4	9	13	Other	C	-10	0	6	9	0	1	0	0	2	0	2	1	0	0	0	0	0.0	0	0	0.0	0.55	0.0	2002-03	-2	10	2	7	0	0	0	0	2	0	1	0	0	0	0	0	0.0	0	0	0.0	0.68	0.53	182.5	173
OHL	60	30	32	62	6	4	2	6	Not_In_NHL_AHL	RW	25	112	18	10	0	0	0	0	8	1	5	2	0	0	0	0	0.0	0	0	0.0	1.03	1.87	2002-03	-3	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	1.0	0.0	182.5	215
WHL	35	4	4	8	11	1	1	2	AHL [0.2, 0.4)	RW	2	0	0	1	0	0	4	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	0.23	0.0	2002-03	-1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.18	0.0	190.0	196
WHL	50	4	8	12	19	2	4	6	Not_In_NHL_AHL	RW	-1	0	0	0	0	0	4	0	0	0	1	2	0	0	0	0	0.0	0	0	0.0	0.24	0.0	2002-03	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.32	0.0	180.0	209
QMJHL	65	32	41	73	0	0	0	0	AHL [0.8, 1.0)	C	0	100	13	19	1	0	268	268	2	0	4	0	0	0	0	0	0.0	1368	710	51.9	1.12	1.54	2002-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	185.0	193
OHL	68	32	38	70	0	0	0	0	AHL [0.4, 0.6)	RW	-25	47	8	8	0	1	0	0	8	2	2	3	0	0	0	0	0.0	0	0	0.0	1.03	0.69	2002-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	187.5	230
WHL	58	20	28	48	0	0	0	0	AHL [0.2, 0.4)	C	-7	0	5	9	4	0	20	0	2	0	1	0	0	0	0	0	0.0	0	0	0.0	0.83	0.0	2002-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	185.0	195
OHL	62	13	16	29	0	0	0	0	NHL [0.0, 0.2)	RW	-26	222	5	5	0	0	0	0	0	0	3	2	0	0	0	0	0.0	0	0	0.0	0.47	3.58	2002-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	190.0	215
QMJHL	65	19	21	40	0	0	0	0	Not_In_NHL_AHL	C	0	144	7	6	0	1	158	158	1	0	1	1	0	0	0	0	0.0	702	286	40.7	0.62	2.22	2002-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	180.0	173
QMJHL	71	20	34	54	0	0	0	0	Not_In_NHL_AHL	LW	0	87	6	12	0	0	150	150	2	0	5	0	0	0	0	0	0.0	462	241	52.2	0.76	1.23	2002-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	185.0	190
QMJHL	65	10	14	24	0	0	0	0	Other	RW	0	131	3	3	0	0	158	158	0	0	2	0	0	0	0	0	0.0	148	61	41.2	0.37	2.02	2002-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	185.0	194
WHL	69	9	20	29	0	0	0	0	NHL [0.0, 0.2)	C	-11	0	3	2	0	1	9	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.42	0.0	2002-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	185.0	224
WHL	71	30	45	75	7	1	6	7	NHL [0.6, 0.8)	LW	39	56	7	14	5	0	30	0	4	0	7	5	0	0	0	0	0.0	0	0	0.0	1.06	0.79	2003-04	4	10	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	1.0	1.43	187.5	205
QMJHL	69	39	41	80	7	7	4	11	AHL [0.6, 0.8)	LW	5	88	15	23	2	0	252	252	6	1	9	4	0	0	0	0	0.0	33	16	48.5	1.16	1.28	2003-04	2	6	4	1	0	0	41	41	0	0	0	1	0	0	0	0	0.0	0	0	0.0	1.57	0.86	185.0	206
WHL	64	15	33	48	6	2	4	6	AHL [0.6, 0.8)	C	6	47	7	9	1	2	15	0	2	0	2	3	0	0	0	0	0.0	0	0	0.0	0.75	0.73	2003-04	-1	12	1	3	0	0	2	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	2.0	185.0	206
OHL	66	29	41	70	12	5	3	8	NHL [0.4, 0.6)	LW	3	30	8	13	1	1	0	0	3	0	2	1	0	0	0	0	0.0	0	0	0.0	1.06	0.45	2003-04	-4	8	2	1	0	0	0	0	2	0	1	1	0	0	0	0	0.0	0	0	0.0	0.67	0.67	187.5	215
