Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Conor Garland	RW	Mon	67	35	94	129	21	66	5	46	2	1	263	179	8	0	4	1	10	5	10	3	50.0	34	17	50.0	1.93	0.99
Danick Martel	C	BLB	64	48	54	102	38	85	20	24	1	0	276	180	7	0	10	6	9	2	9	1	22.2	832	388	46.6	1.59	1.33
Nikolaj Ehlers	LW	Hal	51	37	64	101	26	67	8	31	5	1	248	132	4	0	5	4	3	1	3	1	33.3	161	64	39.8	1.98	1.31
Nikita Jevpalovs	LW	BLB	64	49	51	100	37	30	17	33	1	0	212	152	9	0	9	6	10	3	10	1	30.0	686	378	55.1	1.56	0.47
Angelo Miceli	C	Vic	64	38	58	96	1	50	13	18	0	0	221	153	6	0	4	0	5	1	5	1	20.0	1432	756	52.8	1.5	0.78
Alexis Loiseau	C	Rim	68	35	61	96	48	42	5	19	5	4	189	116	3	0	8	8	5	2	5	2	40.0	1558	823	52.8	1.41	0.62
Ivan Barbashev	C	Mon	57	45	50	95	16	59	15	24	0	2	223	167	4	2	4	11	7	2	7	2	28.6	1134	580	51.1	1.67	1.04
Anthony Beauvillier	C	Sha	67	42	52	94	16	72	16	31	4	0	337	180	8	0	6	3	3	2	3	0	66.7	1571	922	58.7	1.4	1.07
Anthony DeLuca	LW	Rim	68	44	47	91	32	63	16	13	0	0	322	161	9	1	7	5	5	0	5	0	0.0	37	17	45.9	1.34	0.93
Anthony Richard	C	VdO	66	43	48	91	-9	78	13	29	3	4	290	143	4	0	5	5	9	2	9	0	22.2	133	61	45.9	1.38	1.18
Timo Meier	RW	Hal	61	44	46	90	20	59	23	12	0	0	316	184	10	1	7	4	4	1	4	1	25.0	156	68	43.6	1.48	0.97
Dmytro Timashov	LW	Que	66	19	71	90	17	54	5	19	0	0	127	58	3	0	3	2	5	1	5	0	20.0	6	4	66.7	1.36	0.82
Kyle Farrell	C	Cap	63	42	46	88	6	24	7	20	7	0	276	168	4	0	7	5	5	1	5	0	20.0	1282	753	58.7	1.4	0.38
Daniel Sprong	RW	Cha	68	39	49	88	-23	18	16	25	0	0	270	135	4	1	7	0	6	0	6	0	0.0	18	5	27.8	1.29	0.26
Anthony Beauregard	C	VdO	68	29	58	87	9	40	7	23	1	1	121	79	6	0	3	4	7	3	7	1	42.9	1314	763	58.1	1.28	0.59
Adam Erne	LW	Que	60	41	45	86	21	102	12	17	2	1	260	119	5	1	7	5	3	0	3	0	0.0	637	343	53.8	1.43	1.7
Maxime St-Cyr	C	BaC	68	54	30	84	-12	30	24	13	3	0	299	192	3	0	10	6	8	4	8	2	50.0	1585	824	52.0	1.24	0.44
Mathieu Lemay	RW	Rou	68	44	39	83	0	54	14	17	0	0	283	159	9	0	6	4	5	3	5	2	60.0	14	5	35.7	1.22	0.79
Samuel Blais	LW	Vic	61	34	48	82	-4	50	13	21	0	0	169	128	4	0	6	2	4	2	4	0	50.0	15	7	46.7	1.34	0.82
Nicolas Aube-Kubel	RW	VdO	61	38	42	80	13	81	12	15	3	1	208	118	4	0	2	7	8	3	8	1	37.5	28	10	35.7	1.31	1.33
Maxim Lazarev	LW	Cap	65	36	44	80	2	24	12	12	0	1	168	113	7	0	5	6	5	3	5	1	60.0	30	14	46.7	1.23	0.37
Evgeny Svechnikov	RW	Cap	55	32	46	78	19	70	10	16	0	1	183	114	3	0	5	1	3	1	3	0	33.3	205	93	45.4	1.42	1.27
Luca Ciampini	LW	BaC	68	33	44	77	4	88	6	25	0	0	210	101	5	0	6	6	7	2	7	1	28.6	26	9	34.6	1.13	1.29
Louick Marcotte	LW	Gat	63	36	40	76	3	69	11	15	3	0	208	109	3	0	8	1	3	1	3	1	33.3	57	23	40.4	1.21	1.1
Christopher Clapperton	LW	Rim	61	35	41	76	33	77	10	10	6	0	229	120	3	0	7	4	4	1	4	0	25.0	18	6	33.3	1.25	1.26
Francis Perron	LW	Rou	64	29	47	76	-1	39	13	24	2	4	245	122	3	0	1	2	5	2	5	0	40.0	209	93	44.5	1.19	0.61
Filip Chlapik	C	Cha	64	33	42	75	-16	42	10	20	0	0	195	99	5	0	4	5	6	1	6	1	16.7	886	432	48.8	1.17	0.66
Laurent Dauphin	C	Chi	56	31	44	75	0	74	7	23	1	0	299	127	4	0	5	5	4	3	4	1	75.0	914	488	53.4	1.34	1.32
Pierre-Maxime Poudrier	C	VdO	68	29	46	75	2	40	10	19	4	2	152	93	0	0	3	0	0	0	0	0	0.0	1563	819	52.4	1.1	0.59
Julien Gauthier	RW	VdO	68	38	35	73	6	46	15	14	0	0	236	133	7	2	8	2	3	0	3	0	0.0	6	1	16.7	1.07	0.68
Christophe Lalonde	RW	Sha	50	35	38	73	14	43	16	16	1	1	170	111	8	0	5	4	1	0	1	0	0.0	389	174	44.7	1.46	0.86
Daniel Audette	C	She	60	29	44	73	-16	64	14	22	0	0	196	123	5	1	0	1	5	3	5	0	60.0	846	378	44.7	1.22	1.07
Philippe Sanche	RW	BLB	65	36	36	72	23	55	20	16	1	0	229	164	7	0	4	6	9	4	9	1	44.4	16	9	56.3	1.11	0.85
Danny Moynihan	C	Hal	62	33	37	70	14	54	13	11	0	0	182	132	2	0	5	3	3	0	3	0	0.0	1132	675	59.6	1.13	0.87
Ryan Penny	C	Rou	66	32	38	70	5	64	8	9	0	1	194	118	3	0	9	4	0	0	0	0	0.0	1462	731	50.0	1.06	0.97
Frederic Gamelin	C	BaC	63	12	57	69	10	62	2	18	1	0	144	58	2	0	1	0	1	1	1	1	100.0	1240	678	54.7	1.1	0.98
Kay Schweri	RW	She	53	12	56	68	10	16	5	23	0	0	76	64	2	1	3	1	7	3	7	2	42.9	4	0	0.0	1.28	0.3
Yakov Trenin	LW	Gat	58	18	49	67	17	34	6	13	0	1	189	123	1	0	4	3	7	4	7	0	57.1	348	157	45.1	1.16	0.59
Tim Wieser	LW	She	61	38	28	66	-10	52	18	13	1	0	192	126	5	0	7	1	9	3	9	1	33.3	32	11	34.4	1.08	0.85
Dennis Yan	LW	Sha	59	33	31	64	23	71	10	12	0	0	200	129	3	1	6	2	3	0	3	0	0.0	14	4	28.6	1.08	1.2
Nathan Noel	C	SNB	66	24	38	62	0	61	8	16	2	0	141	86	1	0	2	4	9	2	9	1	22.2	1019	542	53.2	0.94	0.92
Alexandre Goulet	LW	Cha	65	35	26	61	-1	52	14	8	2	0	197	148	5	1	5	3	3	1	3	0	33.3	402	212	52.7	0.94	0.8
Julien Nantel	C	Rou	64	26	35	61	4	34	7	14	5	1	206	124	4	2	5	2	5	2	5	1	40.0	956	449	47.0	0.95	0.53
Kurt Etchegary	C	Que	65	25	35	60	26	90	2	4	2	0	159	82	2	0	6	2	0	0	0	0	0.0	1367	775	56.7	0.92	1.38
Gabriel Gagne	RW	Vic	67	35	24	59	2	39	9	6	0	0	255	152	3	0	0	2	4	1	4	0	25.0	17	5	29.4	0.88	0.58
Cameron Darcy	C	She	56	21	38	59	-13	48	7	17	0	2	201	135	2	1	3	1	3	0	3	0	0.0	1047	553	52.8	1.05	0.86
Philippe Gadoury	C	Hal	59	28	30	58	-3	29	9	17	0	0	205	133	5	0	4	4	4	1	4	0	25.0	457	215	47.0	0.98	0.49
Alexis D'Aoust	RW	Sha	63	24	33	57	9	26	6	16	0	1	204	134	3	0	3	5	1	0	1	0	0.0	32	10	31.3	0.9	0.41
Nikolas Brouillard	D	Que	61	17	40	57	6	100	10	23	0	0	177	42	4	2	1	0	0	0	0	0	0.0	0	0	0.0	0.93	1.64
Guillaume Gauthier	LW	Que	66	27	29	56	-8	31	14	10	0	0	157	68	2	0	2	2	6	2	6	2	33.3	90	40	44.4	0.85	0.47
Spencer Smallman	RW	SNB	66	23	33	56	17	73	4	15	4	1	142	88	3	0	2	3	5	2	5	1	40.0	54	14	25.9	0.85	1.11
Jeremie Fraser	D	VdO	51	12	44	56	5	155	4	21	1	3	137	39	2	0	1	1	2	0	2	0	0.0	1	1	100.0	1.1	3.04
