Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Philip-Michael Devos	C	Gat	68	47	67	114	29	31	6	29	5	2	192	123	7	1	7	7	5	1	5	1	20.0	1763	964	54.7	1.68	0.46
Gabriel Levesque	C	Bat	68	37	70	107	33	29	11	37	2	0	160	97	5	1	2	3	6	3	6	1	50.0	1154	550	47.7	1.57	0.43
Jonathan Huberdeau	C	SNB	67	43	62	105	59	88	13	17	3	2	202	162	7	1	3	4	7	5	7	2	71.4	280	114	40.7	1.57	1.31
Ondrej Palat	LW	Dru	61	39	57	96	37	24	15	23	2	1	263	161	7	2	5	8	7	4	7	2	57.1	48	17	35.4	1.57	0.39
Sean Couturier	C	Dru	58	36	60	96	55	36	9	24	4	4	223	138	3	2	6	6	6	1	6	0	16.7	1430	778	54.4	1.66	0.62
Jonathan Audy-Marchessault	C	Qué	68	40	55	95	33	41	10	13	1	1	265	120	11	1	10	2	2	1	2	0	50.0	448	251	56.0	1.4	0.6
Zack Phillips	RW	SNB	67	38	57	95	48	16	15	16	1	0	230	139	7	0	7	2	2	0	2	0	0.0	969	435	44.9	1.42	0.24
Alex Saulnier	C	Mon	65	25	60	85	7	8	9	30	1	1	139	88	3	0	3	3	7	1	7	1	14.3	1481	782	52.8	1.31	0.12
Etienne Brodeur	LW	Lew	68	53	30	83	22	71	10	8	9	1	239	194	6	2	7	6	0	0	0	0	0.0	31	11	35.5	1.22	1.04
Jonathan Hazen	RW	VdO	62	41	42	83	-16	29	18	15	2	0	208	136	3	0	9	1	7	1	7	1	14.3	107	34	31.8	1.34	0.47
Guillaume Asselin	RW	Chi	66	35	47	82	9	39	12	16	0	0	162	110	5	1	7	4	7	2	7	1	28.6	10	3	30.0	1.24	0.59
Michael Kirkpatrick	C	SNB	63	31	51	82	47	44	11	19	1	2	238	184	4	0	7	3	4	0	4	0	0.0	882	480	54.4	1.3	0.7
Joel Champagne	C	Qué	68	24	58	82	31	47	8	18	0	0	197	91	7	2	0	2	1	0	1	0	0.0	1435	879	61.3	1.21	0.69
Ben Duffy	C	PEI	68	37	44	81	13	4	12	14	0	0	190	131	5	0	2	3	1	0	1	0	0.0	790	374	47.3	1.19	0.06
Marek Hrivik	LW	Mon	59	38	41	79	-8	18	11	27	0	0	250	158	4	0	5	3	3	0	3	0	0.0	51	29	56.9	1.34	0.31
Jean-Gabriel Pageau	C	Gat	67	32	47	79	23	22	12	19	1	1	187	139	6	0	5	3	6	1	6	0	16.7	1431	800	55.9	1.18	0.33
Dave Labrecque	C	Sha	58	27	48	75	17	57	7	23	0	1	205	109	1	0	2	4	5	3	5	2	60.0	1042	626	60.1	1.29	0.98
Felix Lefrancois	C	Rim	65	26	49	75	2	49	10	24	3	2	216	117	5	0	5	2	6	3	6	1	50.0	1123	581	51.7	1.15	0.75
Benjamin Casavant	LW	Sha	68	31	42	73	18	37	10	15	0	0	193	121	5	1	4	7	3	1	3	1	33.3	30	10	33.3	1.07	0.54
Allain Saulnier	RW	Mon	68	31	40	71	-2	48	16	16	1	1	176	107	4	0	6	4	9	4	9	1	44.4	306	148	48.4	1.04	0.71
Andrej Nestrasil	RW	PEI	58	19	51	70	13	40	4	18	0	0	160	77	2	0	2	1	6	1	6	1	16.7	11	3	27.3	1.21	0.69
Ryan Kavanagh	D	Sha	68	17	53	70	8	18	10	34	0	0	209	63	1	1	2	0	2	0	2	0	0.0	2	1	50.0	1.03	0.26
Sebastien Trudeau	RW	Bat	68	33	36	69	26	25	10	19	0	1	185	125	5	0	8	6	8	2	8	2	25.0	34	7	20.6	1.01	0.37
Philippe Maillet	C	Vic	67	31	38	69	7	17	6	12	0	0	184	104	2	0	5	4	6	3	6	1	50.0	1382	652	47.2	1.03	0.25
Yanni Gourde	C	Vic	68	26	42	68	28	48	6	8	2	1	182	122	2	0	5	3	0	0	0	0	0.0	247	78	31.6	1.0	0.71
Brandon Hynes	RW	Vic	66	33	34	67	-1	53	9	11	0	0	303	128	6	1	5	3	9	4	9	2	44.4	2	2	100.0	1.02	0.8
Alex Belzile	RW	Rim	64	27	40	67	-4	78	11	15	2	1	129	69	3	0	5	3	4	1	4	1	25.0	655	362	55.3	1.05	1.22
Phillip Danault	C	Vic	64	23	44	67	17	59	5	6	4	4	158	85	3	0	0	2	4	0	4	0	0.0	682	304	44.6	1.05	0.92
Jonathan Lessard	RW	Bat	62	37	29	66	7	70	17	14	1	0	198	111	8	0	7	4	4	1	4	0	25.0	80	33	41.3	1.06	1.13
Stanislav Galiev	LW	SNB	64	37	28	65	36	40	1	7	0	0	214	137	9	1	4	5	1	0	1	0	0.0	27	11	40.7	1.02	0.63
Zach O'Brien	RW	Bat	58	29	36	65	27	0	12	11	1	0	174	119	5	0	6	4	5	3	5	1	60.0	111	59	53.2	1.12	0.0
Tye McGinn	LW	Gat	42	31	33	64	30	39	10	9	0	0	135	88	7	1	4	5	4	1	4	0	25.0	67	31	46.3	1.52	0.93
Michael Bournival	C	Sha	56	28	36	64	4	28	10	22	0	1	212	107	5	1	6	4	3	0	3	0	0.0	976	531	54.4	1.14	0.5
Trevor Parkes	RW	Mtl	60	33	29	62	26	32	12	4	1	1	210	146	5	0	5	7	6	0	6	0	0.0	34	14	41.2	1.03	0.53
Steven Anthony	LW	SNB	61	23	37	60	35	23	6	8	0	1	146	115	4	0	2	5	2	1	2	1	50.0	430	221	51.4	0.98	0.38
Charles Hudon	LW	Chi	63	23	37	60	26	42	3	11	1	0	160	92	1	0	3	3	7	2	7	0	28.6	72	34	47.2	0.95	0.67
David Rose	RW	Mtl	62	22	38	60	19	48	6	16	0	1	159	85	7	0	4	2	8	4	8	0	50.0	43	20	46.5	0.97	0.77
Ryan Bourque	LW	Qué	49	26	33	59	14	22	6	11	0	3	154	64	2	1	7	6	4	2	4	2	50.0	22	6	27.3	1.2	0.45
Michael Chaput	C	Lew	62	25	34	59	23	97	7	13	1	1	176	115	2	0	3	5	3	0	3	0	0.0	1324	746	56.3	0.95	1.56
Louis Leblanc	C	Mtl	51	26	32	58	20	100	11	16	0	0	240	112	3	0	7	1	7	3	7	2	42.9	953	484	50.8	1.14	1.96
Frederick Roy	LW	Qué	65	26	32	58	24	58	9	14	4	2	131	77	5	1	4	4	0	0	0	0	0.0	479	238	49.7	0.89	0.89
Tomas Jurco	RW	SNB	60	31	25	56	46	17	10	8	0	0	179	117	7	0	3	7	6	5	6	2	83.3	10	6	60.0	0.93	0.28
