Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Peter Abbandonato	C	Rou	68	29	82	111	71	14	6	28	2	3	239	103	3	0	1	2	3	1	3	0	33.3	1261	671	53.2	1.63	0.21
Ivan Chekhovich	LW	BaC	66	43	62	105	42	38	11	13	2	2	282	154	8	0	6	3	4	1	4	1	25.0	5	2	40.0	1.59	0.58
Alexis Lafreniere	LW	Rim	61	37	68	105	52	72	10	25	0	1	208	112	8	1	9	3	2	2	2	1	100.0	53	23	43.4	1.72	1.18
Joseph Veleno	C	Dru	59	42	62	104	63	19	6	22	7	1	247	143	8	1	4	7	2	2	2	1	100.0	980	504	51.4	1.76	0.32
Jeremy McKenna	RW	Mon	68	45	52	97	12	35	18	17	0	0	364	224	8	1	9	6	8	5	8	2	62.5	177	95	53.7	1.43	0.51
Jimmy Huntington	C	Rim	66	40	52	92	41	52	13	19	3	1	189	121	5	0	6	8	2	1	2	0	50.0	1541	854	55.4	1.39	0.79
Jakob Pelletier	LW	Mon	65	39	50	89	27	24	9	18	2	2	223	169	6	0	4	6	6	0	6	0	0.0	63	27	42.9	1.37	0.37
Nathan Legare	RW	BaC	68	45	42	87	37	52	14	16	0	0	271	127	6	0	6	4	4	2	4	1	50.0	302	140	46.4	1.28	0.76
Nicolas Guay	RW	Dru	64	40	47	87	53	35	5	11	7	2	231	165	7	0	6	5	2	0	2	0	0.0	697	379	54.4	1.36	0.55
Samuel Asselin	C	Hal	69	48	38	86	50	62	14	5	1	1	205	159	9	0	6	5	3	1	3	1	33.3	1271	687	54.1	1.25	0.9
Rafael Harvey-Pinard	LW	Rou	66	40	45	85	43	24	9	9	4	2	265	148	4	0	4	11	1	1	1	0	100.0	17	7	41.2	1.29	0.36
Gregor MacLeod	LW	Dru	60	35	49	84	36	43	7	20	1	0	197	109	7	0	4	2	3	2	3	0	66.7	22	10	45.5	1.4	0.72
Gabriel Fortier	C	BaC	68	35	48	83	41	27	4	14	3	1	208	109	4	0	3	6	0	0	0	0	0.0	956	489	51.2	1.22	0.4
Mitchell Balmas	RW	Cap	64	43	39	82	16	19	14	11	1	0	258	138	9	3	3	3	9	1	9	1	11.1	852	450	52.8	1.28	0.3
Joel Teasdale	LW	Rou	66	43	37	80	38	48	14	8	6	4	268	181	8	1	6	6	3	0	3	0	0.0	237	123	51.9	1.21	0.73
Benoit-Olivier Groulx	C	Hal	65	31	49	80	37	56	14	13	0	2	180	86	9	2	6	3	4	1	4	1	25.0	1010	524	51.9	1.23	0.86
Felix Lauzon	C	Dru	68	28	52	80	54	34	6	14	3	4	181	114	6	0	4	4	0	0	0	0	0.0	965	604	62.6	1.18	0.5
Alex Beaucage	RW	Rou	68	39	40	79	46	44	14	15	0	0	240	114	7	0	8	4	2	0	2	0	0.0	6	0	0.0	1.16	0.65
Daniel Hardie	LW	Cha	68	34	44	78	27	20	10	9	0	0	214	135	8	0	3	2	10	4	10	2	40.0	40	16	40.0	1.15	0.29
Samuel Poulin	LW	She	67	29	47	76	8	46	8	13	0	1	253	170	2	0	5	6	4	2	4	0	50.0	91	45	49.5	1.13	0.69
Mathias Laferriere	C	Cap	68	28	46	74	16	24	8	16	1	0	190	90	5	0	2	1	1	0	1	0	0.0	943	447	47.4	1.09	0.35
Alexander Khovanov	C	Mon	64	25	49	74	7	94	7	26	0	1	175	112	7	2	3	1	6	1	6	1	16.7	775	362	46.7	1.16	1.47
Arnaud Durandeau	LW	Hal	68	38	35	73	29	46	11	9	0	0	209	139	4	0	6	3	3	0	3	0	0.0	25	7	28.0	1.07	0.68
Yaroslav Alexeyev	RW	BaC	65	36	37	73	37	22	10	13	5	1	147	93	6	0	6	5	4	0	4	0	0.0	13	4	30.8	1.12	0.34
Raphael Lavoie	RW	Hal	62	32	41	73	36	31	7	13	1	0	206	123	3	0	6	5	1	0	1	0	0.0	86	40	46.5	1.18	0.5
Antoine Morand	C	Hal	62	22	48	70	36	40	2	20	3	0	152	85	4	1	3	2	2	1	2	0	50.0	594	321	54.0	1.13	0.65
Felix Bibeau	C	Rou	63	28	41	69	36	53	11	16	4	2	230	99	8	2	2	5	5	3	5	2	60.0	1466	817	55.7	1.1	0.84
Mika Cyr	C	Mon	66	28	39	67	17	8	5	10	1	1	159	116	5	0	3	4	2	0	2	0	0.0	1176	643	54.7	1.02	0.12
Charle-Edouard D'Astous	D	Rim	55	14	52	66	34	68	4	25	1	1	212	54	1	0	2	4	0	0	0	0	0.0	1	1	100.0	1.2	1.24
Philipp Kurashev	C	Que	59	29	36	65	-8	33	9	18	0	0	228	99	2	2	2	2	7	2	7	1	28.6	1112	588	52.9	1.1	0.56
Egor Serdyuk	RW	Vic	63	25	40	65	-1	41	8	18	1	0	160	95	3	0	6	3	4	2	4	1	50.0	18	2	11.1	1.03	0.65
Dawson Mercer	RW	Dru	68	30	34	64	31	50	4	12	2	2	204	123	5	1	5	2	2	0	2	0	0.0	529	249	47.1	0.94	0.74
Dmitry Zavgorodniy	RW	Rim	67	28	36	64	31	14	6	16	3	3	188	101	5	1	4	3	1	1	1	1	100.0	39	16	41.0	0.96	0.21
Julien Tessier	C	VdO	61	22	42	64	-28	15	8	20	0	0	173	76	3	0	5	1	3	1	3	0	33.3	1228	683	55.6	1.05	0.25
Jan Drozg	RW	Sha	60	21	41	62	-35	48	9	19	0	0	176	103	0	0	1	0	2	0	2	0	0.0	83	38	45.8	1.03	0.8
Jared McIsaac	D	Hal	53	16	46	62	33	58	3	22	0	0	179	31	3	0	4	1	0	0	0	0	0.0	0	0	0.0	1.17	1.09
Samuel L'Italien	C	BaC	68	14	48	62	26	25	3	14	3	5	130	76	2	0	1	2	0	0	0	0	0.0	1630	958	58.8	0.91	0.37
Vladislav Kotkov	RW	Chi	65	34	27	61	31	20	10	10	0	0	176	83	5	0	9	3	4	0	4	0	0.0	16	4	25.0	0.94	0.31
Nikita Alexandrov	C	Cha	64	27	34	61	24	36	5	6	0	0	217	153	4	0	4	5	4	2	4	1	50.0	939	417	44.4	0.95	0.56
Benjamin Tardif	LW	She	67	23	36	59	3	32	5	8	2	1	189	117	2	0	4	0	1	1	1	0	100.0	52	20	38.5	0.88	0.48
Olivier Garneau	LW	Rim	63	36	22	58	27	31	14	7	1	0	160	100	5	0	2	5	0	0	0	0	0.0	102	38	37.3	0.92	0.49
Alex-Olivier Voyer	RW	She	68	29	29	58	8	83	6	7	2	0	216	159	5	0	4	1	1	1	1	1	100.0	541	299	55.3	0.85	1.22
Jordan Martel	RW	BaC	62	26	32	58	7	31	11	11	0	0	242	105	4	0	1	4	3	3	3	0	100.0	16	6	37.5	0.94	0.5
Egor Sokolov	LW	Cap	68	30	27	57	6	24	5	8	0	0	188	140	2	0	7	3	10	4	10	1	40.0	8	3	37.5	0.84	0.35
Xavier Simoneau	C	Dru	55	18	39	57	30	84	2	10	2	3	121	78	3	0	4	4	1	0	1	0	0.0	516	274	53.1	1.04	1.53
Leon Gawanke	D	Cap	62	17	40	57	14	26	3	17	0	0	196	31	1	0	2	2	0	0	0	0	0.0	1	1	100.0	0.92	0.42
Justin Bergeron	D	Rou	65	16	41	57	56	43	3	19	0	1	223	64	3	1	3	2	0	0	0	0	0.0	0	0	0.0	0.88	0.66
Keith Getson	C	Hal	68	29	27	56	24	45	6	7	1	0	196	129	3	0	7	3	2	1	2	0	50.0	1328	754	56.8	0.82	0.66
Nicolas Beaudin	D	Dru	53	7	49	56	60	48	4	16	0	3	141	27	0	0	1	1	0	0	0	0	0.0	1	0	0.0	1.06	0.91
Simon Lafrance	C	Vic	60	29	26	55	-16	20	9	10	2	1	203	103	5	2	2	3	4	2	4	2	50.0	595	254	42.7	0.92	0.33
Felix Robert	C	She	62	24	31	55	14	45	6	7	2	0	145	116	5	0	0	6	2	0	2	0	0.0	1189	634	53.3	0.89	0.73
Derek Gentile	RW	Cap	63	15	40	55	6	30	4	11	1	0	176	103	2	0	3	0	10	4	10	2	40.0	358	164	45.8	0.87	0.48
Mavrik Bourque	C	Sha	64	25	29	54	-28	30	10	9	1	0	154	90	2	0	1	0	4	1	4	0	25.0	906	414	45.7	0.84	0.47
Mikhail Abramov	C	Vic	62	16	38	54	-3	18	7	14	0	0	167	91	5	1	3	0	4	2	4	1	50.0	861	423	49.1	0.87	0.29
Brandon Skubel	RW	Dru	68	13	41	54	46	38	0	4	0	6	136	76	1	0	2	4	0	0	0	0	0.0	53	17	32.1	0.79	0.56
Felix Boivin	D	VdO	67	10	44	54	-59	62	5	23	0	1	185	26	2	0	2	1	0	0	0	0	0.0	0	0	0.0	0.81	0.93
Noah Dobson	D	Rou	56	15	37	52	10	60	6	18	1	2	220	32	1	0	2	2	1	0	1	0	0.0	0	0	0.0	0.93	1.07
Giordano Finoro	C	Gat	68	27	24	51	-9	43	14	4	1	1	175	115	2	1	4	2	0	0	0	0	0.0	1228	703	57.2	0.75	0.63
Alexander Katerinakis	RW	BLB	67	21	29	50	-30	91	4	11	2	2	214	110	1	0	5	3	1	1	1	0	100.0	296	132	44.6	0.75	1.36
Jeffrey Durocher	LW	Rim	65	17	33	50	10	88	6	10	0	4	109	67	3	0	1	4	0	0	0	0	0.0	480	236	49.2	0.77	1.35
Hunter Drew	D	Cha	61	16	34	50	14	141	2	8	0	0	242	40	2	2	3	1	0	0	0	0	0.0	0	0	0.0	0.82	2.31
D'Artagnan Joly	C	Rim	64	19	30	49	14	31	3	10	0	1	169	73	3	0	4	2	2	1	2	1	50.0	187	83	44.4	0.77	0.48
Cedric Pare	C	Rim	68	17	32	49	26	60	5	6	1	0	150	80	3	0	5	2	0	0	0	0	0.0	948	583	61.5	0.72	0.88
Jordan Spence	D	Mon	68	6	43	49	11	18	4	17	0	0	144	45	2	0	0	2	1	0	1	0	0.0	1	1	100.0	0.72	0.26
Maxime Comtois	LW	Dru	25	31	17	48	31	32	10	5	1	1	110	72	5	0	8	1	0	0	0	0	0.0	34	14	41.2	1.92	1.28
Louis-Filip Cote	LW	Rou	47	17	31	48	26	15	2	4	1	1	129	50	3	0	4	2	0	0	0	0	0.0	286	151	52.8	1.02	0.32
Gabriel Bilodeau	D	Gat	61	11	37	48	-1	142	1	23	0	0	136	37	4	1	0	0	1	0	1	0	0.0	0	0	0.0	0.79	2.33
Shaun Miller	RW	Cap	66	19	28	47	23	42	2	1	2	1	123	64	3	0	2	3	0	0	0	0	0.0	61	22	36.1	0.71	0.64
Andrew Coxhead	C	Que	68	19	28	47	-9	38	6	7	0	0	162	85	3	0	3	3	4	1	4	1	25.0	1274	691	54.2	0.69	0.56
Adam Capannelli	C	Mon	59	17	30	47	16	48	6	5	3	4	130	85	1	0	4	1	1	0	1	0	0.0	951	487	51.2	0.8	0.81
Jordan Maher	RW	Cha	68	15	32	47	31	30	1	9	1	0	127	81	0	0	5	3	2	0	2	0	0.0	293	134	45.7	0.69	0.44
Matthew Grouchy	LW	Que	61	14	33	47	-12	16	2	10	0	0	149	73	2	0	2	3	6	3	6	0	50.0	47	21	44.7	0.77	0.26
Pierre-Olivier Joseph	D	Dru	62	9	38	47	36	62	3	17	0	0	153	19	1	1	0	1	0	0	0	0	0.0	1	0	0.0	0.76	1.0
Maxim Cajkovic	RW	SNB	60	22	24	46	-33	40	4	6	0	0	216	84	0	0	5	0	4	1	4	0	25.0	109	49	45.0	0.77	0.67
Shawn Boudrias	RW	Cap	56	19	27	46	11	27	6	10	0	0	178	108	2	0	3	2	1	0	1	0	0.0	78	33	42.3	0.82	0.48
Jesse Sutton	LW	Bat	66	18	28	46	-33	17	8	13	0	0	139	85	3	1	4	1	3	0	3	0	0.0	613	337	55.0	0.7	0.26
Carson MacKinnon	LW	Rim	68	16	30	46	14	25	3	8	1	2	113	56	1	0	2	4	0	0	0	0	0.0	311	157	50.5	0.68	0.37
Luke Henman	C	BLB	63	12	34	46	-7	18	3	15	0	2	112	72	1	1	1	3	0	0	0	0	0.0	832	408	49.0	0.73	0.29
Xavier Bouchard	D	BaC	60	7	39	46	39	75	3	15	0	3	125	15	1	0	3	2	0	0	0	0	0.0	0	0	0.0	0.77	1.25
Nicolas Ouellet	RW	VdO	55	22	23	45	-17	24	3	11	0	3	161	78	4	1	2	3	2	0	2	0	0.0	36	11	30.6	0.82	0.44
Aleksei Sergeev	LW	Que	63	14	31	45	-12	30	3	8	0	0	120	64	0	0	4	1	6	2	6	0	33.3	158	80	50.6	0.71	0.48
Hendrix Lapierre	C	Chi	48	13	32	45	5	18	4	16	0	0	102	49	3	0	4	3	2	1	2	0	50.0	289	129	44.6	0.94	0.38
Justin Ducharme	LW	Chi	66	30	14	44	5	50	6	5	4	0	149	93	5	0	3	3	2	0	2	0	0.0	92	46	50.0	0.67	0.76
Patrik Hrehorcak	LW	Rou	62	22	22	44	26	36	5	7	0	0	185	75	3	0	8	0	1	0	1	0	0.0	15	6	40.0	0.71	0.58
Tyler Hinam	RW	Rou	67	22	22	44	28	45	6	4	0	1	187	68	4	0	0	4	5	4	5	1	80.0	6	2	33.3	0.66	0.67
Metis Roelens	C	Gat	68	18	26	44	-8	37	10	9	1	1	92	65	2	0	5	3	0	0	0	0	0.0	640	321	50.2	0.65	0.54
Dominic Cormier	D	Vic	67	12	32	44	-18	20	1	18	0	0	177	49	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.66	0.3
Ryan DaSilva	D	She	66	9	35	44	5	44	3	17	1	0	194	27	1	0	1	1	0	0	0	0	0.0	3	1	33.3	0.67	0.67
Bobby Dow	RW	She	62	20	23	43	8	41	5	5	0	1	172	126	3	0	1	3	1	0	1	0	0.0	37	6	16.2	0.69	0.66
Samuel Houde	C	Chi	64	16	27	43	-9	32	6	13	0	0	129	65	2	0	2	3	5	4	5	2	80.0	1061	484	45.6	0.67	0.5
Theo Rochette	C	Chi	59	14	29	43	13	18	6	8	0	0	92	50	0	0	6	2	2	1	2	1	50.0	872	401	46.0	0.73	0.31
Pavel Koltygin	LW	Dru	63	25	17	42	19	49	11	4	1	1	138	80	2	0	4	4	0	0	0	0	0.0	305	163	53.4	0.67	0.78
Tyler Hylland	LW	BLB	69	22	20	42	-9	29	8	7	2	2	169	89	6	0	1	2	0	0	0	0	0.0	430	218	50.7	0.61	0.42
Anthony Gagnon	RW	Rim	68	19	23	42	9	37	3	8	0	0	157	65	1	0	1	2	0	0	0	0	0.0	222	124	55.9	0.62	0.54
Taro Jentzsch	LW	She	53	18	24	42	16	13	3	11	3	2	98	62	4	1	2	0	1	0	1	0	0.0	737	323	43.8	0.79	0.25
