Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Cole Fetzner	LW	Vic	43	1	4	5	4	105	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0.0	1	1	100.0	0.12	2.44
Olivier Furlong	LW	BaC	43	1	4	5	-10	19	0	0	0	0	41	41	0	0	0	0	0	0	0	0	0.0	238	90	37.8	0.12	0.44
Francois Bolduc	D	Rim	53	1	4	5	8	38	0	1	0	0	24	24	0	0	0	0	0	0	0	0	0.0	1	1	100.0	0.09	0.72
Adam Blanchette	D	Que	56	1	4	5	-16	59	0	0	1	0	43	43	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.09	1.05
Erick Tremblay	D	Rim	68	1	4	5	13	128	0	0	0	0	33	33	0	0	0	0	0	0	0	0	0.0	1	0	0.0	0.07	1.88
Vincent Zaore-Vanie	D	Cap	45	0	5	5	11	34	0	0	0	0	35	35	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.11	0.76
Guillaume Trudel	D	Vic	61	0	5	5	-7	136	0	1	0	0	67	67	0	0	0	0	0	0	0	0	0.0	1	0	0.0	0.08	2.23
Joshua Hepditch	D	Mon	67	0	5	5	1	76	0	1	0	0	54	54	0	0	0	0	0	0	0	0	0.0	12	8	66.7	0.07	1.13
Nicolas Desilets	D	Sha	69	0	5	5	1	143	0	1	0	0	55	55	0	0	0	0	0	0	0	0	0.0	3	2	66.7	0.07	2.07
Benoit Lessard	D	VdO	35	3	1	4	-1	71	0	0	0	0	29	29	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.11	2.03
Olivier Plouffe	D	Vic	23	2	2	4	2	23	1	0	0	0	12	12	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.17	1.0
Steven Goulet	LW	Bat	30	2	2	4	-9	6	0	0	0	0	13	13	1	0	0	0	0	0	0	0	0.0	11	4	36.4	0.13	0.2
Jean-Philippe Cote	D	Rou	33	2	2	4	3	42	0	0	0	0	23	23	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.12	1.27
Guillaume Veilleux	D	Rim	65	2	2	4	-2	78	1	0	0	2	32	32	0	0	0	0	0	0	0	0	0.0	1	0	0.0	0.06	1.2
