Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Alexander Radulov	RW	Que	62	61	91	152	53	101	22	44	10	6	332	332	9	0	7	5	4	4	4	2	100.0	40	15	37.5	2.45	1.63
Stanislav Lascek	RW	Chi	64	47	88	135	42	96	20	55	3	2	344	344	9	0	2	7	5	3	5	1	60.0	114	46	40.4	2.11	1.5
Maxime Boisclair	LW	Chi	70	70	60	130	39	97	43	24	3	1	321	321	12	1	8	8	2	0	2	0	0.0	14	9	64.3	1.86	1.39
Olivier Latendresse	C	VdO	70	41	84	125	5	83	16	47	4	2	359	359	6	1	6	4	5	2	5	0	40.0	1796	983	54.7	1.79	1.19
David Desharnais	C	Chi	63	33	85	118	45	44	20	52	2	3	161	161	6	0	6	6	5	2	5	2	40.0	1806	1102	61.0	1.87	0.7
Brent Aubin	C	Que	72	57	60	117	17	92	26	41	1	0	323	323	10	0	8	7	3	1	3	0	33.3	256	106	41.4	1.63	1.28
Derick Brassard	C	Dru	58	44	72	116	19	92	23	39	2	4	283	283	6	1	11	0	1	0	1	0	0.0	810	403	49.8	2.0	1.59
Alex Bourret	LW	Sha	67	44	70	114	11	133	23	40	5	4	289	289	10	4	2	4	3	1	3	0	33.3	222	104	46.8	1.7	1.99
Philippe Dupuis	C	Mon	56	32	76	108	42	52	13	53	2	1	277	277	5	0	5	4	3	1	3	0	33.3	1246	723	58.0	1.93	0.93
Mathieu Roy	LW	Bat	65	50	54	104	22	101	28	35	3	0	348	348	4	0	6	9	6	2	6	1	33.3	57	20	35.1	1.6	1.55
Mathieu Aubin	C	Lew	70	47	56	103	10	63	22	39	4	2	326	326	6	0	4	5	9	6	9	0	66.7	519	280	53.9	1.47	0.9
Claude Giroux	RW	Gat	69	39	64	103	30	64	14	35	4	3	199	199	4	1	6	2	4	1	4	1	25.0	484	223	46.1	1.49	0.93
Francois Bouchard	LW	BaC	69	33	69	102	-6	66	17	42	0	1	234	234	4	0	9	3	0	0	0	0	0.0	44	16	36.4	1.48	0.96
Alexandre Picard-Hooper	C	BaC	70	57	43	100	-2	111	33	18	4	1	285	285	4	0	9	2	1	1	1	1	100.0	1740	840	48.3	1.43	1.59
Olivier Labelle	RW	Bat	67	50	50	100	18	185	32	23	5	4	290	290	9	0	5	5	3	0	3	0	0.0	149	65	43.6	1.49	2.76
David Brine	C	Hal	70	34	66	100	22	80	13	30	2	2	325	325	6	1	5	2	5	4	5	2	80.0	2199	1437	65.3	1.43	1.14
Benoit Mondou	C	Sha	59	46	52	98	18	57	21	32	6	3	198	198	3	0	7	6	1	0	1	0	0.0	1298	710	54.7	1.66	0.97
Angelo Esposito	C	Que	57	39	59	98	42	45	10	25	5	6	200	200	7	0	3	7	2	0	2	0	0.0	1177	494	42.0	1.72	0.79
Rane Carnegie	RW	Hal	63	44	52	96	22	65	12	26	7	3	315	315	5	1	9	3	6	4	6	0	66.7	158	62	39.2	1.52	1.03
Viatcheslav Trukhno	LW	PEI	60	28	68	96	-1	81	9	44	0	1	213	213	1	0	2	4	5	3	5	1	60.0	287	113	39.4	1.6	1.35
Stephane Goulet	LW	Mon	67	51	42	93	39	80	30	23	1	1	225	225	5	0	6	13	3	0	3	0	0.0	138	69	50.0	1.39	1.19
Ian Mathieu-Girard	C	VdO	69	31	58	89	32	40	10	25	0	3	169	169	7	0	4	3	5	2	5	0	40.0	698	357	51.1	1.29	0.58
Thomas Beauregard	RW	Bat	69	46	42	88	30	38	21	19	0	1	273	273	4	2	6	3	9	4	9	3	44.4	394	211	53.6	1.28	0.55
Kevin Asselin	RW	Cap	67	44	44	88	12	92	21	22	2	1	296	296	9	1	12	4	6	3	6	0	50.0	5	0	0.0	1.31	1.37
Marek Zagrapan	C	Chi	59	35	52	87	16	63	17	34	0	0	199	199	3	0	5	4	2	0	2	0	0.0	662	295	44.6	1.47	1.07
Mathieu Melanson	RW	Que	59	42	44	86	26	65	18	22	4	2	268	268	6	0	7	3	2	0	2	0	0.0	388	196	50.5	1.46	1.1
James Sheppard	LW	Cap	66	30	54	84	3	78	14	31	1	1	205	205	5	1	4	1	4	1	4	1	25.0	1336	688	51.5	1.27	1.18
Keith Yandle	D	Mon	66	25	59	84	50	109	15	33	0	1	282	282	3	1	4	3	0	0	0	0	0.0	4	1	25.0	1.27	1.65
Guillaume Latendresse	RW	Dru	51	43	40	83	20	105	16	16	3	3	280	280	8	0	5	5	1	0	1	0	0.0	83	42	50.6	1.63	2.06
Marc-Andre Cliche	C	Lew	66	37	45	82	4	60	22	31	3	2	195	195	8	0	7	3	6	0	6	0	0.0	1575	830	52.7	1.24	0.91
Alexandre Demers	C	Dru	56	32	50	82	18	109	17	29	3	0	207	207	4	0	4	3	1	0	1	0	0.0	1683	1087	64.6	1.46	1.95
David Krejci	C	Gat	55	27	54	81	3	54	15	35	1	1	241	241	6	1	3	3	5	2	5	1	40.0	885	424	47.9	1.47	0.98
Justin Munden	LW	Rou	69	32	48	80	19	70	17	20	0	3	223	223	3	1	2	3	2	1	2	0	50.0	281	124	44.1	1.16	1.01
Alexandre Imbeault	C	Vic	69	29	51	80	-14	70	9	30	2	1	268	268	2	0	3	4	3	2	3	0	66.7	748	350	46.8	1.16	1.01
Michal Sersen	D	Que	63	22	57	79	56	76	15	29	1	3	286	286	5	0	2	1	1	1	1	1	100.0	1	0	0.0	1.25	1.21
Patrick Coulombe	D	Chi	62	23	54	77	2	40	11	41	0	0	258	258	3	0	6	1	1	0	1	0	0.0	0	0	0.0	1.24	0.65
Francis Pare	C	Sha	55	26	48	74	16	66	12	31	6	3	196	196	2	1	2	3	2	0	2	0	0.0	1236	715	57.8	1.35	1.2
Kyle Doucet	RW	Rou	70	19	55	74	16	78	4	33	5	2	157	157	1	0	4	3	2	0	2	0	0.0	766	370	48.3	1.06	1.11
Guillaume Labrecque	RW	Sha	66	28	45	73	12	75	11	23	2	2	212	212	3	1	8	4	2	1	2	1	50.0	188	83	44.1	1.11	1.14
Marc-Edouard Vlasic	D	Que	66	16	57	73	41	57	8	39	1	1	191	191	2	0	3	4	0	0	0	0	0.0	1	0	0.0	1.11	0.86
Brett Morrison	C	Gat	64	33	39	72	7	53	14	20	3	2	154	154	4	0	1	4	4	1	4	0	25.0	1259	712	56.6	1.13	0.83
Sebastien Bisaillon	D	VdO	63	35	36	71	-27	56	33	22	0	2	241	241	1	0	3	5	3	1	3	1	33.3	1	0	0.0	1.13	0.89
Marc-Andre Gragnani	D	PEI	62	16	55	71	-23	75	10	43	0	1	149	149	1	0	4	1	6	2	6	2	33.3	0	0	0.0	1.15	1.21
Hugo Carpentier	C	Rou	70	31	39	70	7	64	15	16	1	0	138	138	4	1	6	5	2	1	2	0	50.0	940	467	49.7	1.0	0.91
Petr Pohl	RW	Bat	62	27	43	70	12	44	11	27	1	1	208	208	4	0	1	1	5	1	5	0	20.0	374	166	44.4	1.13	0.71
Mathieu Carle	D	Bat	67	18	51	69	20	122	8	35	3	2	206	206	2	0	3	1	1	0	1	0	0.0	2	1	50.0	1.03	1.82
Benoit Doucet	C	Vic	66	37	31	68	-23	68	17	18	2	1	201	201	2	0	3	5	4	0	4	0	0.0	923	476	51.6	1.03	1.03
Benjamin Breault	C	BaC	68	30	38	68	-20	60	13	16	4	2	259	259	7	0	6	3	1	0	1	0	0.0	1045	511	48.9	1.0	0.88
Kristopher Letang	D	VdO	60	25	43	68	4	156	13	32	1	2	289	289	2	0	4	0	3	1	3	0	33.3	0	0	0.0	1.13	2.6
Danny Stewart	C	PEI	58	29	38	67	-10	74	16	21	0	0	196	196	3	0	7	0	2	0	2	0	0.0	1371	692	50.5	1.16	1.28
Frederic St-Denis	D	Dru	69	17	50	67	22	74	9	38	0	0	169	169	3	1	2	2	0	0	0	0	0.0	1	1	100.0	0.97	1.07
Maxime Lincourt	RW	Rim	67	30	36	66	-47	47	15	28	3	1	239	239	3	0	2	0	2	0	2	0	0.0	702	305	43.4	0.99	0.7
Brad Marchand	LW	Mon	68	29	37	66	39	83	9	12	0	0	158	158	5	0	4	1	1	0	1	0	0.0	145	75	51.7	0.97	1.22
Martins Karsums	LW	Mon	49	34	31	65	25	89	16	19	2	0	174	174	3	2	4	4	2	0	2	0	0.0	38	19	50.0	1.33	1.82
Yannick Riendeau	LW	Rou	67	27	38	65	2	40	12	23	0	1	163	163	5	0	5	1	3	1	3	1	33.3	35	15	42.9	0.97	0.6
Eric Castonguay	C	Lew	70	26	39	65	-11	20	19	32	0	0	205	205	1	0	4	2	7	1	7	0	14.3	138	66	47.8	0.93	0.29
Maxim Noreau	D	Vic	69	22	43	65	-19	116	13	24	1	0	224	224	2	0	2	3	1	0	1	0	0.0	0	0	0.0	0.94	1.68
