Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Ben Duffy	C	PEI	68	39	71	110	17	4	12	29	2	0	215	135	3	1	4	7	3	3	3	0	100.0	390	200	51.3	1.62	0.06
Jonathan Drouin	LW	Hal	49	41	64	105	48	32	7	35	4	2	173	124	5	0	7	10	4	2	4	0	50.0	122	52	42.6	2.14	0.65
Josh Currie	C	PEI	68	49	55	104	26	62	12	23	10	2	268	172	6	0	6	4	2	1	2	1	50.0	1690	828	49.0	1.53	0.91
Peter Trainor	LW	Rim	68	46	54	100	30	45	16	18	1	0	228	146	5	1	7	3	6	0	6	0	0.0	5	2	40.0	1.47	0.66
Dmitrij Jaskin	RW	Mon	51	46	53	99	26	73	13	27	0	1	276	184	4	0	8	5	1	1	1	0	100.0	5	1	20.0	1.94	1.43
Sven Andrighetto	RW	Rou	53	31	67	98	25	45	15	30	2	2	220	116	4	0	6	6	7	2	7	0	28.6	49	24	49.0	1.85	0.85
Alexandre Lavoie	C	Rim	63	36	60	96	-2	50	12	21	0	2	181	122	6	0	2	3	7	2	7	0	28.6	1448	800	55.2	1.52	0.79
Zach O'Brien	C	Bat	66	47	45	92	19	2	10	20	6	1	308	189	5	0	3	3	5	2	5	1	40.0	593	308	51.9	1.39	0.03
Anton Zlobin	LW	VdO	61	29	62	91	9	43	6	21	1	0	175	105	4	0	1	2	7	2	7	1	28.6	6	2	33.3	1.49	0.7
Anthony Mantha	RW	VdO	67	50	39	89	21	71	13	14	1	1	323	211	5	1	5	5	6	1	6	1	16.7	108	44	40.7	1.33	1.06
Jean-Sebastien Dea	C	Rou	68	45	40	85	21	59	25	13	2	2	157	111	4	0	8	5	3	0	3	0	0.0	1557	837	53.8	1.25	0.87
Phillip Danault	C	Mon	56	23	62	85	16	50	11	27	2	1	229	112	5	1	2	2	2	0	2	0	0.0	1207	651	53.9	1.52	0.89
Martin Frk	RW	Hal	56	35	49	84	31	84	13	13	0	0	180	96	7	0	2	6	3	3	3	2	100.0	6	1	16.7	1.5	1.5
Cedric Paquette	C	BLB	63	27	56	83	29	103	6	19	0	3	261	163	5	0	5	3	3	0	3	0	0.0	1299	680	52.3	1.32	1.63
Allain Saulnier	RW	Mon	66	27	56	83	28	18	10	24	3	1	185	99	3	0	1	6	2	1	2	0	50.0	227	97	42.7	1.26	0.27
Philippe Maillet	C	Vic	65	25	58	83	-12	17	12	26	1	1	274	154	4	1	5	2	7	2	7	2	28.6	999	466	46.6	1.28	0.26
Petr Straka	RW	BaC	55	41	41	82	33	34	12	13	1	0	256	146	5	1	4	6	4	3	4	1	75.0	16	7	43.8	1.49	0.62
Alex Saulnier	C	Mon	68	28	54	82	22	36	8	29	1	1	180	124	5	1	2	3	1	0	1	0	0.0	1818	1042	57.3	1.21	0.53
Angelo Miceli	C	Vic	68	36	45	81	3	35	14	27	0	0	248	163	5	0	5	1	5	4	5	1	80.0	996	471	47.3	1.19	0.51
Michael Beaudry	C	Bat	66	34	47	81	8	8	12	17	0	1	190	116	3	0	5	4	2	0	2	0	0.0	828	415	50.1	1.23	0.12
Philippe Halley	LW	Vic	67	40	38	78	4	48	17	20	2	1	247	191	1	0	10	6	1	0	1	0	0.0	33	12	36.4	1.16	0.72
Darcy Ashley	RW	Hal	66	26	52	78	44	59	6	15	3	0	178	92	3	0	0	6	2	1	2	0	50.0	546	295	54.0	1.18	0.89
Christopher Clapperton	LW	BLB	67	34	43	77	17	71	8	19	2	1	188	127	5	0	4	4	1	0	1	0	0.0	25	9	36.0	1.15	1.06
Brandon Hynes	RW	VdO	63	36	40	76	-5	48	10	19	0	1	264	138	4	0	6	5	8	2	8	0	25.0	8	4	50.0	1.21	0.76
Valentin Zykov	RW	BaC	67	40	35	75	29	60	10	10	0	0	248	161	9	0	7	6	6	4	6	2	66.7	9	4	44.4	1.12	0.9
Matthew Boudreau	C	Hal	67	36	39	75	41	24	11	12	0	0	204	100	6	0	6	7	2	0	2	0	0.0	546	252	46.2	1.12	0.36
Jerome Verrier	RW	Dru	68	35	40	75	0	116	17	19	0	0	251	149	9	1	6	2	5	2	5	2	40.0	964	492	51.0	1.1	1.71
Nathan MacKinnon	C	Hal	44	32	43	75	40	45	10	14	2	2	201	136	7	1	6	2	3	1	3	1	33.3	970	537	55.4	1.7	1.02
Gabriel Desjardins	LW	Rou	66	32	42	74	29	47	11	15	2	3	195	107	7	2	2	4	5	2	5	1	40.0	93	32	34.4	1.12	0.71
Yannick Veilleux	RW	Mon	65	34	39	73	15	102	21	10	2	0	275	167	7	0	5	4	2	1	2	0	50.0	18	8	44.4	1.12	1.57
Mathieu Brisebois	D	Rou	64	19	54	73	15	103	7	27	0	2	130	44	4	1	3	1	0	0	0	0	0.0	0	0	0.0	1.14	1.61
Stefan Fournier	RW	Hal	66	35	37	72	17	100	16	12	0	1	231	154	3	0	6	3	1	1	1	0	100.0	171	84	49.1	1.09	1.52
Adam Erne	RW	Que	68	28	44	72	11	67	9	18	0	0	221	108	6	0	4	0	7	2	7	1	28.6	290	171	59.0	1.06	0.99
Charles Hudon	LW	Chi	56	30	41	71	15	66	9	17	3	2	269	115	3	0	5	4	7	3	7	1	42.9	53	22	41.5	1.27	1.18
Scott Oke	LW	Rim	57	29	42	71	17	34	13	8	1	0	154	94	6	0	3	4	3	0	3	0	0.0	73	31	42.5	1.25	0.6
