Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Alex Barre-Boulet	C	BLB	65	53	63	116	28	67	19	30	1	2	295	186	14	4	5	9	6	1	6	0	16.7	977	524	53.6	1.78	1.03
Vitalii Abramov	C	Vic	56	45	59	104	52	67	12	19	1	1	215	143	9	2	6	7	4	2	4	1	50.0	948	545	57.5	1.86	1.2
Alexandre Alain	RW	BLB	65	44	43	87	26	52	21	14	1	0	251	148	7	0	5	6	3	1	3	1	33.3	623	377	60.5	1.34	0.8
Kevin Klima	C	Chi	68	39	47	86	11	54	15	19	2	1	211	92	9	4	4	4	1	0	1	0	0.0	1477	776	52.5	1.26	0.79
Maxime Comtois	LW	Vic	54	44	41	85	43	79	8	13	5	2	185	129	7	2	7	7	3	1	3	1	33.3	249	115	46.2	1.57	1.46
Otto Somppi	C	Hal	59	28	55	83	39	28	11	8	2	4	142	97	2	0	8	3	3	2	3	2	66.7	1363	760	55.8	1.41	0.47
Filip Zadina	RW	Hal	57	44	38	82	23	36	8	12	3	1	234	151	5	0	10	4	3	2	3	0	66.7	46	23	50.0	1.44	0.63
Ivan Kosorenkov	RW	Vic	63	36	46	82	33	46	12	16	0	0	174	126	6	0	5	3	5	2	5	0	40.0	7	2	28.6	1.3	0.73
Alexis Lafreniere	LW	Rim	60	42	38	80	35	54	7	17	0	0	205	124	7	1	4	5	3	1	3	0	33.3	12	6	50.0	1.33	0.9
Joseph Veleno	C	Dru	64	22	57	79	4	48	5	31	3	1	201	94	3	0	3	3	3	0	3	0	0.0	987	457	46.3	1.23	0.75
Jordan Martel	LW	BaC	66	39	38	77	3	47	13	16	0	0	228	95	5	1	6	1	5	2	5	1	40.0	14	3	21.4	1.17	0.71
Jeremy McKenna	RW	Mon	68	36	41	77	-3	43	10	13	3	0	313	200	5	1	6	1	2	0	2	0	0.0	316	143	45.3	1.13	0.63
Drake Batherson	RW	BLB	51	29	48	77	12	65	12	18	2	1	166	103	5	2	4	2	4	1	4	1	25.0	450	244	54.2	1.51	1.27
Antoine Morand	C	Bat	66	26	50	76	16	57	5	20	3	0	188	107	8	1	4	1	3	1	3	0	33.3	996	561	56.3	1.15	0.86
Rafael Harvey-Pinard	LW	Rou	67	26	50	76	34	38	9	21	2	3	178	95	4	0	3	2	2	0	2	0	0.0	26	9	34.6	1.13	0.57
Maxime Fortier	RW	Hal	61	32	43	75	23	48	6	10	5	2	265	160	4	0	4	4	1	0	1	0	0.0	110	35	31.8	1.23	0.79
Peter Abbandonato	C	Rou	68	27	48	75	18	21	8	17	2	2	176	89	5	0	6	2	1	0	1	0	0.0	1123	554	49.3	1.1	0.31
James Phelan	C	Mon	64	33	41	74	-11	82	13	16	6	2	161	113	2	0	4	3	2	1	2	1	50.0	1337	840	62.8	1.16	1.28
Mathieu Nadeau	RW	Rim	59	25	49	74	8	32	10	19	1	2	188	89	3	0	8	5	4	2	4	1	50.0	327	138	42.2	1.25	0.54
Olivier Galipeau	D	Bat	67	25	49	74	39	70	8	24	2	0	271	64	2	1	3	5	1	1	1	1	100.0	3	0	0.0	1.1	1.04
Samuel Dove-McFalls	C	Rim	64	22	51	73	37	62	3	14	1	3	248	117	6	0	5	2	0	0	0	0	0.0	1822	1130	62.0	1.14	0.97
Mitchell Balmas	LW	Bat	68	42	30	72	21	32	15	15	0	0	240	128	8	2	9	2	2	1	2	0	50.0	108	49	45.4	1.06	0.47
Matthew Boucher	LW	Que	66	31	38	69	-3	87	14	13	1	1	280	125	4	1	3	6	4	2	4	1	50.0	985	534	54.2	1.05	1.32
Noah Dobson	D	Bat	67	17	52	69	33	52	11	18	2	1	276	46	2	0	4	3	1	0	1	0	0.0	0	0	0.0	1.03	0.78
Thomas Gregoire	D	She	67	12	57	69	3	39	6	26	0	0	248	50	2	2	0	0	0	0	0	0	0.0	0	0	0.0	1.03	0.58
Nicolas Beaudin	D	Dru	68	12	57	69	27	47	5	28	1	1	151	31	3	1	0	0	1	0	1	0	0.0	0	0	0.0	1.01	0.69
D'Artagnan Joly	C	BaC	55	23	45	68	1	45	7	14	0	2	148	73	4	0	4	2	0	0	0	0	0.0	726	324	44.6	1.24	0.82
Robert Lynch	RW	Dru	67	28	39	67	18	26	7	15	1	1	198	97	3	0	5	1	4	1	4	0	25.0	76	24	31.6	1.0	0.39
Phelix Martineau	C	Cap	68	34	32	66	-1	74	12	12	1	0	227	128	9	2	2	2	1	0	1	0	0.0	1043	528	50.6	0.97	1.09
Nicholas Welsh	D	Mon	68	12	54	66	-10	71	9	23	0	0	181	33	0	0	2	1	1	0	1	0	0.0	0	0	0.0	0.97	1.04
Nicolas Poulin	LW	She	64	35	30	65	5	95	9	4	0	1	259	176	6	2	4	8	0	0	0	0	0.0	35	19	54.3	1.02	1.48
Joel Teasdale	LW	BLB	65	32	33	65	18	14	12	17	2	1	198	144	6	1	8	3	0	0	0	0	0.0	145	71	49.0	1.0	0.22
Mathieu Boucher	LW	Rou	66	33	30	63	6	43	9	7	3	2	186	122	6	0	9	5	2	0	2	0	0.0	145	74	51.0	0.95	0.65
Raphael Lavoie	C	Hal	68	30	33	63	10	43	4	13	0	0	222	157	10	6	4	2	0	0	0	0	0.0	524	260	49.6	0.93	0.63
Jeffrey Truchon-Viel	LW	Bat	58	39	23	62	29	127	12	4	1	1	235	139	4	0	3	7	0	0	0	0	0.0	27	15	55.6	1.07	2.19
Felix Bibeau	C	Rou	61	22	40	62	24	73	10	19	1	2	206	96	5	0	4	5	2	0	2	0	0.0	1242	661	53.2	1.02	1.2
Morgan Adams-Moisan	RW	Dru	68	32	29	61	21	67	12	7	0	0	180	129	4	0	5	3	1	0	1	0	0.0	26	11	42.3	0.9	0.99
Jakob Pelletier	C	Mon	60	23	38	61	5	20	3	14	0	1	160	117	2	0	2	1	1	0	1	0	0.0	133	54	40.6	1.02	0.33
Derek Gentile	RW	Cha	67	23	38	61	-4	24	7	11	1	0	195	94	3	0	4	1	4	1	4	0	25.0	253	111	43.9	0.91	0.36
Jordan Maher	RW	Bat	63	19	42	61	36	16	6	14	0	1	121	64	0	0	5	2	2	2	2	1	100.0	374	184	49.2	0.97	0.25
Ivan Chekhovich	LW	BaC	65	29	31	60	-11	28	12	11	0	0	209	108	4	1	1	4	6	2	6	2	33.3	2	1	50.0	0.92	0.43
Shawn Boudrias	RW	Gat	60	28	32	60	0	51	12	14	0	1	195	122	4	0	4	5	5	2	5	0	40.0	520	236	45.4	1.0	0.85
Philipp Kurashev	C	Que	59	19	41	60	-4	24	8	20	0	0	189	76	4	0	1	1	1	0	1	0	0.0	671	356	53.1	1.02	0.41
Gabriel Fortier	C	BaC	66	26	33	59	-11	59	7	13	3	0	172	107	4	0	4	1	0	0	0	0	0.0	1339	611	45.6	0.89	0.89
Simon Lafrance	C	Vic	68	20	39	59	0	23	3	21	1	0	148	79	2	0	2	1	4	0	4	0	0.0	613	272	44.4	0.87	0.34
Ostap Safin	RW	SNB	61	26	32	58	-29	31	9	12	1	1	224	109	3	0	7	0	2	0	2	0	0.0	162	42	25.9	0.95	0.51
Jimmy Huntington	C	Vic	68	18	40	58	5	42	4	12	1	5	145	97	2	0	1	2	1	0	1	0	0.0	536	283	52.8	0.85	0.62
Bradley Lalonde	D	BaC	60	13	44	57	-12	59	6	28	1	1	203	22	0	0	2	3	1	0	1	0	0.0	1	0	0.0	0.95	0.98
Charle-Edouard D'Astous	D	Rim	59	18	38	56	33	96	6	10	1	2	212	43	1	0	2	4	2	1	2	0	50.0	0	0	0.0	0.95	1.63
Nicolas Guay	C	Dru	68	29	26	55	-6	53	8	7	2	0	227	146	4	2	3	3	3	2	3	2	66.7	1030	555	53.9	0.81	0.78
