Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Rob Schremp	C	LDN	57	57	88	145	17	74	38	66	0	0	4	4	7	0	8	4	7	1	7	0	14.3	0	0	0.0	2.54	1.3
David Bolland	RW	LDN	59	57	73	130	7	104	32	55	5	0	4	4	10	2	4	7	6	4	6	2	66.7	0	0	0.0	2.2	1.76
Wojtek Wolski	LW	BRA	56	47	81	128	21	46	30	41	6	5	0	0	5	1	5	6	6	6	6	2	100.0	0	0	0.0	2.29	0.82
Dylan Hunter	LW	LDN	62	32	85	117	9	50	20	58	1	2	2	2	5	1	5	5	6	3	6	3	50.0	0	0	0.0	1.89	0.81
Evan McGrath	C	KIT	67	37	77	114	0	63	21	57	4	1	9	9	5	0	7	3	2	0	2	0	0.0	0	0	0.0	1.7	0.94
Justin Donati	C	TOR	62	46	63	109	16	50	25	31	3	4	0	0	11	1	8	5	7	2	7	1	28.6	0	0	0.0	1.76	0.81
Bryan Little	C	BAR	64	42	67	109	26	99	23	43	3	4	0	0	10	0	6	5	4	2	4	1	50.0	0	0	0.0	1.7	1.55
Peter Tsimikalis	C	OSH	64	29	70	99	0	69	12	32	2	2	0	0	1	1	3	3	3	1	3	1	33.3	0	0	0.0	1.55	1.08
Cal O'Reilly	C	WSR	68	18	81	99	2	8	4	41	1	4	1	1	4	0	2	0	7	2	7	0	28.6	0	0	0.0	1.46	0.12
Bobby Ryan	RW	OS	59	31	64	95	-4	44	12	46	0	0	0	0	4	0	5	2	6	4	6	0	66.7	0	0	0.0	1.61	0.75
Cory Emmerton	C	KGN	66	26	64	90	37	32	8	23	3	0	3	3	3	0	4	3	4	1	4	1	25.0	0	0	0.0	1.36	0.48
Ryan McDonough	C	SAG	68	39	49	88	25	71	17	17	0	1	6	6	5	1	7	4	1	0	1	0	0.0	0	0	0.0	1.29	1.04
Chris Stewart	RW	KGN	62	37	50	87	19	118	13	14	2	1	1	1	8	0	5	4	2	0	2	0	0.0	0	0	0.0	1.4	1.9
Michal Birner	RW	SAG	60	31	54	85	23	91	9	28	2	3	0	0	3	0	4	7	1	0	1	0	0.0	0	0	0.0	1.42	1.52
Ryan Callahan	RW	GUE	62	52	32	84	29	126	21	10	5	0	0	0	10	1	7	8	3	1	3	0	33.3	0	0	0.0	1.35	2.03
Michael Blunden	RW	ER	60	46	38	84	1	63	24	15	4	2	60	60	4	0	6	3	3	0	3	0	0.0	0	0	0.0	1.4	1.05
Radek Smolenak	RW	KGN	65	42	42	84	19	109	12	20	2	0	4	4	6	1	4	1	4	2	4	0	50.0	0	0	0.0	1.29	1.68
Bryan Bickell	LW	WSR	67	45	38	83	19	60	14	16	2	0	0	0	2	0	6	4	3	0	3	0	0.0	0	0	0.0	1.24	0.9
Chris Hulit	RW	OTT	67	32	51	83	15	73	8	25	5	0	0	0	6	0	6	3	3	0	3	0	0.0	0	0	0.0	1.24	1.09
Daniel Ryder	C	PBO	65	38	44	82	7	57	16	28	2	2	0	0	9	1	2	6	3	1	3	0	33.3	0	0	0.0	1.26	0.88
John Hughes	C	BELV	66	28	54	82	3	36	8	28	0	0	4	4	4	1	5	2	5	3	5	1	60.0	0	0	0.0	1.24	0.55
Jeff Kyrzakos	RW	OS	64	33	46	79	4	78	20	26	2	2	0	0	3	0	6	1	3	0	3	0	0.0	0	0	0.0	1.23	1.22
Matt D'Agostini	RW	GUE	66	25	54	79	18	81	8	31	0	3	0	0	7	1	5	2	5	1	5	1	20.0	0	0	0.0	1.2	1.23
Mike Angelidis	LW	OS	68	53	25	78	-9	167	34	18	2	0	0	0	5	0	4	6	0	0	0	0	0.0	0	0	0.0	1.15	2.46
Cory Vitarelli	LW	TOR	65	42	36	78	9	78	21	19	0	0	0	0	6	0	2	5	8	3	8	1	37.5	0	0	0.0	1.2	1.2
Sergei Kostitsyn	RW	LDN	63	26	52	78	-5	78	16	33	0	0	3	3	3	0	5	4	3	0	3	0	0.0	0	0	0.0	1.24	1.24
John Tavares	C	OSH	65	45	32	77	-13	72	12	19	4	0	0	0	0	0	10	1	5	2	5	0	40.0	0	0	0.0	1.18	1.11
Hunter Tremblay	LW	BAR	68	31	46	77	18	72	16	27	3	2	0	0	3	0	5	2	3	1	3	0	33.3	0	0	0.0	1.13	1.06
Julian Talbot	C	OTT	65	30	47	77	10	70	16	19	1	4	0	0	2	0	3	2	1	0	1	0	0.0	0	0	0.0	1.18	1.08
Ryan O'Marra	C	ER	61	27	50	77	2	134	10	27	0	2	52	52	4	1	4	2	5	1	5	0	20.0	0	0	0.0	1.26	2.2
John Vigilante	LW	PLY	55	24	53	77	-6	34	10	38	3	1	3	3	4	0	6	2	4	0	4	0	0.0	0	0	0.0	1.4	0.62
Patrick McNeill	D	SAG	68	21	56	77	24	64	15	36	0	0	4	4	1	0	2	2	2	2	2	1	100.0	0	0	0.0	1.13	0.94
Bobby Hughes	C	KGN	56	35	40	75	9	47	12	19	1	1	8	8	5	2	7	7	2	0	2	0	0.0	0	0	0.0	1.34	0.84
Tyler Haskins	C	TOR	56	24	51	75	13	112	6	28	5	0	0	0	3	1	2	0	3	1	3	0	33.3	0	0	0.0	1.34	2.0
Adam Perry	LW	LDN	68	27	46	73	9	50	17	25	0	0	0	0	6	0	2	2	0	0	0	0	0.0	0	0	0.0	1.07	0.74
Ryan Hamilton	LW	BAR	63	46	26	72	12	58	24	11	1	0	0	0	8	1	5	7	3	0	3	0	0.0	0	0	0.0	1.14	0.92
Tyler Donati	LW	TOR	68	36	36	72	-5	50	10	18	1	0	0	0	2	1	4	1	3	1	3	0	33.3	0	0	0.0	1.06	0.74
Luch Aquino	RW	BRA	32	28	44	72	27	32	12	22	3	1	0	0	6	2	3	3	1	0	1	0	0.0	0	0	0.0	2.25	1.0
Michael Vernace	D	BRA	68	10	62	72	-5	54	5	50	1	0	34	34	2	1	1	1	0	0	0	0	0.0	0	0	0.0	1.06	0.79
Nick Foligno	C	SBY	65	24	46	70	19	146	8	20	5	4	7	7	2	0	5	3	11	5	11	2	45.5	0	0	0.0	1.08	2.25
Howie Martin	C	BRA	68	24	46	70	4	60	16	24	0	1	3	3	3	0	2	2	4	2	4	0	50.0	0	0	0.0	1.03	0.88
Tyler Kennedy	C	SSM	64	22	48	70	1	60	6	28	1	1	2	2	2	0	4	1	7	4	7	2	57.1	0	0	0.0	1.09	0.94
Jamie Tardif	RW	PBO	62	40	29	69	6	108	28	13	3	0	0	0	6	1	7	6	2	0	2	0	0.0	0	0	0.0	1.11	1.74
Kelsey Wilson	LW	GUE	67	38	31	69	8	196	24	16	0	0	0	0	4	0	7	3	4	1	4	1	25.0	0	0	0.0	1.03	2.93
Justin Azevedo	C	KIT	60	29	40	69	11	80	16	26	2	2	2	2	3	0	6	6	0	0	0	0	0.0	0	0	0.0	1.15	1.33
Patrick Davis	LW	WSR	60	35	33	68	18	94	15	13	3	0	3	3	4	0	4	6	5	2	5	1	40.0	0	0	0.0	1.13	1.57
Cal Clutterbuck	RW	OSH	66	35	33	68	-17	139	18	14	3	1	0	0	1	1	1	2	3	1	3	0	33.3	0	0	0.0	1.03	2.11
