Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
John Tavares	C	LDN	56	58	46	104	10	54	21	30	6	1	0	0	8	2	8	4	7	1	7	0	14.3	0	0	0.0	1.86	0.96
Chris Terry	C	PLY	53	39	55	94	25	75	8	20	1	0	0	0	5	0	7	5	2	0	2	0	0.0	0	0	0.0	1.77	1.42
Justin DiBenedetto	LW	SAR	62	45	48	93	14	85	16	24	4	1	0	0	3	1	5	7	4	1	4	1	25.0	0	0	0.0	1.5	1.37
Cody Hodgson	C	BRA	53	43	49	92	41	33	12	20	3	2	0	0	11	3	5	1	5	4	5	1	80.0	0	0	0.0	1.74	0.62
Matt Caria	C	PLY	67	34	58	92	14	91	7	18	1	1	0	0	3	1	3	2	2	1	2	0	50.0	0	0	0.0	1.37	1.36
Taylor Hall	LW	WSR	63	38	52	90	29	60	12	21	2	0	0	0	6	0	9	6	4	2	4	0	50.0	0	0	0.0	1.43	0.95
Ryan Ellis	D	WSR	57	22	67	89	52	57	11	34	2	0	0	0	3	1	4	1	3	0	3	0	0.0	0	0	0.0	1.56	1.0
Eric Tangradi	LW	BELV	55	38	50	88	39	61	12	20	1	3	0	0	9	1	10	3	2	0	2	0	0.0	0	0	0.0	1.6	1.11
Logan Couture	C	OTT	62	39	48	87	27	46	10	21	1	2	0	0	4	0	8	3	6	4	6	3	66.7	0	0	0.0	1.4	0.74
Chris MacKinnon	LW	KIT	67	26	59	85	4	56	7	27	0	0	0	0	3	0	5	1	4	4	4	2	100.0	0	0	0.0	1.27	0.84
Bryan Cameron	RW	BELV	64	37	44	81	32	51	12	15	0	0	0	0	4	0	8	3	4	3	4	1	75.0	0	0	0.0	1.27	0.8
Joey Hishon	C	OS	65	37	44	81	5	34	15	18	3	3	0	0	4	1	5	1	8	1	8	0	12.5	0	0	0.0	1.25	0.52
Evgeny Grachev	LW	BRA	60	40	40	80	48	22	9	13	4	1	0	0	6	1	6	6	1	0	1	0	0.0	0	0	0.0	1.33	0.37
Matt Duchene	C	BRA	57	31	48	79	32	42	12	21	4	2	0	0	2	1	5	7	6	5	6	4	83.3	0	0	0.0	1.39	0.74
Nazem Kadri	C	LDN	56	25	53	78	13	31	10	22	5	5	0	0	3	0	2	5	2	1	2	0	50.0	0	0	0.0	1.39	0.55
Greg Nemisz	RW	WSR	65	36	41	77	52	48	12	11	2	2	0	0	7	0	7	3	2	0	2	0	0.0	0	0	0.0	1.18	0.74
Brett Parnham	C	OSH	65	50	26	76	-24	49	20	13	5	0	0	0	4	0	8	4	3	2	3	1	66.7	0	0	0.0	1.17	0.75
Chris Chappell	LW	SAG	68	38	38	76	1	88	18	16	2	2	0	0	6	0	2	3	3	0	3	0	0.0	0	0	0.0	1.12	1.29
John Carlson	D	LDN	59	16	60	76	23	65	9	34	1	4	0	0	2	0	2	5	0	0	0	0	0.0	0	0	0.0	1.29	1.1
P.K. Subban	D	BELV	56	14	62	76	47	94	4	29	0	2	0	0	2	0	1	1	2	0	2	0	0.0	0	0	0.0	1.36	1.68
Jack Combs	C	SAG	62	32	43	75	9	102	10	21	4	1	0	0	5	3	5	3	5	0	5	0	0.0	0	0	0.0	1.21	1.65
Scott Timmins	C	WSR	66	35	38	73	6	61	15	14	3	1	0	0	4	0	4	2	3	0	3	0	0.0	0	0	0.0	1.11	0.92
Matt Kennedy	RW	GUE	67	33	40	73	1	95	18	10	1	2	0	0	5	0	6	3	0	0	0	0	0.0	0	0	0.0	1.09	1.42
Luke Pither	C	BELV	64	35	37	72	20	32	12	12	1	0	0	0	4	0	4	1	2	0	2	0	0.0	0	0	0.0	1.13	0.5
