Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Jason Robertson	LW	NIAG	62	48	69	117	37	42	17	36	3	0	296	179	4	0	2	7	0	0	0	0	0.0	11	3	27.3	1.89	0.68
Justin Brazeau	RW	NB	68	61	52	113	14	40	14	21	0	0	314	197	10	3	9	1	2	1	2	0	50.0	83	37	44.6	1.66	0.59
Tye Felhaber	RW	OTT	68	59	50	109	56	45	12	21	2	0	300	180	11	1	15	7	3	1	3	0	33.3	58	31	53.4	1.6	0.66
Morgan Frost	C	SSM	58	37	72	109	33	45	10	23	4	7	243	116	6	2	4	5	1	1	1	0	100.0	1344	684	50.9	1.88	0.78
Kevin Hancock	C	LDN	70	52	55	107	18	38	18	21	3	1	329	178	8	0	6	9	1	0	1	0	0.0	1301	735	56.5	1.53	0.54
Arthur Kaliyev	LW	HAM	67	51	51	102	-13	22	20	24	1	0	320	165	7	2	6	6	5	0	5	0	0.0	4	0	0.0	1.52	0.33
Ben Jones	C	NIAG	68	41	61	102	32	82	17	20	2	4	227	156	3	0	2	8	1	1	1	1	100.0	1320	691	52.3	1.5	1.21
Akil Thomas	C	NIAG	63	38	64	102	42	40	11	28	2	0	204	134	5	0	7	2	2	1	2	1	50.0	911	500	54.9	1.62	0.63
Nate Schnarr	RW	GUE	65	34	68	102	43	58	12	24	0	0	193	111	5	1	6	4	3	1	3	0	33.3	772	407	52.7	1.57	0.89
Greg Meireles	C	KIT	68	36	61	97	-3	40	13	30	3	1	249	127	6	0	5	5	2	2	2	0	100.0	1105	598	54.1	1.43	0.59
Nick Suzuki	C	GUE	59	34	60	94	40	12	11	18	1	4	277	171	10	1	2	1	3	0	3	0	0.0	880	483	54.9	1.59	0.2
Brandon Saigeon	C	OSH	68	37	55	92	-7	37	16	29	5	1	261	103	6	0	4	2	5	3	5	1	60.0	1157	555	48.0	1.35	0.54
Austen Keating	LW	OTT	68	22	67	89	56	22	6	14	0	2	156	113	6	2	2	3	0	0	0	0	0.0	305	159	52.1	1.31	0.32
Anthony Salinitri	LW	OSH	68	48	40	88	10	44	10	15	7	3	270	158	6	0	8	6	3	1	3	0	33.3	419	217	51.8	1.29	0.65
Joseph Garreffa	LW	KIT	68	32	55	87	-25	2	5	32	0	1	223	112	3	0	4	3	2	0	2	0	0.0	244	121	49.6	1.28	0.03
Riley Damiani	C	KIT	58	30	55	85	0	27	10	31	0	1	209	114	4	1	4	3	2	1	2	0	50.0	769	340	44.2	1.47	0.47
Jack Studnicka	C	NIAG	60	36	47	83	18	52	15	14	4	3	211	132	2	0	7	5	1	1	1	1	100.0	1287	693	53.8	1.38	0.87
Isaac Ratcliffe	LW	GUE	65	50	32	82	36	105	12	8	3	0	261	154	5	1	5	3	3	1	3	0	33.3	17	5	29.4	1.26	1.62
Alan Lyszczarczyk	LW	MISS	64	39	43	82	-2	29	12	12	1	0	305	178	7	1	2	3	5	1	5	0	20.0	34	15	44.1	1.28	0.45
Hugo Leufvenius	LW	SAR	66	37	44	81	-5	28	10	17	0	0	253	141	4	1	5	2	5	3	5	2	60.0	44	18	40.9	1.23	0.42
Kyle Maksimovich	LW	OTT	67	35	46	81	24	63	10	15	2	1	188	110	6	4	3	3	5	3	5	1	60.0	118	42	35.6	1.21	0.94
Serron Noel	RW	OSH	68	34	47	81	16	54	5	14	4	2	177	124	4	3	6	1	0	0	0	0	0.0	25	7	28.0	1.19	0.79
Matthew Struthers	C	NB	61	31	50	81	9	39	12	16	0	0	196	105	5	2	3	4	1	0	1	0	0.0	1291	568	44.0	1.33	0.64
Brett Neumann	C	OSH	68	45	34	79	-1	35	14	13	2	0	273	161	4	0	3	8	0	0	0	0	0.0	1127	623	55.3	1.16	0.51
Kirill Maksimov	RW	NIAG	63	40	39	79	38	118	16	12	2	2	232	125	4	0	7	1	1	0	1	0	0.0	15	7	46.7	1.25	1.87
