Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Tyler Toffoli	RW	OTT	68	57	51	108	44	33	13	13	4	2	0	0	8	0	12	5	6	3	6	2	50.0	0	0	0.0	1.59	0.49
Jason Akeson	RW	KIT	67	24	84	108	20	23	7	39	1	1	0	0	5	0	1	2	3	0	3	0	0.0	0	0	0.0	1.61	0.34
Ryan Strome	C	NIAG	65	33	73	106	28	82	9	31	2	0	0	0	5	1	7	5	8	4	8	2	50.0	0	0	0.0	1.63	1.26
Nail Yakupov	RW	SAR	65	49	52	101	-2	71	16	18	0	0	0	0	5	1	5	0	5	0	5	0	0.0	0	0	0.0	1.55	1.09
Ryan Ellis	D	WSR	58	24	77	101	24	61	10	32	2	2	0	0	5	2	2	1	7	3	7	1	42.9	0	0	0.0	1.74	1.05
Christian Thomas	RW	OSH	66	54	45	99	20	38	19	20	2	0	0	0	9	2	7	3	9	4	9	0	44.4	0	0	0.0	1.5	0.58
Taylor Beck	RW	GUE	62	42	53	95	3	60	16	19	1	1	0	0	9	0	3	4	4	3	4	1	75.0	0	0	0.0	1.53	0.97
Greg McKegg	C	ER	66	49	43	92	20	35	17	15	3	0	0	0	9	1	7	4	4	2	4	0	50.0	0	0	0.0	1.39	0.53
Michael Latta	C	GUE	68	34	55	89	-4	158	11	24	3	1	0	0	3	0	6	2	3	2	3	0	66.7	0	0	0.0	1.31	2.32
Peter Holland	C	GUE	67	37	51	88	6	57	15	30	2	0	0	0	3	0	6	1	2	1	2	0	50.0	0	0	0.0	1.31	0.85
Kale Kerbashian	LW	SAR	68	37	51	88	-10	52	11	19	6	1	0	0	2	1	6	4	1	0	1	0	0.0	0	0	0.0	1.29	0.76
Colin Behenna	C	BAR	67	33	55	88	-42	25	13	28	2	1	0	0	4	0	1	3	3	1	3	0	33.3	0	0	0.0	1.31	0.37
Shane Prince	LW	OTT	59	25	63	88	43	18	3	20	1	1	0	0	6	1	0	1	5	1	5	1	20.0	0	0	0.0	1.49	0.31
Joey Hishon	C	OS	50	37	50	87	16	64	12	25	4	0	0	0	5	0	6	5	3	1	3	0	33.3	0	0	0.0	1.74	1.28
Justin Shugg	RW	MISS	66	41	45	86	48	43	7	12	4	0	0	0	10	1	8	4	6	2	6	2	33.3	0	0	0.0	1.3	0.65
Garrett Wilson	LW	OS	66	40	46	86	33	114	19	13	2	2	0	0	6	1	5	6	2	0	2	0	0.0	0	0	0.0	1.3	1.73
Brett Thompson	C	ER	67	44	40	84	9	38	11	12	2	1	0	0	6	2	4	7	3	3	3	2	100.0	0	0	0.0	1.25	0.57
Freddie Hamilton	LW	NIAG	68	38	45	83	25	20	10	20	3	1	0	0	7	0	7	6	7	1	7	1	14.3	0	0	0.0	1.22	0.29
Ryan Martindale	C	OTT	65	34	49	83	38	30	9	18	1	1	0	0	7	0	7	3	2	0	2	0	0.0	0	0	0.0	1.28	0.46
Alex Galchenyuk	C	SAR	68	31	52	83	-8	52	10	17	1	0	0	0	2	1	3	4	4	3	4	2	75.0	0	0	0.0	1.22	0.76
Michael Sgarbossa	C	SBY	63	36	46	82	13	77	15	19	4	1	0	0	4	1	3	3	3	1	3	1	33.3	0	0	0.0	1.3	1.22
Phil Varone	C	ER	59	34	48	82	21	32	6	17	3	0	0	0	8	1	4	1	5	2	5	1	40.0	0	0	0.0	1.39	0.54
Ryan Spooner	C	KGN	64	35	46	81	-4	8	8	18	3	1	0	0	6	1	6	3	8	5	8	1	62.5	0	0	0.0	1.27	0.13
Ryan Murphy	D	KIT	63	26	53	79	22	36	14	33	0	0	0	0	6	0	2	4	2	1	2	0	50.0	0	0	0.0	1.25	0.57
Shawn Szydlowski	RW	ER	66	41	37	78	19	79	11	10	4	2	0	0	3	0	5	6	3	2	3	2	66.7	0	0	0.0	1.18	1.2
Anthony Luciani	RW	ER	54	29	49	78	26	30	11	11	0	0	0	0	5	1	2	4	1	0	1	0	0.0	0	0	0.0	1.44	0.56
Robbie Czarnik	C	PLY	61	33	44	77	4	46	9	19	3	0	0	0	8	1	3	3	4	1	4	1	25.0	0	0	0.0	1.26	0.75
Stefan Noesen	RW	PLY	68	33	44	77	14	80	9	15	1	0	0	0	4	0	5	5	6	2	6	1	33.3	0	0	0.0	1.13	1.18
Zack Kassian	RW	WSR	56	26	51	77	10	67	6	20	0	0	0	0	3	0	4	3	3	0	3	0	0.0	0	0	0.0	1.38	1.2
Alexander Khokhlachev	C	WSR	67	34	42	76	9	28	12	14	0	0	0	0	0	0	5	4	4	1	4	0	25.0	0	0	0.0	1.13	0.42
Andy Andreoff	LW	OSH	66	33	42	75	34	109	5	9	4	3	0	0	2	0	3	3	6	2	6	1	33.3	0	0	0.0	1.14	1.65
Mark Scheifele	C	BAR	66	22	53	75	-22	35	13	23	1	0	0	0	0	0	1	1	2	1	2	0	50.0	0	0	0.0	1.14	0.53
Andrew Agozzino	C	NIAG	68	43	31	74	32	73	10	6	2	2	0	0	7	1	7	6	6	0	6	0	0.0	0	0	0.0	1.09	1.07
Nathan Moon	C	KGN	65	32	42	74	-18	89	12	19	1	0	0	0	2	0	8	4	4	1	4	0	25.0	0	0	0.0	1.14	1.37
Josh Shalla	LW	SAG	68	47	25	72	24	62	14	10	5	0	0	0	6	0	7	5	2	1	2	0	50.0	0	0	0.0	1.06	0.91
Josh McFadden	D	SBY	67	19	53	72	-31	74	10	34	1	2	0	0	1	1	4	3	0	0	0	0	0.0	0	0	0.0	1.07	1.1
Daniel Catenacci	C	SSM	67	26	45	71	-5	117	9	15	1	4	0	0	2	0	6	2	5	3	5	1	60.0	0	0	0.0	1.06	1.75
