Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Corey Locke	C	OTT	66	63	88	151	47	83	21	30	8	8	0	0	5	1	8	9	0	0	0	0	0.0	0	0	0.0	2.29	1.26
Matt Foy	RW	OTT	68	61	71	132	48	112	15	24	11	5	0	0	10	1	6	7	0	0	0	0	0.0	0	0	0.0	1.94	1.65
Chad LaRose	RW	PLY	67	61	56	117	51	52	23	18	2	2	0	0	7	0	4	12	0	0	0	0	0.0	0	0	0.0	1.75	0.78
Joey Tenute	C	SAR	68	41	71	112	37	75	4	46	3	3	0	0	7	1	7	3	0	0	0	0	0.0	0	0	0.0	1.65	1.1
Kyle Wellwood	C	WSR	57	41	59	100	18	0	14	30	2	5	0	0	8	1	7	4	0	0	0	0	0.0	0	0	0.0	1.75	0.0
Jamie Johnson	C	OSH	68	24	76	100	5	34	4	32	5	3	0	0	1	0	3	6	0	0	0	0	0.0	0	0	0.0	1.47	0.5
Eric Staal	C	PBO	66	39	59	98	20	36	10	20	6	1	0	0	5	2	7	2	0	0	0	0	0.0	0	0	0.0	1.48	0.55
Matthew Stajan	LW	BELV	57	34	60	94	41	75	11	14	5	5	0	0	11	2	8	2	0	0	0	0	0.0	0	0	0.0	1.65	1.32
Kris Newbury	C	SAR	64	34	58	92	36	149	11	25	3	2	0	0	5	1	6	4	0	0	0	0	0.0	0	0	0.0	1.44	2.33
Brandon Nolan	C	OSH	68	36	52	88	0	57	13	20	2	2	0	0	6	0	8	2	0	0	0	0	0.0	0	0	0.0	1.29	0.84
Ryan Ramsay	C	PLY	59	33	55	88	29	97	11	26	2	0	0	0	4	0	8	4	0	0	0	0	0.0	0	0	0.0	1.49	1.64
Michael Richards	C	KIT	67	37	50	87	35	99	10	15	5	3	0	0	5	1	4	4	0	0	0	0	0.0	0	0	0.0	1.3	1.48
