Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Dylan Strome	C	ER	68	45	84	129	47	32	14	36	0	0	0	0	8	0	6	3	6	2	6	0	33.3	0	0	0.0	1.9	0.47
Mitchell Marner	RW	LDN	63	44	82	126	36	53	15	40	2	2	0	0	6	0	6	6	5	1	5	1	20.0	0	0	0.0	2.0	0.84
Connor McDavid	C	ER	47	44	76	120	60	48	9	32	2	2	0	0	8	1	6	6	2	1	2	0	50.0	0	0	0.0	2.55	1.02
Christian  Dvorak	C	LDN	66	41	68	109	33	24	14	27	2	3	0	0	5	0	9	3	3	1	3	1	33.3	0	0	0.0	1.65	0.36
Alex DeBrincat	RW	ER	68	51	53	104	59	73	21	14	0	0	0	0	4	0	8	7	3	0	3	0	0.0	0	0	0.0	1.53	1.07
Andrew Mangiapane	C	BAR	68	43	61	104	24	54	16	30	2	5	0	0	2	0	4	5	3	2	3	1	66.7	0	0	0.0	1.53	0.79
Max Domi	LW	LDN	57	32	70	102	24	66	12	33	2	1	0	0	6	2	2	3	4	2	4	1	50.0	0	0	0.0	1.79	1.16
Matt Rupert	LW	LDN	61	30	45	75	19	74	12	24	0	0	0	0	3	1	2	3	4	2	4	1	50.0	0	0	0.0	1.23	1.21
Michael McCarron	RW	OSH	56	28	40	68	25	128	14	11	1	3	0	0	3	1	4	3	3	1	3	0	33.3	0	0	0.0	1.21	2.29
Sonny Milano	LW	PLY	50	22	46	68	-17	24	7	22	0	0	0	0	1	0	4	5	3	1	3	0	33.3	0	0	0.0	1.36	0.48
Jimmy Lodge	RW	MISS	58	28	35	63	1	53	5	11	0	0	0	0	2	1	4	2	4	1	4	0	25.0	0	0	0.0	1.09	0.91
Trevor Murphy	D	WSR	59	24	39	63	-15	104	11	15	0	1	0	0	2	1	4	0	1	0	1	0	0.0	0	0	0.0	1.07	1.76
Brendan Lemieux	LW	BAR	57	41	19	60	-9	145	25	3	2	1	0	0	8	0	7	5	2	0	2	0	0.0	0	0	0.0	1.05	2.54
Justin Scott	LW	BAR	68	30	23	53	26	39	2	4	2	0	0	0	5	0	4	3	2	1	2	1	50.0	0	0	0.0	0.78	0.57
Bryson Cianfrone	C	MISS	63	13	39	52	-4	22	2	15	1	3	0	0	2	0	2	1	4	1	4	0	25.0	0	0	0.0	0.83	0.35
Mathew Campagna	C	PLY	64	26	25	51	-8	41	12	12	1	0	0	0	3	0	5	2	4	2	4	1	50.0	0	0	0.0	0.8	0.64
Slater Doggett	C	WSR	57	25	26	51	-12	52	6	7	2	1	0	0	2	1	2	1	1	1	1	0	100.0	0	0	0.0	0.89	0.91
Lucas Venuto	RW	WSR	68	23	25	48	-19	16	4	7	0	0	0	0	3	1	2	1	7	2	7	2	28.6	0	0	0.0	0.71	0.24
